model_id,sample_rank,dataset_index,boundary_status,boundary_reason,route_upper,verification_epsilon,exact_feasible_pair_count,fixed_route_unstable_rows,fixed_zonotope_reduction_rows,fixed_ibp_reduction_rows,boundary_guard_binaries_eliminated,f0_invoked,decision_tier,unique_safe,full_model_witness_valid,candidate_seconds,gate_seconds,f0_time_kind,f0_seconds,f0_seconds_lower_bound,total_seconds
seed1,0,1000,SAFE,SAFE_WEIGHTED_RANGE,0.0011776194852941178,0.0012365004595588237,2,3,0,1,3,True,TIER2_F0,True,False,0.3650347590446472,4.606497930362821,OBSERVED,7.665864535607398,,17.017242265865207
seed1,1,1002,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,4.2810092475265265
seed1,2,1003,UNSAFE,UNSAFE_FULL_FORWARD,0.014522058823529412,0.015248161764705883,2,0,0,0,31,False,TIER1_OR_PRE_F0,False,True,1.327615799382329,188.7094417102635,NOT_INVOKED,,,196.2255736105144
seed1,3,1004,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.926898257806897
seed1,4,1005,SAFE,SAFE_WEIGHTED_RANGE,0.004327512254901961,0.004543887867647059,2,1,0,1,9,True,TIER2_F0,True,False,0.7115857265889645,11.711916925385594,OBSERVED,37.21166348922998,,54.278190332464874
seed1,5,1006,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,4.305901297368109
seed1,6,1007,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,0.013970588235294117,0.014669117647058824,2,0,0,0,36,True,TIER2_F0,False,True,1.4323031641542912,140.93763168528676,OBSERVED,8.61769880540669,,157.8256007740274
seed1,7,1010,SAFE,SAFE_WEIGHTED_RANGE,0.009390318627450982,0.00985983455882353,2,0,0,0,23,True,TIER2_F0,True,False,0.5284070409834385,43.65065397042781,OBSERVED,49.818759171292186,,99.45601653214544
seed1,8,1011,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,5.243155794218183
seed1,9,1012,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,0.00856311274509804,0.008991268382352943,2,0,0,0,26,True,TIER2_F0,False,True,0.7521419264376163,94.44331119395792,OBSERVED,17.56735659111291,,119.55498028174043
