sample_rank,dataset_index,epsilon,status,reason,decision_tier,route_changing,candidate_experts,feasible_route_sets,f0_invoked,full_model_witness_valid,verifier_total_seconds,evidence_audit_status
0,2002,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,54.07137972954661,PASS
1,2003,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,70.87315890938044,PASS
2,2004,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,120.93879558704793,PASS
3,2006,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,19.22023721691221,PASS
4,2008,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,43.1111809508875,PASS
5,2012,0.00784313725490196,SAFE,SAFE_WEIGHTED_RANGE,TIER2_F0,True,3,2,True,False,33.57361421920359,PASS
6,2014,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,7.791749103926122,PASS
7,2015,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,True,4,3,False,True,96.4386046519503,PASS
8,2016,0.00784313725490196,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,False,2,1,False,False,74.97707015741616,PASS
9,2020,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,6.9801936596632,PASS
10,2021,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_RELAXATION,TIER2_F0,True,4,3,True,False,51.50270548928529,PASS
11,2024,0.00784313725490196,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,False,2,1,False,False,43.065006849355996,PASS
12,2025,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,True,5,7,False,True,70.73096227925271,PASS
13,2028,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_RELAXATION,TIER2_F0,True,3,2,True,False,35.82994120661169,PASS
14,2031,0.00784313725490196,SAFE,SAFE_WEIGHTED_RANGE,TIER2_F0,False,2,1,True,False,17.94308130443096,PASS
15,2032,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,50.25515334028751,PASS
16,2035,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,26.926792424172163,PASS
17,2038,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,False,2,1,True,True,63.051078907214105,PASS
18,2041,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,11.233177119866014,PASS
19,2042,0.00784313725490196,SAFE,SAFE_GATE_ELIMINATION,TIER1_GATE_ELIMINATION,False,2,1,False,False,6.056030665524304,PASS
20,2043,0.00784313725490196,UNSAFE,UNSAFE_FULL_FORWARD,TIER1_GATE_ELIMINATION,False,2,1,False,True,8.88791773468256,PASS
21,2044,0.00784313725490196,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,False,2,1,True,False,62.24867330212146,PASS
22,2046,0.00784313725490196,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,False,2,1,False,False,38.43815189693123,PASS
