sample_rank,dataset_index,epsilon,source_status,source_reason,source_total_seconds,production_status,production_reason,decision_tier,production_wall_seconds,tier1_seconds,tier2_seconds,new_complete_outcome,full_model_witness_valid,candidate_experts,feasible_route_sets,evidence_audit_status
1,1002,0.008766084558823531,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,184.4834528118372,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,141.0423955284059,36.63723015412688,101.21014004293829,False,False,3,2,PASS
3,1004,0.014202665441176472,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,285.53504698351026,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,208.35250754654408,66.29919019434601,139.62257166579366,False,False,3,2,PASS
4,1005,0.01647058823529412,TIMEOUT,INSTANCE_HARD_DEADLINE,300.33583050314337,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,242.39802867453545,67.92049828823656,172.06684413924813,True,True,3,2,PASS
8,1011,0.01281939338235294,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,286.59910978842527,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,214.9978071982041,76.62958340533078,135.85675928927958,False,False,3,2,PASS
15,1029,0.009522058823529411,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,235.1644788896665,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,171.32059501018375,48.462094438262284,120.37245671916753,False,False,3,2,PASS
17,1035,0.004214154411764706,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,230.68547926098108,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,TIER2_F0,133.1005958719179,56.68165210168809,74.01137456670403,True,True,3,2,PASS
19,1038,0.007809053308823529,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,190.81530012283474,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,140.26597234793007,39.863396988250315,97.90555357933044,False,False,3,2,PASS
22,1048,0.014331341911764706,TIMEOUT,TIMEOUT_EXPERT_SOLVE,138.65031907428056,TIMEOUT,TIMEOUT_EXPERT_SOLVE,TIER1_GATE_ELIMINATION,59.96914878487587,57.48718046955764,0.0,False,False,3,2,PASS
25,1060,0.005291819852941176,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,135.89653984550387,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,100.02110995911062,10.222395529039204,87.3934986628592,False,False,3,2,PASS
28,1070,0.009473805147058824,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,267.46877464465797,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,188.41151268128306,54.21140677295625,131.79550353065133,False,False,3,2,PASS
29,1073,0.014910386029411764,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,272.008382121101,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,216.70957133360207,64.849175080657,149.53357319161296,False,False,4,3,PASS
36,1085,0.012031250000000002,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,253.77759485226125,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,198.6280965739861,50.771913033910096,145.42918883264065,False,False,3,2,PASS
37,1089,0.011822150735294116,TIMEOUT,INSTANCE_HARD_DEADLINE,300.33655183855444,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,TIER2_F0,272.2083788951859,82.1182218529284,187.6989827156067,False,False,3,2,PASS
