benchmark,classification,N,Ti_sec,strict_V,strict_A,strict_U,strict_E,strict_wall_s,official_V,official_A,official_U,official_N_dedup,notes
test,official,5,60,2,2,1,0,14,4,1,0,5,smoke baseline
cersyve,official,12,100,1,2,9,0,101,8,5,0,13,
tllverifybench_2023,official,32,600,11,17,4,0,139,16,17,0,33,A retained via center-of-box
soundnessbench,official,50,150,0,0,50,0,130,19,0,32,51,
linearizenn_2024,official,60,900,0,0,60,0,225,60,1,0,61,
collins_rul_cnn_2022,official,62,1800,1,5,56,0,199,40,23,0,63,
dist_shift_2023,official,72,300,0,0,72,0,210,66,7,0,73,
metaroom_2023,official,100,210,0,0,100,0,662,93,5,3,101,
sat_relu,official,100,100,0,0,100,0,202,50,49,0,99,official only has 99 unique (1 instance missing in CORA submission)
malbeware,official,150,100,0,0,150,0,553,89,9,53,151,
cora_2024,official,180,30,0,0,180,0,753,20,124,37,181,
acasxu_2023,official,186,116,0,0,186,0,849,138,46,3,187,
cifar100_2024,official,200,100,0,0,200,0,1013,1,10,190,201,
tinyimagenet_2024,official,200,100,0,0,200,0,2432,1,5,195,201,
relusplitter,official,220,180,0,0,220,0,728,7,0,214,221,
safenlp_2024,official,1080,20,0,0,1080,0,1501,339,645,97,1081,
collins_aerospace_benchmark,supplemental,6,3600,0,0,6,0,3,,,,,CORA did not submit
vggnet16_2022,supplemental,18,1200,0,0,18,0,10,,,,,CORA did not submit
cgan_2023,supplemental,21,1800,0,0,21,0,7,,,,,CORA did not submit
cctsdb_yolo_2023,supplemental,39,350,0,0,39,0,21,,,,,CORA did not submit
traffic_signs_recognition_2023,supplemental,45,480,0,0,45,0,22,,,,,CORA did not submit
ml4acopf_2024,supplemental,69,600,0,0,69,0,35,,,,,CORA did not submit
yolo_2023,supplemental,72,300,0,0,72,0,38,,,,,CORA did not submit
lsnc_relu,supplemental,80,25,0,0,80,0,28,,,,,CORA did not submit
nn4sys,supplemental,194,800,0,0,194,0,4860,,,,,CORA did not submit
vit_2023,supplemental,200,100,0,0,200,0,86,,,,,CORA did not submit
