idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
1,"./onnx/mnist-point.onnx","vnnlib/mnist-img0.vnnlib",30,30,2.74,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0001__mnist-point__mnist-img0.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0001__mnist-point__mnist-img0.log"
2,"./onnx/mnist-trades.onnx","vnnlib/mnist-img0.vnnlib",30,30,3.39,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0002__mnist-trades__mnist-img0.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0002__mnist-trades__mnist-img0.log"
3,"./onnx/mnist-set.onnx","vnnlib/mnist-img0.vnnlib",30,30,3.50,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0003__mnist-set__mnist-img0.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0003__mnist-set__mnist-img0.log"
4,"./onnx/mnist-point.onnx","vnnlib/mnist-img1.vnnlib",30,30,3.37,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0004__mnist-point__mnist-img1.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0004__mnist-point__mnist-img1.log"
5,"./onnx/mnist-trades.onnx","vnnlib/mnist-img1.vnnlib",30,30,3.35,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0005__mnist-trades__mnist-img1.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0005__mnist-trades__mnist-img1.log"
6,"./onnx/mnist-set.onnx","vnnlib/mnist-img1.vnnlib",30,30,3.10,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0006__mnist-set__mnist-img1.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0006__mnist-set__mnist-img1.log"
7,"./onnx/mnist-point.onnx","vnnlib/mnist-img2.vnnlib",30,30,3.08,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0007__mnist-point__mnist-img2.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0007__mnist-point__mnist-img2.log"
8,"./onnx/mnist-trades.onnx","vnnlib/mnist-img2.vnnlib",30,30,3.21,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0008__mnist-trades__mnist-img2.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0008__mnist-trades__mnist-img2.log"
9,"./onnx/mnist-set.onnx","vnnlib/mnist-img2.vnnlib",30,30,3.11,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0009__mnist-set__mnist-img2.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0009__mnist-set__mnist-img2.log"
10,"./onnx/mnist-point.onnx","vnnlib/mnist-img3.vnnlib",30,30,3.04,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0010__mnist-point__mnist-img3.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0010__mnist-point__mnist-img3.log"
11,"./onnx/mnist-trades.onnx","vnnlib/mnist-img3.vnnlib",30,30,3.19,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0011__mnist-trades__mnist-img3.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0011__mnist-trades__mnist-img3.log"
12,"./onnx/mnist-set.onnx","vnnlib/mnist-img3.vnnlib",30,30,3.20,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0012__mnist-set__mnist-img3.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0012__mnist-set__mnist-img3.log"
13,"./onnx/mnist-point.onnx","vnnlib/mnist-img4.vnnlib",30,30,3.18,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0013__mnist-point__mnist-img4.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0013__mnist-point__mnist-img4.log"
14,"./onnx/mnist-trades.onnx","vnnlib/mnist-img4.vnnlib",30,30,3.22,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0014__mnist-trades__mnist-img4.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0014__mnist-trades__mnist-img4.log"
15,"./onnx/mnist-set.onnx","vnnlib/mnist-img4.vnnlib",30,30,3.25,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0015__mnist-set__mnist-img4.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0015__mnist-set__mnist-img4.log"
16,"./onnx/mnist-point.onnx","vnnlib/mnist-img5.vnnlib",30,30,3.14,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0016__mnist-point__mnist-img5.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/cora_2024/0016__mnist-point__mnist-img5.log"
