idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
1,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2446.vnnlib",100,100,0.46,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0001__pgd_2_3_16__pgd_2_3_16_2446.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0001__pgd_2_3_16__pgd_2_3_16_2446.log"
2,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_4509.vnnlib",100,100,0.54,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0002__pgd_2_3_16__pgd_2_3_16_4509.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0002__pgd_2_3_16__pgd_2_3_16_4509.log"
3,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6246.vnnlib",100,100,0.50,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0003__pgd_2_3_16__pgd_2_3_16_6246.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0003__pgd_2_3_16__pgd_2_3_16_6246.log"
4,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2043.vnnlib",100,100,0.37,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0004__pgd_2_3_16__pgd_2_3_16_2043.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0004__pgd_2_3_16__pgd_2_3_16_2043.log"
5,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2203.vnnlib",100,100,0.40,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0005__pgd_2_3_16__pgd_2_3_16_2203.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0005__pgd_2_3_16__pgd_2_3_16_2203.log"
6,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_3695.vnnlib",100,100,0.44,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0006__pgd_2_3_16__pgd_2_3_16_3695.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0006__pgd_2_3_16__pgd_2_3_16_3695.log"
7,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_8808.vnnlib",100,100,0.50,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0007__pgd_2_3_16__pgd_2_3_16_8808.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0007__pgd_2_3_16__pgd_2_3_16_8808.log"
8,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_747.vnnlib",100,100,0.50,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0008__pgd_2_3_16__pgd_2_3_16_747.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0008__pgd_2_3_16__pgd_2_3_16_747.log"
9,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2209.vnnlib",100,100,0.46,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0009__pgd_2_3_16__pgd_2_3_16_2209.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0009__pgd_2_3_16__pgd_2_3_16_2209.log"
10,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_8776.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0010__pgd_2_3_16__pgd_2_3_16_8776.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0010__pgd_2_3_16__pgd_2_3_16_8776.log"
