idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
45,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_4597_sidx_282_eps_0.0039.vnnlib",100,100,107.55,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0045__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4597_sidx_282_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0045__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4597_sidx_282_eps_0.0039.log"
49,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_5634_sidx_9441_eps_0.0039.vnnlib",100,100,110.52,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0049__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_5634_sidx_9441_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0049__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_5634_sidx_9441_eps_0.0039.log"
58,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_4475_sidx_752_eps_0.0039.vnnlib",100,100,111.16,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0058__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4475_sidx_752_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0058__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4475_sidx_752_eps_0.0039.log"
59,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_3247_sidx_1605_eps_0.0039.vnnlib",100,100,113.81,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0059__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_3247_sidx_1605_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0059__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_3247_sidx_1605_eps_0.0039.log"
60,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_2557_sidx_6196_eps_0.0039.vnnlib",100,100,107.26,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0060__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2557_sidx_6196_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0060__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2557_sidx_6196_eps_0.0039.log"
62,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_2697_sidx_4836_eps_0.0039.vnnlib",100,100,115.13,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0062__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2697_sidx_4836_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0062__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2697_sidx_4836_eps_0.0039.log"
64,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_9518_sidx_9183_eps_0.0039.vnnlib",100,100,114.94,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0064__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9518_sidx_9183_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0064__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9518_sidx_9183_eps_0.0039.log"
65,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_5973_sidx_7841_eps_0.0039.vnnlib",100,100,111.68,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0065__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_5973_sidx_7841_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0065__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_5973_sidx_7841_eps_0.0039.log"
74,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_3898_sidx_9109_eps_0.0039.vnnlib",100,100,107.86,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0074__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_3898_sidx_9109_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0074__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_3898_sidx_9109_eps_0.0039.log"
75,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_854_sidx_6893_eps_0.0039.vnnlib",100,100,105.63,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0075__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_854_sidx_6893_eps_0.0039.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cifar100_2024/0075__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_854_sidx_6893_eps_0.0039.log"
