idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
1,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta5_epsilon10_w20.vnnlib",30,30,35.58,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0001__NN_rul_small_window_20__robustness_2perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0001__NN_rul_small_window_20__robustness_2perturbations_delta5_epsilon10_w20.log"
2,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta10_epsilon10_w20.vnnlib",30,30,3.76,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0002__NN_rul_small_window_20__robustness_2perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0002__NN_rul_small_window_20__robustness_2perturbations_delta10_epsilon10_w20.log"
3,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta20_epsilon10_w20.vnnlib",60,60,3.82,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0003__NN_rul_small_window_20__robustness_2perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0003__NN_rul_small_window_20__robustness_2perturbations_delta20_epsilon10_w20.log"
4,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_2perturbations_delta40_epsilon10_w20.vnnlib",60,60,4.00,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0004__NN_rul_small_window_20__robustness_2perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0004__NN_rul_small_window_20__robustness_2perturbations_delta40_epsilon10_w20.log"
5,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta5_epsilon10_w20.vnnlib",60,60,64.42,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0005__NN_rul_small_window_20__robustness_4perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0005__NN_rul_small_window_20__robustness_4perturbations_delta5_epsilon10_w20.log"
6,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta10_epsilon10_w20.vnnlib",60,60,64.57,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0006__NN_rul_small_window_20__robustness_4perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0006__NN_rul_small_window_20__robustness_4perturbations_delta10_epsilon10_w20.log"
7,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta20_epsilon10_w20.vnnlib",120,120,124.70,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0007__NN_rul_small_window_20__robustness_4perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0007__NN_rul_small_window_20__robustness_4perturbations_delta20_epsilon10_w20.log"
8,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_4perturbations_delta40_epsilon10_w20.vnnlib",120,120,124.57,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0008__NN_rul_small_window_20__robustness_4perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0008__NN_rul_small_window_20__robustness_4perturbations_delta40_epsilon10_w20.log"
9,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_8perturbations_delta5_epsilon10_w20.vnnlib",120,120,3.82,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0009__NN_rul_small_window_20__robustness_8perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0009__NN_rul_small_window_20__robustness_8perturbations_delta5_epsilon10_w20.log"
10,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_8perturbations_delta10_epsilon10_w20.vnnlib",120,120,3.87,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0010__NN_rul_small_window_20__robustness_8perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0010__NN_rul_small_window_20__robustness_8perturbations_delta10_epsilon10_w20.log"
11,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_8perturbations_delta20_epsilon10_w20.vnnlib",300,300,3.78,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0011__NN_rul_small_window_20__robustness_8perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0011__NN_rul_small_window_20__robustness_8perturbations_delta20_epsilon10_w20.log"
12,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_8perturbations_delta40_epsilon10_w20.vnnlib",300,300,3.77,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0012__NN_rul_small_window_20__robustness_8perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0012__NN_rul_small_window_20__robustness_8perturbations_delta40_epsilon10_w20.log"
13,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_16perturbations_delta5_epsilon10_w20.vnnlib",300,300,3.81,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0013__NN_rul_small_window_20__robustness_16perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0013__NN_rul_small_window_20__robustness_16perturbations_delta5_epsilon10_w20.log"
14,"onnx/NN_rul_small_window_20.onnx","vnnlib/robustness_16perturbations_delta10_epsilon10_w20.vnnlib",300,300,305.31,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0014__NN_rul_small_window_20__robustness_16perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0014__NN_rul_small_window_20__robustness_16perturbations_delta10_epsilon10_w20.log"
