idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
1,"./onnx/mnist-point.onnx","vnnlib/mnist-img0.vnnlib",30,30,37.39,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0001__mnist-point__mnist-img0.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0001__mnist-point__mnist-img0.log"
2,"./onnx/mnist-trades.onnx","vnnlib/mnist-img0.vnnlib",30,30,35.61,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0002__mnist-trades__mnist-img0.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0002__mnist-trades__mnist-img0.log"
3,"./onnx/mnist-set.onnx","vnnlib/mnist-img0.vnnlib",30,30,3.13,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0003__mnist-set__mnist-img0.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0003__mnist-set__mnist-img0.log"
4,"./onnx/mnist-point.onnx","vnnlib/mnist-img1.vnnlib",30,30,36.76,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0004__mnist-point__mnist-img1.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0004__mnist-point__mnist-img1.log"
5,"./onnx/mnist-trades.onnx","vnnlib/mnist-img1.vnnlib",30,30,36.63,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0005__mnist-trades__mnist-img1.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0005__mnist-trades__mnist-img1.log"
6,"./onnx/mnist-set.onnx","vnnlib/mnist-img1.vnnlib",30,30,3.14,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0006__mnist-set__mnist-img1.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0006__mnist-set__mnist-img1.log"
7,"./onnx/mnist-point.onnx","vnnlib/mnist-img2.vnnlib",30,30,35.48,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0007__mnist-point__mnist-img2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0007__mnist-point__mnist-img2.log"
8,"./onnx/mnist-trades.onnx","vnnlib/mnist-img2.vnnlib",30,30,37.60,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0008__mnist-trades__mnist-img2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0008__mnist-trades__mnist-img2.log"
9,"./onnx/mnist-set.onnx","vnnlib/mnist-img2.vnnlib",30,30,3.09,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0009__mnist-set__mnist-img2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0009__mnist-set__mnist-img2.log"
10,"./onnx/mnist-point.onnx","vnnlib/mnist-img3.vnnlib",30,30,35.55,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0010__mnist-point__mnist-img3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0010__mnist-point__mnist-img3.log"
11,"./onnx/mnist-trades.onnx","vnnlib/mnist-img3.vnnlib",30,30,36.57,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0011__mnist-trades__mnist-img3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0011__mnist-trades__mnist-img3.log"
12,"./onnx/mnist-set.onnx","vnnlib/mnist-img3.vnnlib",30,30,3.16,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0012__mnist-set__mnist-img3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0012__mnist-set__mnist-img3.log"
13,"./onnx/mnist-point.onnx","vnnlib/mnist-img4.vnnlib",30,30,37.81,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0013__mnist-point__mnist-img4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0013__mnist-point__mnist-img4.log"
14,"./onnx/mnist-trades.onnx","vnnlib/mnist-img4.vnnlib",30,30,37.10,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0014__mnist-trades__mnist-img4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0014__mnist-trades__mnist-img4.log"
15,"./onnx/mnist-set.onnx","vnnlib/mnist-img4.vnnlib",30,30,3.10,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0015__mnist-set__mnist-img4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0015__mnist-set__mnist-img4.log"
16,"./onnx/mnist-point.onnx","vnnlib/mnist-img5.vnnlib",30,30,35.61,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0016__mnist-point__mnist-img5.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0016__mnist-point__mnist-img5.log"
17,"./onnx/mnist-trades.onnx","vnnlib/mnist-img5.vnnlib",30,30,36.73,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0017__mnist-trades__mnist-img5.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0017__mnist-trades__mnist-img5.log"
18,"./onnx/mnist-set.onnx","vnnlib/mnist-img5.vnnlib",30,30,3.12,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0018__mnist-set__mnist-img5.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0018__mnist-set__mnist-img5.log"
19,"./onnx/mnist-point.onnx","vnnlib/mnist-img6.vnnlib",30,30,37.49,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0019__mnist-point__mnist-img6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0019__mnist-point__mnist-img6.log"
20,"./onnx/mnist-trades.onnx","vnnlib/mnist-img6.vnnlib",30,30,37.13,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0020__mnist-trades__mnist-img6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0020__mnist-trades__mnist-img6.log"
21,"./onnx/mnist-set.onnx","vnnlib/mnist-img6.vnnlib",30,30,3.11,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0021__mnist-set__mnist-img6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0021__mnist-set__mnist-img6.log"
22,"./onnx/mnist-point.onnx","vnnlib/mnist-img7.vnnlib",30,30,35.87,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0022__mnist-point__mnist-img7.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0022__mnist-point__mnist-img7.log"
23,"./onnx/mnist-trades.onnx","vnnlib/mnist-img7.vnnlib",30,30,35.72,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0023__mnist-trades__mnist-img7.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0023__mnist-trades__mnist-img7.log"
24,"./onnx/mnist-set.onnx","vnnlib/mnist-img7.vnnlib",30,30,3.08,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0024__mnist-set__mnist-img7.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0024__mnist-set__mnist-img7.log"
25,"./onnx/mnist-point.onnx","vnnlib/mnist-img8.vnnlib",30,30,35.75,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0025__mnist-point__mnist-img8.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0025__mnist-point__mnist-img8.log"
26,"./onnx/mnist-trades.onnx","vnnlib/mnist-img8.vnnlib",30,30,35.72,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0026__mnist-trades__mnist-img8.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0026__mnist-trades__mnist-img8.log"
27,"./onnx/mnist-set.onnx","vnnlib/mnist-img8.vnnlib",30,30,3.08,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0027__mnist-set__mnist-img8.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/cora_2024/0027__mnist-set__mnist-img8.log"
