idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
1,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop9.vnnlib",600,600,4.21,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0001__14_ieee_ml4acopf-linear-residual__14_ieee_prop9.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0001__14_ieee_ml4acopf-linear-residual__14_ieee_prop9.log"
2,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop7.vnnlib",600,600,3.40,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0002__14_ieee_ml4acopf-linear-residual__14_ieee_prop7.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0002__14_ieee_ml4acopf-linear-residual__14_ieee_prop7.log"
3,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop2.vnnlib",600,600,3.35,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0003__14_ieee_ml4acopf-linear-residual__14_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0003__14_ieee_ml4acopf-linear-residual__14_ieee_prop2.log"
4,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop8.vnnlib",600,600,3.38,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0004__14_ieee_ml4acopf-linear-residual__14_ieee_prop8.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0004__14_ieee_ml4acopf-linear-residual__14_ieee_prop8.log"
5,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop4.vnnlib",600,600,3.30,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0005__14_ieee_ml4acopf-linear-residual__14_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0005__14_ieee_ml4acopf-linear-residual__14_ieee_prop4.log"
6,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop6.vnnlib",600,600,3.35,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0006__14_ieee_ml4acopf-linear-residual__14_ieee_prop6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0006__14_ieee_ml4acopf-linear-residual__14_ieee_prop6.log"
7,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop12.vnnlib",600,600,3.36,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0007__14_ieee_ml4acopf-linear-residual__14_ieee_prop12.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0007__14_ieee_ml4acopf-linear-residual__14_ieee_prop12.log"
8,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop13.vnnlib",600,600,3.34,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0008__14_ieee_ml4acopf-linear-residual__14_ieee_prop13.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0008__14_ieee_ml4acopf-linear-residual__14_ieee_prop13.log"
9,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop11.vnnlib",600,600,3.33,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0009__14_ieee_ml4acopf-linear-residual__14_ieee_prop11.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0009__14_ieee_ml4acopf-linear-residual__14_ieee_prop11.log"
10,"./onnx/14_ieee_ml4acopf-linear-residual.onnx","./vnnlib/14_ieee_prop1.vnnlib",600,600,31.50,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0010__14_ieee_ml4acopf-linear-residual__14_ieee_prop1.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0010__14_ieee_ml4acopf-linear-residual__14_ieee_prop1.log"
