idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
1,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_1.00000.vnnlib",480.0,480,154.29,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0001__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_1.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0001__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_1.00000.log"
2,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_3.00000.vnnlib",480.0,480,351.03,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0002__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_3.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0002__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_3.00000.log"
3,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_5.00000.vnnlib",480.0,480,164.38,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0003__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_5.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0003__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_5.00000.log"
4,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_10.00000.vnnlib",480.0,480,213.32,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0004__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_10.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0004__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_10.00000.log"
5,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_15.00000.vnnlib",480.0,480,570.45,timeout_killed,124,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0005__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_15.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0005__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_15.00000.log"
6,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_1.00000.vnnlib",480.0,480,495.50,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0006__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_1.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0006__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_1.00000.log"
7,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_3.00000.vnnlib",480.0,480,144.69,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0007__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_3.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0007__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_3.00000.log"
8,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_5.00000.vnnlib",480.0,480,231.43,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0008__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_5.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0008__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_5.00000.log"
9,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_10.00000.vnnlib",480.0,480,230.56,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0009__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_10.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0009__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_10.00000.log"
10,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_15.00000.vnnlib",480.0,480,171.82,missing_result,138,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0010__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_15.00000.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/traffic_signs_recognition_2023/0010__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_15.00000.log"
