idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
1,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000005_eps_1_255.vnnlib",300,300,4.28,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0001__TinyYOLO__TinyYOLO_prop_000005_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0001__TinyYOLO__TinyYOLO_prop_000005_eps_1_255.log"
2,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000459_eps_1_255.vnnlib",300,300,4.18,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0002__TinyYOLO__TinyYOLO_prop_000459_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0002__TinyYOLO__TinyYOLO_prop_000459_eps_1_255.log"
3,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000290_eps_1_255.vnnlib",300,300,4.17,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0003__TinyYOLO__TinyYOLO_prop_000290_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0003__TinyYOLO__TinyYOLO_prop_000290_eps_1_255.log"
4,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000257_eps_1_255.vnnlib",300,300,306.55,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0004__TinyYOLO__TinyYOLO_prop_000257_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0004__TinyYOLO__TinyYOLO_prop_000257_eps_1_255.log"
5,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000367_eps_1_255.vnnlib",300,300,4.08,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0005__TinyYOLO__TinyYOLO_prop_000367_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0005__TinyYOLO__TinyYOLO_prop_000367_eps_1_255.log"
6,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000039_eps_1_255.vnnlib",300,300,4.12,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0006__TinyYOLO__TinyYOLO_prop_000039_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0006__TinyYOLO__TinyYOLO_prop_000039_eps_1_255.log"
7,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000082_eps_1_255.vnnlib",300,300,4.12,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0007__TinyYOLO__TinyYOLO_prop_000082_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0007__TinyYOLO__TinyYOLO_prop_000082_eps_1_255.log"
8,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000296_eps_1_255.vnnlib",300,300,306.57,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0008__TinyYOLO__TinyYOLO_prop_000296_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0008__TinyYOLO__TinyYOLO_prop_000296_eps_1_255.log"
9,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000034_eps_1_255.vnnlib",300,300,4.10,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0009__TinyYOLO__TinyYOLO_prop_000034_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0009__TinyYOLO__TinyYOLO_prop_000034_eps_1_255.log"
10,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000448_eps_1_255.vnnlib",300,300,4.15,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0010__TinyYOLO__TinyYOLO_prop_000448_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0010__TinyYOLO__TinyYOLO_prop_000448_eps_1_255.log"
11,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000221_eps_1_255.vnnlib",300,300,4.12,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0011__TinyYOLO__TinyYOLO_prop_000221_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0011__TinyYOLO__TinyYOLO_prop_000221_eps_1_255.log"
12,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000040_eps_1_255.vnnlib",300,300,305.70,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0012__TinyYOLO__TinyYOLO_prop_000040_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0012__TinyYOLO__TinyYOLO_prop_000040_eps_1_255.log"
13,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000118_eps_1_255.vnnlib",300,300,4.10,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0013__TinyYOLO__TinyYOLO_prop_000118_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0013__TinyYOLO__TinyYOLO_prop_000118_eps_1_255.log"
14,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000359_eps_1_255.vnnlib",300,300,4.17,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0014__TinyYOLO__TinyYOLO_prop_000359_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0014__TinyYOLO__TinyYOLO_prop_000359_eps_1_255.log"
15,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000006_eps_1_255.vnnlib",300,300,4.15,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0015__TinyYOLO__TinyYOLO_prop_000006_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0015__TinyYOLO__TinyYOLO_prop_000006_eps_1_255.log"
16,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000004_eps_1_255.vnnlib",300,300,4.12,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0016__TinyYOLO__TinyYOLO_prop_000004_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0016__TinyYOLO__TinyYOLO_prop_000004_eps_1_255.log"
17,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000316_eps_1_255.vnnlib",300,300,4.18,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0017__TinyYOLO__TinyYOLO_prop_000316_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0017__TinyYOLO__TinyYOLO_prop_000316_eps_1_255.log"
18,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000080_eps_1_255.vnnlib",300,300,4.11,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0018__TinyYOLO__TinyYOLO_prop_000080_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0018__TinyYOLO__TinyYOLO_prop_000080_eps_1_255.log"
19,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000161_eps_1_255.vnnlib",300,300,4.13,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0019__TinyYOLO__TinyYOLO_prop_000161_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0019__TinyYOLO__TinyYOLO_prop_000161_eps_1_255.log"
20,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000081_eps_1_255.vnnlib",300,300,4.13,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0020__TinyYOLO__TinyYOLO_prop_000081_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0020__TinyYOLO__TinyYOLO_prop_000081_eps_1_255.log"
21,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000425_eps_1_255.vnnlib",300,300,4.12,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0021__TinyYOLO__TinyYOLO_prop_000425_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0021__TinyYOLO__TinyYOLO_prop_000425_eps_1_255.log"
22,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000324_eps_1_255.vnnlib",300,300,4.18,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0022__TinyYOLO__TinyYOLO_prop_000324_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0022__TinyYOLO__TinyYOLO_prop_000324_eps_1_255.log"
23,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000439_eps_1_255.vnnlib",300,300,4.16,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0023__TinyYOLO__TinyYOLO_prop_000439_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0023__TinyYOLO__TinyYOLO_prop_000439_eps_1_255.log"
24,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000306_eps_1_255.vnnlib",300,300,4.10,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0024__TinyYOLO__TinyYOLO_prop_000306_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0024__TinyYOLO__TinyYOLO_prop_000306_eps_1_255.log"
25,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000302_eps_1_255.vnnlib",300,300,4.12,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0025__TinyYOLO__TinyYOLO_prop_000302_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0025__TinyYOLO__TinyYOLO_prop_000302_eps_1_255.log"
26,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000220_eps_1_255.vnnlib",300,300,4.10,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0026__TinyYOLO__TinyYOLO_prop_000220_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0026__TinyYOLO__TinyYOLO_prop_000220_eps_1_255.log"
27,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000101_eps_1_255.vnnlib",300,300,4.13,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0027__TinyYOLO__TinyYOLO_prop_000101_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0027__TinyYOLO__TinyYOLO_prop_000101_eps_1_255.log"
28,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000420_eps_1_255.vnnlib",300,300,4.10,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0028__TinyYOLO__TinyYOLO_prop_000420_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0028__TinyYOLO__TinyYOLO_prop_000420_eps_1_255.log"
29,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000036_eps_1_255.vnnlib",300,300,305.91,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0029__TinyYOLO__TinyYOLO_prop_000036_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0029__TinyYOLO__TinyYOLO_prop_000036_eps_1_255.log"
30,"onnx/TinyYOLO.onnx","vnnlib/TinyYOLO_prop_000447_eps_1_255.vnnlib",300,300,5.45,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0030__TinyYOLO__TinyYOLO_prop_000447_eps_1_255.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/yolo_2023/0030__TinyYOLO__TinyYOLO_prop_000447_eps_1_255.log"
