benchmark,N,V_unsat,A_sat,T_timeout,U_unknown,E_err,wall_sec_sum,wall_sec_max,notes
acasxu_2023,186,73,15,0,98,0,1376.127,226.28,88/186 decided
cctsdb_yolo_2023,39,0,0,0,39,0,0,0,no CPU data in r93
cersyve,12,0,0,0,9,3,1.991,0.472,0/12 decided
cgan_2023,21,0,0,0,21,0,0,0,no CPU data in r93
cifar100_2024,200,0,0,1,199,0,262.095,113.467,0/200 decided
collins_aerospace_benchmark,6,0,0,3,3,0,218.38400000000001,38.224,0/6 decided
collins_rul_cnn_2022,62,39,11,0,12,0,788.715,195.162,50/62 decided
cora_2024,180,1,0,8,171,0,348.358,38.126,1/180 decided
dist_shift_2023,72,0,0,0,72,0,12.201,0.268,0/72 decided
linearizenn_2024,60,13,0,0,47,0,1838.767,54.08,13/60 decided
lsnc_relu,80,0,0,2,78,0,204.99699999999999,97.826,0/80 decided
malbeware,150,123,13,0,14,0,18955.1,524.888,136/150 decided
metaroom_2023,100,2,0,0,95,3,113.124,33.128,2/100 decided
ml4acopf_2024,69,5,0,10,54,0,1083.232,69.242,5/69 decided
nn4sys,194,2,0,0,192,0,1122.874,39.606,2/194 decided
relusplitter,220,7,0,156,42,15,7155.427,39.025,7/220 decided
safenlp_2024,1080,333,10,0,737,0,486.928,3.97,343/1080 decided
sat_relu,100,1,18,0,81,0,22.258,1.445,19/100 decided
soundnessbench,50,0,0,0,40,10,67.149,6.805,0/50 decided
tinyimagenet_2024,200,0,0,0,195,5,123.577,25.616,0/200 decided
tllverifybench_2023,32,0,0,0,32,0,0,0,no CPU data in r93
traffic_signs_recognition_2023,45,0,0,0,45,0,304.227,61.356,0/45 decided
vggnet16_2022,18,0,0,5,13,0,342.697,68.75,0/18 decided
vit_2023,200,0,0,0,200,0,0,0,no CPU data in r93
yolo_2023,72,0,0,0,0,72,2713.43,60.001,0/72 decided
TOTAL,3448,599,67,185,2489,108,37541.7,524.9,NET 666 V+A across 21 benches
