idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00559_0.vnnlib,350,0,0.0,,not_run,,,
2,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_16972_2.vnnlib,350,0,0.0,,not_run,,,
3,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_05840_0.vnnlib,350,0,0.0,,not_run,,,
4,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_01937_0.vnnlib,350,0,0.0,,not_run,,,
5,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_12559_0.vnnlib,350,0,0.0,,not_run,,,
6,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_00303_0.vnnlib,350,0,0.0,,not_run,,,
7,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_03292_0.vnnlib,350,0,0.0,,not_run,,,
8,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_01849_0.vnnlib,350,0,0.0,,not_run,,,
9,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_02037_0.vnnlib,350,0,0.0,,not_run,,,
10,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_13786_0.vnnlib,350,0,0.0,,not_run,,,
11,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_07658_0.vnnlib,350,0,0.0,,not_run,,,
12,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01534_0.vnnlib,350,0,0.0,,not_run,,,
13,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_15377_1.vnnlib,350,0,0.0,,not_run,,,
14,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_03396_1.vnnlib,350,0,0.0,,not_run,,,
15,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00087_1.vnnlib,350,0,0.0,,not_run,,,
16,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_12878_4.vnnlib,350,0,0.0,,not_run,,,
17,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_03775_0.vnnlib,350,0,0.0,,not_run,,,
18,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00099_1.vnnlib,350,0,0.0,,not_run,,,
19,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_14771_0.vnnlib,350,0,0.0,,not_run,,,
20,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00269_0.vnnlib,350,0,0.0,,not_run,,,
21,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01673_0.vnnlib,350,0,0.0,,not_run,,,
22,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01613_0.vnnlib,350,0,0.0,,not_run,,,
23,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_16845_1.vnnlib,350,0,0.0,,not_run,,,
24,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00206_0.vnnlib,350,0,0.0,,not_run,,,
25,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_08544_0.vnnlib,350,0,0.0,,not_run,,,
26,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_04746_0.vnnlib,350,0,0.0,,not_run,,,
27,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_03372_1.vnnlib,350,0,0.0,,not_run,,,
28,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01366_0.vnnlib,350,0,0.0,,not_run,,,
29,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_02945_0.vnnlib,350,0,0.0,,not_run,,,
30,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_02827_0.vnnlib,350,0,0.0,,not_run,,,
31,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_00055_0.vnnlib,350,0,0.0,,not_run,,,
32,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_15842_2.vnnlib,350,0,0.0,,not_run,,,
33,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_01613_0.vnnlib,350,0,0.0,,not_run,,,
34,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_03746_1.vnnlib,350,0,0.0,,not_run,,,
35,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_06844_2.vnnlib,350,0,0.0,,not_run,,,
36,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_01045_0.vnnlib,350,0,0.0,,not_run,,,
37,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_13330_0.vnnlib,350,0,0.0,,not_run,,,
38,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_00559_0.vnnlib,350,0,0.0,,not_run,,,
39,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_16384_0.vnnlib,350,0,0.0,,not_run,,,
