idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
2,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
3,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.vnnlib,900,0,0.0,,not_run,,,
4,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
5,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,900,0,0.0,,not_run,,,
6,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_1_input_eps_0.015_output_eps_0.020.vnnlib,900,0,0.0,,not_run,,,
7,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_2_input_eps_0.015_output_eps_0.020.vnnlib,900,0,0.0,,not_run,,,
8,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_3_input_eps_0.015_output_eps_0.020.vnnlib,900,0,0.0,,not_run,,,
9,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
10,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
11,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_2_input_eps_0.005_output_eps_0.010.vnnlib,900,0,0.0,,not_run,,,
12,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
13,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_0_input_eps_0.005_output_eps_0.010.vnnlib,900,0,0.0,,not_run,,,
14,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
15,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_2_input_eps_0.005_output_eps_0.010.vnnlib,900,0,0.0,,not_run,,,
16,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,900,0,0.0,,not_run,,,
17,onnx/cGAN_imgSz32_nCh_3_nonlinear_activations.onnx,vnnlib/cGAN_imgSz32_nCh_3_nonlinear_activations_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,1200,0,0.0,,not_run,,,
18,onnx/cGAN_imgSz32_nCh_1_transposedConvPadding_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_transposedConvPadding_1_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,1200,0,0.0,,not_run,,,
19,onnx/cGAN_imgSz32_nCh_3_upsample.onnx,vnnlib/cGAN_imgSz32_nCh_3_upsample_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,1200,0,0.0,,not_run,,,
20,onnx/cGAN_imgSz32_nCh_3_small_transformer.onnx,vnnlib/cGAN_imgSz32_nCh_3_small_transformer_prop_0_input_eps_0.005_output_eps_0.010.vnnlib,1800,0,0.0,,not_run,,,
21,onnx/cGAN_imgSz32_nCh_3_small_transformer.onnx,vnnlib/cGAN_imgSz32_nCh_3_small_transformer_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,1800,0,0.0,,not_run,,,
