idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_2perturbations_delta5_epsilon10_w20.vnnlib,30,30,0.171,FALSIFIED,sat,0,collins_rul_cnn_2022/0001__NN_rul_small_window_20__robustness_2perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0001__NN_rul_small_window_20__robustness_2perturbations_delta5_epsilon10_w20.log
2,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_2perturbations_delta10_epsilon10_w20.vnnlib,30,30,0.238,CERTIFIED,unsat,0,collins_rul_cnn_2022/0002__NN_rul_small_window_20__robustness_2perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0002__NN_rul_small_window_20__robustness_2perturbations_delta10_epsilon10_w20.log
3,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_2perturbations_delta20_epsilon10_w20.vnnlib,60,60,0.288,CERTIFIED,unsat,0,collins_rul_cnn_2022/0003__NN_rul_small_window_20__robustness_2perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0003__NN_rul_small_window_20__robustness_2perturbations_delta20_epsilon10_w20.log
4,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_2perturbations_delta40_epsilon10_w20.vnnlib,60,60,0.369,CERTIFIED,unsat,0,collins_rul_cnn_2022/0004__NN_rul_small_window_20__robustness_2perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0004__NN_rul_small_window_20__robustness_2perturbations_delta40_epsilon10_w20.log
5,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_4perturbations_delta5_epsilon10_w20.vnnlib,60,60,0.152,FALSIFIED,sat,0,collins_rul_cnn_2022/0005__NN_rul_small_window_20__robustness_4perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0005__NN_rul_small_window_20__robustness_4perturbations_delta5_epsilon10_w20.log
6,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_4perturbations_delta10_epsilon10_w20.vnnlib,60,60,0.263,FALSIFIED,sat,0,collins_rul_cnn_2022/0006__NN_rul_small_window_20__robustness_4perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0006__NN_rul_small_window_20__robustness_4perturbations_delta10_epsilon10_w20.log
7,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_4perturbations_delta20_epsilon10_w20.vnnlib,120,120,0.09,FALSIFIED,sat,0,collins_rul_cnn_2022/0007__NN_rul_small_window_20__robustness_4perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0007__NN_rul_small_window_20__robustness_4perturbations_delta20_epsilon10_w20.log
8,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_4perturbations_delta40_epsilon10_w20.vnnlib,120,120,0.357,UNKNOWN,unknown,0,collins_rul_cnn_2022/0008__NN_rul_small_window_20__robustness_4perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0008__NN_rul_small_window_20__robustness_4perturbations_delta40_epsilon10_w20.log
9,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_8perturbations_delta5_epsilon10_w20.vnnlib,120,120,0.553,CERTIFIED,unsat,0,collins_rul_cnn_2022/0009__NN_rul_small_window_20__robustness_8perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0009__NN_rul_small_window_20__robustness_8perturbations_delta5_epsilon10_w20.log
10,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_8perturbations_delta10_epsilon10_w20.vnnlib,120,120,0.383,CERTIFIED,unsat,0,collins_rul_cnn_2022/0010__NN_rul_small_window_20__robustness_8perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0010__NN_rul_small_window_20__robustness_8perturbations_delta10_epsilon10_w20.log
11,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_8perturbations_delta20_epsilon10_w20.vnnlib,300,300,0.41,CERTIFIED,unsat,0,collins_rul_cnn_2022/0011__NN_rul_small_window_20__robustness_8perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0011__NN_rul_small_window_20__robustness_8perturbations_delta20_epsilon10_w20.log
12,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_8perturbations_delta40_epsilon10_w20.vnnlib,300,300,2.309,CERTIFIED,unsat,0,collins_rul_cnn_2022/0012__NN_rul_small_window_20__robustness_8perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0012__NN_rul_small_window_20__robustness_8perturbations_delta40_epsilon10_w20.log
13,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta5_epsilon10_w20.vnnlib,300,300,0.246,CERTIFIED,unsat,0,collins_rul_cnn_2022/0013__NN_rul_small_window_20__robustness_16perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0013__NN_rul_small_window_20__robustness_16perturbations_delta5_epsilon10_w20.log
14,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta10_epsilon10_w20.vnnlib,300,300,1.711,FALSIFIED,sat,0,collins_rul_cnn_2022/0014__NN_rul_small_window_20__robustness_16perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0014__NN_rul_small_window_20__robustness_16perturbations_delta10_epsilon10_w20.log
15,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta20_epsilon10_w20.vnnlib,300,300,1.55,CERTIFIED,unsat,0,collins_rul_cnn_2022/0015__NN_rul_small_window_20__robustness_16perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0015__NN_rul_small_window_20__robustness_16perturbations_delta20_epsilon10_w20.log
16,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta40_epsilon10_w20.vnnlib,300,300,1.679,UNKNOWN,unknown,0,collins_rul_cnn_2022/0016__NN_rul_small_window_20__robustness_16perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0016__NN_rul_small_window_20__robustness_16perturbations_delta40_epsilon10_w20.log
17,onnx/NN_rul_small_window_20.onnx,vnnlib/monotonicity_CI_shift5_w20.vnnlib,30,30,0.835,CERTIFIED,unsat,0,collins_rul_cnn_2022/0017__NN_rul_small_window_20__monotonicity_CI_shift5_w20.result,collins_rul_cnn_2022/0017__NN_rul_small_window_20__monotonicity_CI_shift5_w20.log
18,onnx/NN_rul_small_window_20.onnx,vnnlib/monotonicity_CI_shift10_w20.vnnlib,120,120,0.227,CERTIFIED,unsat,0,collins_rul_cnn_2022/0018__NN_rul_small_window_20__monotonicity_CI_shift10_w20.result,collins_rul_cnn_2022/0018__NN_rul_small_window_20__monotonicity_CI_shift10_w20.log
19,onnx/NN_rul_small_window_20.onnx,vnnlib/monotonicity_CI_shift20_w20.vnnlib,300,300,0.244,CERTIFIED,unsat,0,collins_rul_cnn_2022/0019__NN_rul_small_window_20__monotonicity_CI_shift20_w20.result,collins_rul_cnn_2022/0019__NN_rul_small_window_20__monotonicity_CI_shift20_w20.log
20,onnx/NN_rul_small_window_20.onnx,vnnlib/if_then_5levels_w20.vnnlib,1800,1800,165.083,UNKNOWN,unknown,0,collins_rul_cnn_2022/0020__NN_rul_small_window_20__if_then_5levels_w20.result,collins_rul_cnn_2022/0020__NN_rul_small_window_20__if_then_5levels_w20.log
21,onnx/NN_rul_small_window_20.onnx,vnnlib/if_then_7levels_w20.vnnlib,1800,1800,109.03,UNKNOWN,unknown,0,collins_rul_cnn_2022/0021__NN_rul_small_window_20__if_then_7levels_w20.result,collins_rul_cnn_2022/0021__NN_rul_small_window_20__if_then_7levels_w20.log
22,onnx/NN_rul_small_window_20.onnx,vnnlib/if_then_9levels_w20.vnnlib,1800,1800,43.996,UNKNOWN,unknown,0,collins_rul_cnn_2022/0022__NN_rul_small_window_20__if_then_9levels_w20.result,collins_rul_cnn_2022/0022__NN_rul_small_window_20__if_then_9levels_w20.log
23,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_2perturbations_delta5_epsilon10_w20.vnnlib,30,30,0.714,FALSIFIED,sat,0,collins_rul_cnn_2022/0023__NN_rul_full_window_20__robustness_2perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0023__NN_rul_full_window_20__robustness_2perturbations_delta5_epsilon10_w20.log
24,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_2perturbations_delta10_epsilon10_w20.vnnlib,30,30,0.544,CERTIFIED,unsat,0,collins_rul_cnn_2022/0024__NN_rul_full_window_20__robustness_2perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0024__NN_rul_full_window_20__robustness_2perturbations_delta10_epsilon10_w20.log
25,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_2perturbations_delta20_epsilon10_w20.vnnlib,60,60,1.263,CERTIFIED,unsat,0,collins_rul_cnn_2022/0025__NN_rul_full_window_20__robustness_2perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0025__NN_rul_full_window_20__robustness_2perturbations_delta20_epsilon10_w20.log
26,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_2perturbations_delta40_epsilon10_w20.vnnlib,120,120,1.238,CERTIFIED,unsat,0,collins_rul_cnn_2022/0026__NN_rul_full_window_20__robustness_2perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0026__NN_rul_full_window_20__robustness_2perturbations_delta40_epsilon10_w20.log
27,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_4perturbations_delta5_epsilon10_w20.vnnlib,60,60,0.379,FALSIFIED,sat,0,collins_rul_cnn_2022/0027__NN_rul_full_window_20__robustness_4perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0027__NN_rul_full_window_20__robustness_4perturbations_delta5_epsilon10_w20.log
28,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_4perturbations_delta10_epsilon10_w20.vnnlib,60,60,1.308,FALSIFIED,sat,0,collins_rul_cnn_2022/0028__NN_rul_full_window_20__robustness_4perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0028__NN_rul_full_window_20__robustness_4perturbations_delta10_epsilon10_w20.log
29,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_4perturbations_delta20_epsilon10_w20.vnnlib,120,120,0.154,FALSIFIED,sat,0,collins_rul_cnn_2022/0029__NN_rul_full_window_20__robustness_4perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0029__NN_rul_full_window_20__robustness_4perturbations_delta20_epsilon10_w20.log
30,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_4perturbations_delta40_epsilon10_w20.vnnlib,300,300,3.583,UNKNOWN,unknown,0,collins_rul_cnn_2022/0030__NN_rul_full_window_20__robustness_4perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0030__NN_rul_full_window_20__robustness_4perturbations_delta40_epsilon10_w20.log
31,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_8perturbations_delta5_epsilon10_w20.vnnlib,120,120,1.206,CERTIFIED,unsat,0,collins_rul_cnn_2022/0031__NN_rul_full_window_20__robustness_8perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0031__NN_rul_full_window_20__robustness_8perturbations_delta5_epsilon10_w20.log
32,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_8perturbations_delta10_epsilon10_w20.vnnlib,300,300,1.328,CERTIFIED,unsat,0,collins_rul_cnn_2022/0032__NN_rul_full_window_20__robustness_8perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0032__NN_rul_full_window_20__robustness_8perturbations_delta10_epsilon10_w20.log
33,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_8perturbations_delta20_epsilon10_w20.vnnlib,300,300,1.446,CERTIFIED,unsat,0,collins_rul_cnn_2022/0033__NN_rul_full_window_20__robustness_8perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0033__NN_rul_full_window_20__robustness_8perturbations_delta20_epsilon10_w20.log
34,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_8perturbations_delta40_epsilon10_w20.vnnlib,300,300,4.714,CERTIFIED,unsat,0,collins_rul_cnn_2022/0034__NN_rul_full_window_20__robustness_8perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0034__NN_rul_full_window_20__robustness_8perturbations_delta40_epsilon10_w20.log
35,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_16perturbations_delta5_epsilon10_w20.vnnlib,300,300,1.317,CERTIFIED,unsat,0,collins_rul_cnn_2022/0035__NN_rul_full_window_20__robustness_16perturbations_delta5_epsilon10_w20.result,collins_rul_cnn_2022/0035__NN_rul_full_window_20__robustness_16perturbations_delta5_epsilon10_w20.log
36,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_16perturbations_delta10_epsilon10_w20.vnnlib,300,300,3.357,FALSIFIED,sat,0,collins_rul_cnn_2022/0036__NN_rul_full_window_20__robustness_16perturbations_delta10_epsilon10_w20.result,collins_rul_cnn_2022/0036__NN_rul_full_window_20__robustness_16perturbations_delta10_epsilon10_w20.log
37,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_16perturbations_delta20_epsilon10_w20.vnnlib,300,300,4.781,CERTIFIED,unsat,0,collins_rul_cnn_2022/0037__NN_rul_full_window_20__robustness_16perturbations_delta20_epsilon10_w20.result,collins_rul_cnn_2022/0037__NN_rul_full_window_20__robustness_16perturbations_delta20_epsilon10_w20.log
38,onnx/NN_rul_full_window_20.onnx,vnnlib/robustness_16perturbations_delta40_epsilon10_w20.vnnlib,300,300,5.744,UNKNOWN,unknown,0,collins_rul_cnn_2022/0038__NN_rul_full_window_20__robustness_16perturbations_delta40_epsilon10_w20.result,collins_rul_cnn_2022/0038__NN_rul_full_window_20__robustness_16perturbations_delta40_epsilon10_w20.log
39,onnx/NN_rul_full_window_20.onnx,vnnlib/monotonicity_CI_shift5_w20.vnnlib,60,60,0.571,CERTIFIED,unsat,0,collins_rul_cnn_2022/0039__NN_rul_full_window_20__monotonicity_CI_shift5_w20.result,collins_rul_cnn_2022/0039__NN_rul_full_window_20__monotonicity_CI_shift5_w20.log
40,onnx/NN_rul_full_window_20.onnx,vnnlib/monotonicity_CI_shift10_w20.vnnlib,180,180,0.569,CERTIFIED,unsat,0,collins_rul_cnn_2022/0040__NN_rul_full_window_20__monotonicity_CI_shift10_w20.result,collins_rul_cnn_2022/0040__NN_rul_full_window_20__monotonicity_CI_shift10_w20.log
41,onnx/NN_rul_full_window_20.onnx,vnnlib/monotonicity_CI_shift20_w20.vnnlib,360,360,1.746,CERTIFIED,unsat,0,collins_rul_cnn_2022/0041__NN_rul_full_window_20__monotonicity_CI_shift20_w20.result,collins_rul_cnn_2022/0041__NN_rul_full_window_20__monotonicity_CI_shift20_w20.log
42,onnx/NN_rul_full_window_20.onnx,vnnlib/if_then_7levels_w20.vnnlib,1800,1800,195.162,UNKNOWN,unknown,0,collins_rul_cnn_2022/0042__NN_rul_full_window_20__if_then_7levels_w20.result,collins_rul_cnn_2022/0042__NN_rul_full_window_20__if_then_7levels_w20.log
43,onnx/NN_rul_full_window_20.onnx,vnnlib/if_then_9levels_w20.vnnlib,1800,1800,188.562,UNKNOWN,unknown,0,collins_rul_cnn_2022/0043__NN_rul_full_window_20__if_then_9levels_w20.result,collins_rul_cnn_2022/0043__NN_rul_full_window_20__if_then_9levels_w20.log
44,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_2perturbations_delta5_epsilon10_w40.vnnlib,60,60,1.991,CERTIFIED,unsat,0,collins_rul_cnn_2022/0044__NN_rul_full_window_40__robustness_2perturbations_delta5_epsilon10_w40.result,collins_rul_cnn_2022/0044__NN_rul_full_window_40__robustness_2perturbations_delta5_epsilon10_w40.log
45,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_2perturbations_delta10_epsilon10_w40.vnnlib,90,90,1.823,CERTIFIED,unsat,0,collins_rul_cnn_2022/0045__NN_rul_full_window_40__robustness_2perturbations_delta10_epsilon10_w40.result,collins_rul_cnn_2022/0045__NN_rul_full_window_40__robustness_2perturbations_delta10_epsilon10_w40.log
46,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_2perturbations_delta20_epsilon10_w40.vnnlib,120,120,2.04,CERTIFIED,unsat,0,collins_rul_cnn_2022/0046__NN_rul_full_window_40__robustness_2perturbations_delta20_epsilon10_w40.result,collins_rul_cnn_2022/0046__NN_rul_full_window_40__robustness_2perturbations_delta20_epsilon10_w40.log
47,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_2perturbations_delta40_epsilon10_w40.vnnlib,300,300,1.945,CERTIFIED,unsat,0,collins_rul_cnn_2022/0047__NN_rul_full_window_40__robustness_2perturbations_delta40_epsilon10_w40.result,collins_rul_cnn_2022/0047__NN_rul_full_window_40__robustness_2perturbations_delta40_epsilon10_w40.log
48,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_4perturbations_delta5_epsilon10_w40.vnnlib,120,120,1.886,FALSIFIED,sat,0,collins_rul_cnn_2022/0048__NN_rul_full_window_40__robustness_4perturbations_delta5_epsilon10_w40.result,collins_rul_cnn_2022/0048__NN_rul_full_window_40__robustness_4perturbations_delta5_epsilon10_w40.log
49,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_4perturbations_delta10_epsilon10_w40.vnnlib,120,120,1.972,UNKNOWN,unknown,0,collins_rul_cnn_2022/0049__NN_rul_full_window_40__robustness_4perturbations_delta10_epsilon10_w40.result,collins_rul_cnn_2022/0049__NN_rul_full_window_40__robustness_4perturbations_delta10_epsilon10_w40.log
50,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_4perturbations_delta20_epsilon10_w40.vnnlib,120,120,1.977,CERTIFIED,unsat,0,collins_rul_cnn_2022/0050__NN_rul_full_window_40__robustness_4perturbations_delta20_epsilon10_w40.result,collins_rul_cnn_2022/0050__NN_rul_full_window_40__robustness_4perturbations_delta20_epsilon10_w40.log
51,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_4perturbations_delta40_epsilon10_w40.vnnlib,300,300,2.051,UNKNOWN,unknown,0,collins_rul_cnn_2022/0051__NN_rul_full_window_40__robustness_4perturbations_delta40_epsilon10_w40.result,collins_rul_cnn_2022/0051__NN_rul_full_window_40__robustness_4perturbations_delta40_epsilon10_w40.log
52,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_8perturbations_delta5_epsilon10_w40.vnnlib,120,120,2.004,CERTIFIED,unsat,0,collins_rul_cnn_2022/0052__NN_rul_full_window_40__robustness_8perturbations_delta5_epsilon10_w40.result,collins_rul_cnn_2022/0052__NN_rul_full_window_40__robustness_8perturbations_delta5_epsilon10_w40.log
53,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_8perturbations_delta10_epsilon10_w40.vnnlib,300,300,1.964,CERTIFIED,unsat,0,collins_rul_cnn_2022/0053__NN_rul_full_window_40__robustness_8perturbations_delta10_epsilon10_w40.result,collins_rul_cnn_2022/0053__NN_rul_full_window_40__robustness_8perturbations_delta10_epsilon10_w40.log
54,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_8perturbations_delta20_epsilon10_w40.vnnlib,300,300,2.149,CERTIFIED,unsat,0,collins_rul_cnn_2022/0054__NN_rul_full_window_40__robustness_8perturbations_delta20_epsilon10_w40.result,collins_rul_cnn_2022/0054__NN_rul_full_window_40__robustness_8perturbations_delta20_epsilon10_w40.log
55,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_8perturbations_delta40_epsilon10_w40.vnnlib,600,600,2.23,UNKNOWN,unknown,0,collins_rul_cnn_2022/0055__NN_rul_full_window_40__robustness_8perturbations_delta40_epsilon10_w40.result,collins_rul_cnn_2022/0055__NN_rul_full_window_40__robustness_8perturbations_delta40_epsilon10_w40.log
56,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_16perturbations_delta5_epsilon10_w40.vnnlib,300,300,2.004,CERTIFIED,unsat,0,collins_rul_cnn_2022/0056__NN_rul_full_window_40__robustness_16perturbations_delta5_epsilon10_w40.result,collins_rul_cnn_2022/0056__NN_rul_full_window_40__robustness_16perturbations_delta5_epsilon10_w40.log
57,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_16perturbations_delta10_epsilon10_w40.vnnlib,300,300,2.143,CERTIFIED,unsat,0,collins_rul_cnn_2022/0057__NN_rul_full_window_40__robustness_16perturbations_delta10_epsilon10_w40.result,collins_rul_cnn_2022/0057__NN_rul_full_window_40__robustness_16perturbations_delta10_epsilon10_w40.log
58,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_16perturbations_delta20_epsilon10_w40.vnnlib,600,600,2.273,CERTIFIED,unsat,0,collins_rul_cnn_2022/0058__NN_rul_full_window_40__robustness_16perturbations_delta20_epsilon10_w40.result,collins_rul_cnn_2022/0058__NN_rul_full_window_40__robustness_16perturbations_delta20_epsilon10_w40.log
59,onnx/NN_rul_full_window_40.onnx,vnnlib/robustness_16perturbations_delta40_epsilon10_w40.vnnlib,1200,1200,2.376,CERTIFIED,unsat,0,collins_rul_cnn_2022/0059__NN_rul_full_window_40__robustness_16perturbations_delta40_epsilon10_w40.result,collins_rul_cnn_2022/0059__NN_rul_full_window_40__robustness_16perturbations_delta40_epsilon10_w40.log
60,onnx/NN_rul_full_window_40.onnx,vnnlib/monotonicity_CI_shift5_w40.vnnlib,120,120,2.032,CERTIFIED,unsat,0,collins_rul_cnn_2022/0060__NN_rul_full_window_40__monotonicity_CI_shift5_w40.result,collins_rul_cnn_2022/0060__NN_rul_full_window_40__monotonicity_CI_shift5_w40.log
61,onnx/NN_rul_full_window_40.onnx,vnnlib/monotonicity_CI_shift10_w40.vnnlib,300,300,1.985,CERTIFIED,unsat,0,collins_rul_cnn_2022/0061__NN_rul_full_window_40__monotonicity_CI_shift10_w40.result,collins_rul_cnn_2022/0061__NN_rul_full_window_40__monotonicity_CI_shift10_w40.log
62,onnx/NN_rul_full_window_40.onnx,vnnlib/monotonicity_CI_shift20_w40.vnnlib,600,600,2.0,CERTIFIED,unsat,0,collins_rul_cnn_2022/0062__NN_rul_full_window_40__monotonicity_CI_shift20_w40.result,collins_rul_cnn_2022/0062__NN_rul_full_window_40__monotonicity_CI_shift20_w40.log
