idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/mnist-point.onnx,vnnlib/mnist-img0.vnnlib,30,30,38.124,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0001__mnist-point__mnist-img0.result,cora_2024/0001__mnist-point__mnist-img0.log
2,onnx/mnist-trades.onnx,vnnlib/mnist-img0.vnnlib,30,30,38.126,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0002__mnist-trades__mnist-img0.result,cora_2024/0002__mnist-trades__mnist-img0.log
3,onnx/mnist-set.onnx,vnnlib/mnist-img0.vnnlib,30,30,38.124,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0003__mnist-set__mnist-img0.result,cora_2024/0003__mnist-set__mnist-img0.log
4,onnx/mnist-point.onnx,vnnlib/mnist-img1.vnnlib,30,30,38.123,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0004__mnist-point__mnist-img1.result,cora_2024/0004__mnist-point__mnist-img1.log
5,onnx/mnist-trades.onnx,vnnlib/mnist-img1.vnnlib,30,30,38.125,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0005__mnist-trades__mnist-img1.result,cora_2024/0005__mnist-trades__mnist-img1.log
6,onnx/mnist-set.onnx,vnnlib/mnist-img1.vnnlib,30,30,33.494,UNKNOWN,unknown,0,cora_2024/0006__mnist-set__mnist-img1.result,cora_2024/0006__mnist-set__mnist-img1.log
7,onnx/mnist-point.onnx,vnnlib/mnist-img2.vnnlib,30,30,38.125,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0007__mnist-point__mnist-img2.result,cora_2024/0007__mnist-point__mnist-img2.log
8,onnx/mnist-trades.onnx,vnnlib/mnist-img2.vnnlib,30,30,38.125,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0008__mnist-trades__mnist-img2.result,cora_2024/0008__mnist-trades__mnist-img2.log
9,onnx/mnist-set.onnx,vnnlib/mnist-img2.vnnlib,30,30,9.868,CERTIFIED,unsat,0,cora_2024/0009__mnist-set__mnist-img2.result,cora_2024/0009__mnist-set__mnist-img2.log
10,onnx/mnist-point.onnx,vnnlib/mnist-img3.vnnlib,30,30,38.124,UNKNOWN_TIMEOUT,timeout,0,cora_2024/0010__mnist-point__mnist-img3.result,cora_2024/0010__mnist-point__mnist-img3.log
11,onnx/mnist-trades.onnx,vnnlib/mnist-img3.vnnlib,30,0,0.0,,not_run,,,
12,onnx/mnist-set.onnx,vnnlib/mnist-img3.vnnlib,30,0,0.0,,not_run,,,
13,onnx/mnist-point.onnx,vnnlib/mnist-img4.vnnlib,30,0,0.0,,not_run,,,
14,onnx/mnist-trades.onnx,vnnlib/mnist-img4.vnnlib,30,0,0.0,,not_run,,,
15,onnx/mnist-set.onnx,vnnlib/mnist-img4.vnnlib,30,0,0.0,,not_run,,,
16,onnx/mnist-point.onnx,vnnlib/mnist-img5.vnnlib,30,0,0.0,,not_run,,,
17,onnx/mnist-trades.onnx,vnnlib/mnist-img5.vnnlib,30,0,0.0,,not_run,,,
18,onnx/mnist-set.onnx,vnnlib/mnist-img5.vnnlib,30,0,0.0,,not_run,,,
19,onnx/mnist-point.onnx,vnnlib/mnist-img6.vnnlib,30,0,0.0,,not_run,,,
20,onnx/mnist-trades.onnx,vnnlib/mnist-img6.vnnlib,30,0,0.0,,not_run,,,
21,onnx/mnist-set.onnx,vnnlib/mnist-img6.vnnlib,30,0,0.0,,not_run,,,
22,onnx/mnist-point.onnx,vnnlib/mnist-img7.vnnlib,30,0,0.0,,not_run,,,
23,onnx/mnist-trades.onnx,vnnlib/mnist-img7.vnnlib,30,0,0.0,,not_run,,,
24,onnx/mnist-set.onnx,vnnlib/mnist-img7.vnnlib,30,0,0.0,,not_run,,,
25,onnx/mnist-point.onnx,vnnlib/mnist-img8.vnnlib,30,0,0.0,,not_run,,,
26,onnx/mnist-trades.onnx,vnnlib/mnist-img8.vnnlib,30,0,0.0,,not_run,,,
27,onnx/mnist-set.onnx,vnnlib/mnist-img8.vnnlib,30,0,0.0,,not_run,,,
28,onnx/mnist-point.onnx,vnnlib/mnist-img9.vnnlib,30,0,0.0,,not_run,,,
29,onnx/mnist-trades.onnx,vnnlib/mnist-img9.vnnlib,30,0,0.0,,not_run,,,
30,onnx/mnist-set.onnx,vnnlib/mnist-img9.vnnlib,30,0,0.0,,not_run,,,
31,onnx/mnist-point.onnx,vnnlib/mnist-img10.vnnlib,30,0,0.0,,not_run,,,
32,onnx/mnist-trades.onnx,vnnlib/mnist-img10.vnnlib,30,0,0.0,,not_run,,,
33,onnx/mnist-set.onnx,vnnlib/mnist-img10.vnnlib,30,0,0.0,,not_run,,,
34,onnx/mnist-point.onnx,vnnlib/mnist-img11.vnnlib,30,0,0.0,,not_run,,,
35,onnx/mnist-trades.onnx,vnnlib/mnist-img11.vnnlib,30,0,0.0,,not_run,,,
36,onnx/mnist-set.onnx,vnnlib/mnist-img11.vnnlib,30,0,0.0,,not_run,,,
37,onnx/mnist-point.onnx,vnnlib/mnist-img13.vnnlib,30,0,0.0,,not_run,,,
38,onnx/mnist-trades.onnx,vnnlib/mnist-img13.vnnlib,30,0,0.0,,not_run,,,
