idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/6cnn_tz_35_5_no_custom_OP.onnx,vnnlib/spec_idx_176_eps_0.00001000.vnnlib,210,210,16.509,UNKNOWN_RESOURCE_LIMIT,error,0,metaroom_2023/0001__6cnn_tz_35_5_no_custom_OP__spec_idx_176_eps_0.00001000.result,metaroom_2023/0001__6cnn_tz_35_5_no_custom_OP__spec_idx_176_eps_0.00001000.log
2,onnx/4cnn_tz_65_10_no_custom_OP.onnx,vnnlib/spec_idx_79_eps_0.00001000.vnnlib,210,210,33.128,CERTIFIED,unsat,0,metaroom_2023/0002__4cnn_tz_65_10_no_custom_OP__spec_idx_79_eps_0.00001000.result,metaroom_2023/0002__4cnn_tz_65_10_no_custom_OP__spec_idx_79_eps_0.00001000.log
3,onnx/6cnn_tz_65_10_no_custom_OP.onnx,vnnlib/spec_idx_196_eps_0.00001000.vnnlib,210,210,15.511,UNKNOWN_RESOURCE_LIMIT,error,0,metaroom_2023/0003__6cnn_tz_65_10_no_custom_OP__spec_idx_196_eps_0.00001000.result,metaroom_2023/0003__6cnn_tz_65_10_no_custom_OP__spec_idx_196_eps_0.00001000.log
4,onnx/6cnn_ry_30_5_no_custom_OP.onnx,vnnlib/spec_idx_114_eps_0.00000436.vnnlib,210,210,15.812,UNKNOWN_RESOURCE_LIMIT,error,0,metaroom_2023/0004__6cnn_ry_30_5_no_custom_OP__spec_idx_114_eps_0.00000436.result,metaroom_2023/0004__6cnn_ry_30_5_no_custom_OP__spec_idx_114_eps_0.00000436.log
5,onnx/4cnn_ry_47_7_no_custom_OP.onnx,vnnlib/spec_idx_23_eps_0.00000436.vnnlib,210,210,32.164,CERTIFIED,unsat,0,metaroom_2023/0005__4cnn_ry_47_7_no_custom_OP__spec_idx_23_eps_0.00000436.result,metaroom_2023/0005__4cnn_ry_47_7_no_custom_OP__spec_idx_23_eps_0.00000436.log
6,onnx/6cnn_ry_5_0_no_custom_OP.onnx,vnnlib/spec_idx_130_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
7,onnx/4cnn_ry_65_10_no_custom_OP.onnx,vnnlib/spec_idx_33_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
8,onnx/4cnn_tz_8_1_no_custom_OP.onnx,vnnlib/spec_idx_88_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
9,onnx/6cnn_ry_38_6_no_custom_OP.onnx,vnnlib/spec_idx_118_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
10,onnx/6cnn_ry_49_8_no_custom_OP.onnx,vnnlib/spec_idx_124_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
11,onnx/4cnn_ry_34_5_no_custom_OP.onnx,vnnlib/spec_idx_12_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
12,onnx/4cnn_tz_37_6_no_custom_OP.onnx,vnnlib/spec_idx_61_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
13,onnx/6cnn_tz_114_19_no_custom_OP.onnx,vnnlib/spec_idx_160_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
14,onnx/4cnn_tz_31_5_no_custom_OP.onnx,vnnlib/spec_idx_57_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
15,onnx/6cnn_ry_93_15_no_custom_OP.onnx,vnnlib/spec_idx_148_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
16,onnx/4cnn_ry_56_9_no_custom_OP.onnx,vnnlib/spec_idx_27_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
17,onnx/6cnn_tz_91_15_no_custom_OP.onnx,vnnlib/spec_idx_207_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
18,onnx/6cnn_ry_48_8_no_custom_OP.onnx,vnnlib/spec_idx_123_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
19,onnx/6cnn_tz_62_10_no_custom_OP.onnx,vnnlib/spec_idx_193_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
20,onnx/6cnn_tz_75_12_no_custom_OP.onnx,vnnlib/spec_idx_203_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
21,onnx/4cnn_ry_6_1_no_custom_OP.onnx,vnnlib/spec_idx_35_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
22,onnx/4cnn_tz_70_11_no_custom_OP.onnx,vnnlib/spec_idx_82_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
23,onnx/4cnn_ry_117_19_no_custom_OP.onnx,vnnlib/spec_idx_3_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
24,onnx/4cnn_tz_117_19_no_custom_OP.onnx,vnnlib/spec_idx_49_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
25,onnx/4cnn_ry_68_11_no_custom_OP.onnx,vnnlib/spec_idx_34_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
26,onnx/4cnn_tz_33_5_no_custom_OP.onnx,vnnlib/spec_idx_58_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
27,onnx/6cnn_ry_57_9_no_custom_OP.onnx,vnnlib/spec_idx_129_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
28,onnx/6cnn_ry_1_0_no_custom_OP.onnx,vnnlib/spec_idx_108_eps_0.00000436.vnnlib,210,0,0.0,,not_run,,,
29,onnx/6cnn_tz_52_8_no_custom_OP.onnx,vnnlib/spec_idx_187_eps_0.00001000.vnnlib,210,0,0.0,,not_run,,,
