idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_0.vnnlib,30,30,0.45,UNKNOWN,unknown,0,nn4sys/0001__pensieve_small_simple__pensieve_simple_0.result,nn4sys/0001__pensieve_small_simple__pensieve_simple_0.log
2,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_1.vnnlib,30,30,12.853,UNKNOWN,unknown,0,nn4sys/0002__pensieve_big_parallel__pensieve_parallel_1.result,nn4sys/0002__pensieve_big_parallel__pensieve_parallel_1.log
3,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_2.vnnlib,30,30,0.429,UNKNOWN,unknown,0,nn4sys/0003__pensieve_small_simple__pensieve_simple_2.result,nn4sys/0003__pensieve_small_simple__pensieve_simple_2.log
4,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_3.vnnlib,30,30,0.423,UNKNOWN,unknown,0,nn4sys/0004__pensieve_small_simple__pensieve_simple_3.result,nn4sys/0004__pensieve_small_simple__pensieve_simple_3.log
5,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_4.vnnlib,30,30,0.738,UNKNOWN,unknown,0,nn4sys/0005__pensieve_small_parallel__pensieve_parallel_4.result,nn4sys/0005__pensieve_small_parallel__pensieve_parallel_4.log
6,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_5.vnnlib,30,30,0.43,UNKNOWN,unknown,0,nn4sys/0006__pensieve_small_simple__pensieve_simple_5.result,nn4sys/0006__pensieve_small_simple__pensieve_simple_5.log
7,onnx/pensieve_mid_simple.onnx,vnnlib/pensieve_simple_6.vnnlib,30,30,6.101,UNKNOWN,unknown,0,nn4sys/0007__pensieve_mid_simple__pensieve_simple_6.result,nn4sys/0007__pensieve_mid_simple__pensieve_simple_6.log
8,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_7.vnnlib,30,30,6.571,UNKNOWN,unknown,0,nn4sys/0008__pensieve_big_simple__pensieve_simple_7.result,nn4sys/0008__pensieve_big_simple__pensieve_simple_7.log
9,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_8.vnnlib,30,30,12.944,UNKNOWN,unknown,0,nn4sys/0009__pensieve_big_parallel__pensieve_parallel_8.result,nn4sys/0009__pensieve_big_parallel__pensieve_parallel_8.log
10,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_9.vnnlib,30,30,0.735,UNKNOWN,unknown,0,nn4sys/0010__pensieve_small_parallel__pensieve_parallel_9.result,nn4sys/0010__pensieve_small_parallel__pensieve_parallel_9.log
11,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_10.vnnlib,30,30,39.606,UNKNOWN,unknown,0,nn4sys/0011__pensieve_big_simple__pensieve_simple_10.result,nn4sys/0011__pensieve_big_simple__pensieve_simple_10.log
12,onnx/pensieve_mid_simple.onnx,vnnlib/pensieve_simple_11.vnnlib,30,30,6.157,UNKNOWN,unknown,0,nn4sys/0012__pensieve_mid_simple__pensieve_simple_11.result,nn4sys/0012__pensieve_mid_simple__pensieve_simple_11.log
13,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_12.vnnlib,30,30,6.599,UNKNOWN,unknown,0,nn4sys/0013__pensieve_big_simple__pensieve_simple_12.result,nn4sys/0013__pensieve_big_simple__pensieve_simple_12.log
14,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_13.vnnlib,30,30,0.443,UNKNOWN,unknown,0,nn4sys/0014__pensieve_small_simple__pensieve_simple_13.result,nn4sys/0014__pensieve_small_simple__pensieve_simple_13.log
15,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_14.vnnlib,30,30,6.625,UNKNOWN,unknown,0,nn4sys/0015__pensieve_big_simple__pensieve_simple_14.result,nn4sys/0015__pensieve_big_simple__pensieve_simple_14.log
16,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_15.vnnlib,30,30,0.434,UNKNOWN,unknown,0,nn4sys/0016__pensieve_small_simple__pensieve_simple_15.result,nn4sys/0016__pensieve_small_simple__pensieve_simple_15.log
17,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_16.vnnlib,30,30,0.429,UNKNOWN,unknown,0,nn4sys/0017__pensieve_small_simple__pensieve_simple_16.result,nn4sys/0017__pensieve_small_simple__pensieve_simple_16.log
18,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_17.vnnlib,30,30,0.738,UNKNOWN,unknown,0,nn4sys/0018__pensieve_small_parallel__pensieve_parallel_17.result,nn4sys/0018__pensieve_small_parallel__pensieve_parallel_17.log
19,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_18.vnnlib,30,30,0.43,UNKNOWN,unknown,0,nn4sys/0019__pensieve_small_simple__pensieve_simple_18.result,nn4sys/0019__pensieve_small_simple__pensieve_simple_18.log
20,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_19.vnnlib,30,30,0.737,UNKNOWN,unknown,0,nn4sys/0020__pensieve_small_parallel__pensieve_parallel_19.result,nn4sys/0020__pensieve_small_parallel__pensieve_parallel_19.log
21,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_20.vnnlib,30,30,0.724,UNKNOWN,unknown,0,nn4sys/0021__pensieve_small_parallel__pensieve_parallel_20.result,nn4sys/0021__pensieve_small_parallel__pensieve_parallel_20.log
22,onnx/pensieve_mid_simple.onnx,vnnlib/pensieve_simple_21.vnnlib,30,30,6.202,UNKNOWN,unknown,0,nn4sys/0022__pensieve_mid_simple__pensieve_simple_21.result,nn4sys/0022__pensieve_mid_simple__pensieve_simple_21.log
23,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_22.vnnlib,30,30,6.556,UNKNOWN,unknown,0,nn4sys/0023__pensieve_big_simple__pensieve_simple_22.result,nn4sys/0023__pensieve_big_simple__pensieve_simple_22.log
24,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_23.vnnlib,30,30,12.921,UNKNOWN,unknown,0,nn4sys/0024__pensieve_big_parallel__pensieve_parallel_23.result,nn4sys/0024__pensieve_big_parallel__pensieve_parallel_23.log
25,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_24.vnnlib,30,30,13.165,UNKNOWN,unknown,0,nn4sys/0025__pensieve_big_parallel__pensieve_parallel_24.result,nn4sys/0025__pensieve_big_parallel__pensieve_parallel_24.log
26,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_25.vnnlib,30,30,6.537,UNKNOWN,unknown,0,nn4sys/0026__pensieve_big_simple__pensieve_simple_25.result,nn4sys/0026__pensieve_big_simple__pensieve_simple_25.log
27,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_26.vnnlib,30,30,6.578,UNKNOWN,unknown,0,nn4sys/0027__pensieve_big_simple__pensieve_simple_26.result,nn4sys/0027__pensieve_big_simple__pensieve_simple_26.log
28,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_27.vnnlib,30,30,0.735,UNKNOWN,unknown,0,nn4sys/0028__pensieve_small_parallel__pensieve_parallel_27.result,nn4sys/0028__pensieve_small_parallel__pensieve_parallel_27.log
29,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_28.vnnlib,30,30,0.429,UNKNOWN,unknown,0,nn4sys/0029__pensieve_small_simple__pensieve_simple_28.result,nn4sys/0029__pensieve_small_simple__pensieve_simple_28.log
30,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_29.vnnlib,30,30,6.665,UNKNOWN,unknown,0,nn4sys/0030__pensieve_big_simple__pensieve_simple_29.result,nn4sys/0030__pensieve_big_simple__pensieve_simple_29.log
31,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_30.vnnlib,30,30,12.859,UNKNOWN,unknown,0,nn4sys/0031__pensieve_big_parallel__pensieve_parallel_30.result,nn4sys/0031__pensieve_big_parallel__pensieve_parallel_30.log
32,onnx/pensieve_big_simple.onnx,vnnlib/pensieve_simple_31.vnnlib,30,30,8.604,UNKNOWN,unknown,0,nn4sys/0032__pensieve_big_simple__pensieve_simple_31.result,nn4sys/0032__pensieve_big_simple__pensieve_simple_31.log
33,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_32.vnnlib,30,30,0.784,UNKNOWN,unknown,0,nn4sys/0033__pensieve_small_parallel__pensieve_parallel_32.result,nn4sys/0033__pensieve_small_parallel__pensieve_parallel_32.log
34,onnx/pensieve_small_parallel.onnx,vnnlib/pensieve_parallel_33.vnnlib,30,30,0.741,UNKNOWN,unknown,0,nn4sys/0034__pensieve_small_parallel__pensieve_parallel_33.result,nn4sys/0034__pensieve_small_parallel__pensieve_parallel_33.log
35,onnx/pensieve_small_simple.onnx,vnnlib/pensieve_simple_34.vnnlib,30,30,0.435,UNKNOWN,unknown,0,nn4sys/0035__pensieve_small_simple__pensieve_simple_34.result,nn4sys/0035__pensieve_small_simple__pensieve_simple_34.log
36,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_35.vnnlib,60,60,12.984,UNKNOWN,unknown,0,nn4sys/0036__pensieve_big_parallel__pensieve_parallel_35.result,nn4sys/0036__pensieve_big_parallel__pensieve_parallel_35.log
37,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_36.vnnlib,60,60,13.062,UNKNOWN,unknown,0,nn4sys/0037__pensieve_big_parallel__pensieve_parallel_36.result,nn4sys/0037__pensieve_big_parallel__pensieve_parallel_36.log
38,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_37.vnnlib,60,60,12.946,UNKNOWN,unknown,0,nn4sys/0038__pensieve_big_parallel__pensieve_parallel_37.result,nn4sys/0038__pensieve_big_parallel__pensieve_parallel_37.log
39,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_38.vnnlib,60,60,12.929,UNKNOWN,unknown,0,nn4sys/0039__pensieve_big_parallel__pensieve_parallel_38.result,nn4sys/0039__pensieve_big_parallel__pensieve_parallel_38.log
40,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_39.vnnlib,60,60,13.118,UNKNOWN,unknown,0,nn4sys/0040__pensieve_big_parallel__pensieve_parallel_39.result,nn4sys/0040__pensieve_big_parallel__pensieve_parallel_39.log
41,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_40.vnnlib,60,60,12.882,UNKNOWN,unknown,0,nn4sys/0041__pensieve_big_parallel__pensieve_parallel_40.result,nn4sys/0041__pensieve_big_parallel__pensieve_parallel_40.log
42,onnx/pensieve_big_parallel.onnx,vnnlib/pensieve_parallel_41.vnnlib,60,60,13.013,UNKNOWN,unknown,0,nn4sys/0042__pensieve_big_parallel__pensieve_parallel_41.result,nn4sys/0042__pensieve_big_parallel__pensieve_parallel_41.log
