idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/model.onnx,vnnlib/model_0.vnnlib,150,150,6.705,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0001__model__model_0.result,soundnessbench/0001__model__model_0.log
2,onnx/model.onnx,vnnlib/model_1.vnnlib,150,150,6.805,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0002__model__model_1.result,soundnessbench/0002__model__model_1.log
3,onnx/model.onnx,vnnlib/model_2.vnnlib,150,150,6.705,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0003__model__model_2.result,soundnessbench/0003__model__model_2.log
4,onnx/model.onnx,vnnlib/model_3.vnnlib,150,150,6.804,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0004__model__model_3.result,soundnessbench/0004__model__model_3.log
5,onnx/model.onnx,vnnlib/model_4.vnnlib,150,150,6.204,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0005__model__model_4.result,soundnessbench/0005__model__model_4.log
6,onnx/model.onnx,vnnlib/model_5.vnnlib,150,150,6.805,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0006__model__model_5.result,soundnessbench/0006__model__model_5.log
7,onnx/model.onnx,vnnlib/model_6.vnnlib,150,150,6.805,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0007__model__model_6.result,soundnessbench/0007__model__model_6.log
8,onnx/model.onnx,vnnlib/model_7.vnnlib,150,150,6.805,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0008__model__model_7.result,soundnessbench/0008__model__model_7.log
9,onnx/model.onnx,vnnlib/model_8.vnnlib,150,150,6.805,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0009__model__model_8.result,soundnessbench/0009__model__model_8.log
10,onnx/model.onnx,vnnlib/model_9.vnnlib,150,150,6.706,UNKNOWN_RESOURCE_LIMIT,error,0,soundnessbench/0010__model__model_9.result,soundnessbench/0010__model__model_9.log
11,onnx/model.onnx,vnnlib/model_10.vnnlib,150,0,0.0,,not_run,,,
12,onnx/model.onnx,vnnlib/model_11.vnnlib,150,0,0.0,,not_run,,,
13,onnx/model.onnx,vnnlib/model_12.vnnlib,150,0,0.0,,not_run,,,
14,onnx/model.onnx,vnnlib/model_13.vnnlib,150,0,0.0,,not_run,,,
15,onnx/model.onnx,vnnlib/model_14.vnnlib,150,0,0.0,,not_run,,,
16,onnx/model.onnx,vnnlib/model_15.vnnlib,150,0,0.0,,not_run,,,
17,onnx/model.onnx,vnnlib/model_16.vnnlib,150,0,0.0,,not_run,,,
18,onnx/model.onnx,vnnlib/model_17.vnnlib,150,0,0.0,,not_run,,,
19,onnx/model.onnx,vnnlib/model_18.vnnlib,150,0,0.0,,not_run,,,
20,onnx/model.onnx,vnnlib/model_19.vnnlib,150,0,0.0,,not_run,,,
21,onnx/model.onnx,vnnlib/model_20.vnnlib,150,0,0.0,,not_run,,,
22,onnx/model.onnx,vnnlib/model_21.vnnlib,150,0,0.0,,not_run,,,
23,onnx/model.onnx,vnnlib/model_22.vnnlib,150,0,0.0,,not_run,,,
24,onnx/model.onnx,vnnlib/model_23.vnnlib,150,0,0.0,,not_run,,,
25,onnx/model.onnx,vnnlib/model_24.vnnlib,150,0,0.0,,not_run,,,
26,onnx/model.onnx,vnnlib/model_25.vnnlib,150,0,0.0,,not_run,,,
27,onnx/model.onnx,vnnlib/model_26.vnnlib,150,0,0.0,,not_run,,,
28,onnx/model.onnx,vnnlib/model_27.vnnlib,150,0,0.0,,not_run,,,
29,onnx/model.onnx,vnnlib/model_28.vnnlib,150,0,0.0,,not_run,,,
30,onnx/model.onnx,vnnlib/model_29.vnnlib,150,0,0.0,,not_run,,,
31,onnx/model.onnx,vnnlib/model_30.vnnlib,150,0,0.0,,not_run,,,
32,onnx/model.onnx,vnnlib/model_31.vnnlib,150,0,0.0,,not_run,,,
33,onnx/model.onnx,vnnlib/model_32.vnnlib,150,0,0.0,,not_run,,,
34,onnx/model.onnx,vnnlib/model_33.vnnlib,150,0,0.0,,not_run,,,
35,onnx/model.onnx,vnnlib/model_34.vnnlib,150,0,0.0,,not_run,,,
36,onnx/model.onnx,vnnlib/model_35.vnnlib,150,0,0.0,,not_run,,,
37,onnx/model.onnx,vnnlib/model_36.vnnlib,150,0,0.0,,not_run,,,
38,onnx/model.onnx,vnnlib/model_37.vnnlib,150,0,0.0,,not_run,,,
39,onnx/model.onnx,vnnlib/model_38.vnnlib,150,0,0.0,,not_run,,,
40,onnx/model.onnx,vnnlib/model_39.vnnlib,150,0,0.0,,not_run,,,
41,onnx/model.onnx,vnnlib/model_40.vnnlib,150,0,0.0,,not_run,,,
42,onnx/model.onnx,vnnlib/model_41.vnnlib,150,0,0.0,,not_run,,,
43,onnx/model.onnx,vnnlib/model_42.vnnlib,150,0,0.0,,not_run,,,
44,onnx/model.onnx,vnnlib/model_43.vnnlib,150,0,0.0,,not_run,,,
45,onnx/model.onnx,vnnlib/model_44.vnnlib,150,0,0.0,,not_run,,,
46,onnx/model.onnx,vnnlib/model_45.vnnlib,150,0,0.0,,not_run,,,
47,onnx/model.onnx,vnnlib/model_46.vnnlib,150,0,0.0,,not_run,,,
48,onnx/model.onnx,vnnlib/model_47.vnnlib,150,0,0.0,,not_run,,,
49,onnx/model.onnx,vnnlib/model_48.vnnlib,150,0,0.0,,not_run,,,
50,onnx/model.onnx,vnnlib/model_49.vnnlib,150,0,0.0,,not_run,,,
