idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.vnnlib,100,100,23.515,UNKNOWN_RESOURCE_LIMIT,error,0,tinyimagenet_2024/0001__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.result,tinyimagenet_2024/0001__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.log
2,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.vnnlib,100,100,24.515,UNKNOWN_RESOURCE_LIMIT,error,0,tinyimagenet_2024/0002__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.result,tinyimagenet_2024/0002__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.log
3,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.vnnlib,100,100,24.415,UNKNOWN_RESOURCE_LIMIT,error,0,tinyimagenet_2024/0003__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.result,tinyimagenet_2024/0003__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.log
4,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.vnnlib,100,100,25.616,UNKNOWN_RESOURCE_LIMIT,error,0,tinyimagenet_2024/0004__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.result,tinyimagenet_2024/0004__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.log
5,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.vnnlib,100,100,25.516,UNKNOWN_RESOURCE_LIMIT,error,0,tinyimagenet_2024/0005__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.result,tinyimagenet_2024/0005__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.log
6,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_5478_sidx_174_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
7,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_9262_sidx_880_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
8,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_6252_sidx_9972_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
9,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2146_sidx_298_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
10,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_538_sidx_2467_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
11,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_5134_sidx_3767_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
12,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_9535_sidx_6151_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
13,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_253_sidx_4834_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
14,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_5673_sidx_6615_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
15,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_1459_sidx_443_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
16,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_551_sidx_6748_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
17,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_4526_sidx_9254_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
18,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2063_sidx_8156_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
19,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_879_sidx_6242_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
20,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_247_sidx_1124_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
21,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2582_sidx_5386_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
22,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2936_sidx_7810_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
23,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_1175_sidx_7775_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
24,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_7365_sidx_3284_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
25,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_8684_sidx_9001_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
26,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_1706_sidx_4932_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
27,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2755_sidx_193_eps_0.0039.vnnlib,100,0,0.0,,not_run,,,
