idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/vgg16-7.onnx,vnnlib/spec0_suit.vnnlib,1200,1200,68.447,UNKNOWN_TIMEOUT,timeout,0,vggnet16_2022/0001__vgg16-7__spec0_suit.result,vggnet16_2022/0001__vgg16-7__spec0_suit.log
2,onnx/vgg16-7.onnx,vnnlib/spec1_Scottish_deerhound.vnnlib,1200,1200,68.607,UNKNOWN_TIMEOUT,timeout,0,vggnet16_2022/0002__vgg16-7__spec1_Scottish_deerhound.result,vggnet16_2022/0002__vgg16-7__spec1_Scottish_deerhound.log
3,onnx/vgg16-7.onnx,vnnlib/spec2_Airedale.vnnlib,1200,1200,68.444,UNKNOWN_TIMEOUT,timeout,0,vggnet16_2022/0003__vgg16-7__spec2_Airedale.result,vggnet16_2022/0003__vgg16-7__spec2_Airedale.log
4,onnx/vgg16-7.onnx,vnnlib/spec3_canoe.vnnlib,1200,1200,68.75,UNKNOWN_TIMEOUT,timeout,0,vggnet16_2022/0004__vgg16-7__spec3_canoe.result,vggnet16_2022/0004__vgg16-7__spec3_canoe.log
5,onnx/vgg16-7.onnx,vnnlib/spec4_grille.vnnlib,1200,1200,68.449,UNKNOWN_TIMEOUT,timeout,0,vggnet16_2022/0005__vgg16-7__spec4_grille.result,vggnet16_2022/0005__vgg16-7__spec4_grille.log
6,onnx/vgg16-7.onnx,vnnlib/spec5_scale.vnnlib,1200,0,0.0,,not_run,,,
7,onnx/vgg16-7.onnx,vnnlib/spec6_folding_chair.vnnlib,1200,0,0.0,,not_run,,,
8,onnx/vgg16-7.onnx,vnnlib/spec7_basketball.vnnlib,1200,0,0.0,,not_run,,,
9,onnx/vgg16-7.onnx,vnnlib/spec8_megalith.vnnlib,1200,0,0.0,,not_run,,,
10,onnx/vgg16-7.onnx,vnnlib/spec9_sidewinder.vnnlib,1200,0,0.0,,not_run,,,
11,onnx/vgg16-7.onnx,vnnlib/spec10_chainlink_fence.vnnlib,1200,0,0.0,,not_run,,,
12,onnx/vgg16-7.onnx,vnnlib/spec11_dock.vnnlib,1200,0,0.0,,not_run,,,
13,onnx/vgg16-7.onnx,vnnlib/spec12_borzoi.vnnlib,1200,0,0.0,,not_run,,,
14,onnx/vgg16-7.onnx,vnnlib/spec13_pillow.vnnlib,1200,0,0.0,,not_run,,,
15,onnx/vgg16-7.onnx,vnnlib/spec14_mink.vnnlib,1200,0,0.0,,not_run,,,
16,onnx/vgg16-7.onnx,vnnlib/spec15_tiger_beetle.vnnlib,1200,0,0.0,,not_run,,,
17,onnx/vgg16-7.onnx,vnnlib/spec16_breastplate.vnnlib,1200,0,0.0,,not_run,,,
18,onnx/vgg16-7.onnx,vnnlib/spec17_paper_towel.vnnlib,1200,0,0.0,,not_run,,,
