benchmark,N,V_unsat,A_sat,T_timeout,U_unknown,E_err,wall_sec_sum,wall_sec_max,notes
acasxu_2023,186,72,0,0,114,0,1034.7933993339539,43.89692497253418,72/186 decided
cctsdb_yolo_2023,39,0,0,0,39,0,19.487520933151245,2.856247901916504,0/39 decided
cersyve,12,0,0,0,12,0,8.189517498016357,0.8352434635162354,0/12 decided
cgan_2023,21,0,11,0,10,0,309.31454968452454,166.5922782421112,11/21 decided
cifar100_2024,200,0,0,0,200,0,212.8083200454712,15.411974906921387,0/200 decided
collins_aerospace_benchmark,6,0,0,2,4,0,1828.2776277415687,308.5859213609947,0/6 decided
collins_rul_cnn_2022,62,39,12,0,11,0,405.4907965660095,55.06845498085022,51/62 decided
cora_2024,180,16,4,106,40,14,40023.23682911415,309.196157196071,20/180 decided
dist_shift_2023,72,72,0,0,0,0,693.6148657798767,17.59985065460205,72/72 decided
linearizenn_2024,60,0,0,0,60,0,829.6868262290955,19.832352876663208,0/60 decided
lsnc_relu,80,0,0,0,80,0,188.57774877548218,3.3020472526550293,0/80 decided
malbeware,150,123,13,0,14,0,3569.327553987503,70.19797444343567,136/150 decided
metaroom_2023,100,15,0,2,83,0,1107.0946205905639,128.3624532870017,15/100 decided
ml4acopf_2024,69,19,0,3,44,3,2385.969790304196,188.31664498196915,19/69 decided
nn4sys,194,86,0,45,33,30,12192.589016032638,188.71284873597324,86/194 decided
relusplitter,220,7,0,57,126,30,18977.72456390597,188.7471387529513,7/220 decided
safenlp_2024,1080,29,0,0,1051,0,93.62603235244751,3.8028173446655273,29/1080 decided
sat_relu,100,0,1,0,99,0,46.41384172439575,4.566183090209961,1/100 decided
soundnessbench,50,0,0,0,50,0,0,0,not tested this session
test,5,0,0,0,5,0,0,0,not tested this session
tinyimagenet_2024,200,0,1,0,167,32,3886.2676808563992,39.27470874786377,1/200 decided
tllverifybench_2023,32,0,0,0,32,0,0,0,not tested this session
traffic_signs_recognition_2023,45,0,0,0,45,0,0,0,not tested this session
vggnet16_2022,18,0,1,6,11,0,2596.4342678685207,309.0064927879721,1/18 decided
vit_2023,200,0,0,0,200,0,0,0,not tested this session
yolo_2023,72,0,0,0,72,0,245.702730178833,18.733378171920776,0/72 decided
TOTAL,3453,478,43,221,2602,109,90654.6,309.2,NET +521 V+A across 21 benches tested
