idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/ACASXU_run2a_1_1_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,5.836745977401733,UNKNOWN,unknown,0,acasxu_2023/0001__ACASXU_run2a_1_1_batch_2000__prop_1.result,acasxu_2023/0001__ACASXU_run2a_1_1_batch_2000__prop_1.log
2,onnx/ACASXU_run2a_1_2_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,7.2083868980407715,UNKNOWN,unknown,0,acasxu_2023/0002__ACASXU_run2a_1_2_batch_2000__prop_1.result,acasxu_2023/0002__ACASXU_run2a_1_2_batch_2000__prop_1.log
3,onnx/ACASXU_run2a_1_3_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,7.136056423187256,UNKNOWN,unknown,0,acasxu_2023/0003__ACASXU_run2a_1_3_batch_2000__prop_1.result,acasxu_2023/0003__ACASXU_run2a_1_3_batch_2000__prop_1.log
4,onnx/ACASXU_run2a_1_4_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,6.97604775428772,UNKNOWN,unknown,0,acasxu_2023/0004__ACASXU_run2a_1_4_batch_2000__prop_1.result,acasxu_2023/0004__ACASXU_run2a_1_4_batch_2000__prop_1.log
5,onnx/ACASXU_run2a_1_5_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,6.847214698791504,UNKNOWN,unknown,0,acasxu_2023/0005__ACASXU_run2a_1_5_batch_2000__prop_1.result,acasxu_2023/0005__ACASXU_run2a_1_5_batch_2000__prop_1.log
6,onnx/ACASXU_run2a_1_6_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,6.681109666824341,UNKNOWN,unknown,0,acasxu_2023/0006__ACASXU_run2a_1_6_batch_2000__prop_1.result,acasxu_2023/0006__ACASXU_run2a_1_6_batch_2000__prop_1.log
7,onnx/ACASXU_run2a_1_7_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,6.6809775829315186,UNKNOWN,unknown,0,acasxu_2023/0007__ACASXU_run2a_1_7_batch_2000__prop_1.result,acasxu_2023/0007__ACASXU_run2a_1_7_batch_2000__prop_1.log
8,onnx/ACASXU_run2a_1_8_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,7.224388360977173,UNKNOWN,unknown,0,acasxu_2023/0008__ACASXU_run2a_1_8_batch_2000__prop_1.result,acasxu_2023/0008__ACASXU_run2a_1_8_batch_2000__prop_1.log
9,onnx/ACASXU_run2a_1_9_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,7.362924814224243,UNKNOWN,unknown,0,acasxu_2023/0009__ACASXU_run2a_1_9_batch_2000__prop_1.result,acasxu_2023/0009__ACASXU_run2a_1_9_batch_2000__prop_1.log
10,onnx/ACASXU_run2a_2_1_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,7.185112476348877,UNKNOWN,unknown,0,acasxu_2023/0010__ACASXU_run2a_2_1_batch_2000__prop_1.result,acasxu_2023/0010__ACASXU_run2a_2_1_batch_2000__prop_1.log
11,onnx/ACASXU_run2a_2_2_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,6.465082883834839,UNKNOWN,unknown,0,acasxu_2023/0011__ACASXU_run2a_2_2_batch_2000__prop_1.result,acasxu_2023/0011__ACASXU_run2a_2_2_batch_2000__prop_1.log
12,onnx/ACASXU_run2a_2_3_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,6.26479434967041,UNKNOWN,unknown,0,acasxu_2023/0012__ACASXU_run2a_2_3_batch_2000__prop_1.result,acasxu_2023/0012__ACASXU_run2a_2_3_batch_2000__prop_1.log
13,onnx/ACASXU_run2a_2_4_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,6.7999491691589355,UNKNOWN,unknown,0,acasxu_2023/0013__ACASXU_run2a_2_4_batch_2000__prop_1.result,acasxu_2023/0013__ACASXU_run2a_2_4_batch_2000__prop_1.log
14,onnx/ACASXU_run2a_2_5_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,7.999647378921509,UNKNOWN,unknown,0,acasxu_2023/0014__ACASXU_run2a_2_5_batch_2000__prop_1.result,acasxu_2023/0014__ACASXU_run2a_2_5_batch_2000__prop_1.log
15,onnx/ACASXU_run2a_2_6_batch_2000.onnx,vnnlib/prop_1.vnnlib,116,116,7.813031911849976,UNKNOWN,unknown,0,acasxu_2023/0015__ACASXU_run2a_2_6_batch_2000__prop_1.result,acasxu_2023/0015__ACASXU_run2a_2_6_batch_2000__prop_1.log
