idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00559_0.vnnlib,350,350,2.4938158988952637,UNKNOWN,unknown,0,cctsdb_yolo_2023/0001__patch-1__spec_onnx_patch-1_idx_00559_0.result,cctsdb_yolo_2023/0001__patch-1__spec_onnx_patch-1_idx_00559_0.log
2,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_16972_2.vnnlib,350,350,2.856247901916504,UNKNOWN,unknown,0,cctsdb_yolo_2023/0002__patch-1__spec_onnx_patch-1_idx_16972_2.result,cctsdb_yolo_2023/0002__patch-1__spec_onnx_patch-1_idx_16972_2.log
3,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_05840_0.vnnlib,350,350,2.1272497177124023,UNKNOWN,unknown,0,cctsdb_yolo_2023/0003__patch-3__spec_onnx_patch-3_idx_05840_0.result,cctsdb_yolo_2023/0003__patch-3__spec_onnx_patch-3_idx_05840_0.log
4,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_01937_0.vnnlib,350,350,1.6387732028961182,UNKNOWN,unknown,0,cctsdb_yolo_2023/0004__patch-1__spec_onnx_patch-1_idx_01937_0.result,cctsdb_yolo_2023/0004__patch-1__spec_onnx_patch-1_idx_01937_0.log
5,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_12559_0.vnnlib,350,350,2.1327507495880127,UNKNOWN,unknown,0,cctsdb_yolo_2023/0005__patch-1__spec_onnx_patch-1_idx_12559_0.result,cctsdb_yolo_2023/0005__patch-1__spec_onnx_patch-1_idx_12559_0.log
6,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_00303_0.vnnlib,350,350,1.2626454830169678,UNKNOWN,unknown,0,cctsdb_yolo_2023/0006__patch-3__spec_onnx_patch-3_idx_00303_0.result,cctsdb_yolo_2023/0006__patch-3__spec_onnx_patch-3_idx_00303_0.log
7,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_03292_0.vnnlib,350,350,1.529733657836914,UNKNOWN,unknown,0,cctsdb_yolo_2023/0007__patch-3__spec_onnx_patch-3_idx_03292_0.result,cctsdb_yolo_2023/0007__patch-3__spec_onnx_patch-3_idx_03292_0.log
8,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_01849_0.vnnlib,350,350,2.269653081893921,UNKNOWN,unknown,0,cctsdb_yolo_2023/0008__patch-1__spec_onnx_patch-1_idx_01849_0.result,cctsdb_yolo_2023/0008__patch-1__spec_onnx_patch-1_idx_01849_0.log
9,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_02037_0.vnnlib,350,350,1.458496332168579,UNKNOWN,unknown,0,cctsdb_yolo_2023/0009__patch-1__spec_onnx_patch-1_idx_02037_0.result,cctsdb_yolo_2023/0009__patch-1__spec_onnx_patch-1_idx_02037_0.log
10,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_13786_0.vnnlib,350,350,1.7181549072265625,UNKNOWN,unknown,0,cctsdb_yolo_2023/0010__patch-1__spec_onnx_patch-1_idx_13786_0.result,cctsdb_yolo_2023/0010__patch-1__spec_onnx_patch-1_idx_13786_0.log
11,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_07658_0.vnnlib,350,0,0.0,,not_run,,,
12,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01534_0.vnnlib,350,0,0.0,,not_run,,,
13,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_15377_1.vnnlib,350,0,0.0,,not_run,,,
14,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_03396_1.vnnlib,350,0,0.0,,not_run,,,
15,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00087_1.vnnlib,350,0,0.0,,not_run,,,
16,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_12878_4.vnnlib,350,0,0.0,,not_run,,,
17,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_03775_0.vnnlib,350,0,0.0,,not_run,,,
18,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00099_1.vnnlib,350,0,0.0,,not_run,,,
19,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_14771_0.vnnlib,350,0,0.0,,not_run,,,
20,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00269_0.vnnlib,350,0,0.0,,not_run,,,
21,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01673_0.vnnlib,350,0,0.0,,not_run,,,
22,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01613_0.vnnlib,350,0,0.0,,not_run,,,
23,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_16845_1.vnnlib,350,0,0.0,,not_run,,,
24,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_00206_0.vnnlib,350,0,0.0,,not_run,,,
25,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_08544_0.vnnlib,350,0,0.0,,not_run,,,
26,onnx/patch-1.onnx,vnnlib/spec_onnx_patch-1_idx_04746_0.vnnlib,350,0,0.0,,not_run,,,
27,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_03372_1.vnnlib,350,0,0.0,,not_run,,,
28,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_01366_0.vnnlib,350,0,0.0,,not_run,,,
29,onnx/patch-3.onnx,vnnlib/spec_onnx_patch-3_idx_02945_0.vnnlib,350,0,0.0,,not_run,,,
