idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,900,900,2.2723848819732666,FALSIFIED,sat,0,cgan_2023/0001__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.result,cgan_2023/0001__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.log
2,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,900,900,3.207587957382202,UNKNOWN,unknown,0,cgan_2023/0002__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.result,cgan_2023/0002__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.log
3,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.vnnlib,900,900,3.2330901622772217,FALSIFIED,sat,0,cgan_2023/0003__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.result,cgan_2023/0003__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_2_input_eps_0.020_output_eps_0.025.log
4,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,900,900,3.1817476749420166,UNKNOWN,unknown,0,cgan_2023/0004__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.result,cgan_2023/0004__cGAN_imgSz32_nCh_1__cGAN_imgSz32_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.log
5,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,900,900,3.9281771183013916,UNKNOWN,unknown,0,cgan_2023/0005__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.result,cgan_2023/0005__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_0_input_eps_0.015_output_eps_0.020.log
6,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_1_input_eps_0.015_output_eps_0.020.vnnlib,900,900,3.490281820297241,UNKNOWN,unknown,0,cgan_2023/0006__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_1_input_eps_0.015_output_eps_0.020.result,cgan_2023/0006__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_1_input_eps_0.015_output_eps_0.020.log
7,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_2_input_eps_0.015_output_eps_0.020.vnnlib,900,900,3.2223000526428223,UNKNOWN,unknown,0,cgan_2023/0007__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_2_input_eps_0.015_output_eps_0.020.result,cgan_2023/0007__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_2_input_eps_0.015_output_eps_0.020.log
8,onnx/cGAN_imgSz32_nCh_3.onnx,vnnlib/cGAN_imgSz32_nCh_3_prop_3_input_eps_0.015_output_eps_0.020.vnnlib,900,900,3.254812479019165,FALSIFIED,sat,0,cgan_2023/0008__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_3_input_eps_0.015_output_eps_0.020.result,cgan_2023/0008__cGAN_imgSz32_nCh_3__cGAN_imgSz32_nCh_3_prop_3_input_eps_0.015_output_eps_0.020.log
9,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,900,900,3.9129655361175537,FALSIFIED,sat,0,cgan_2023/0009__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.result,cgan_2023/0009__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.log
10,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,900,900,7.9178383350372314,FALSIFIED,sat,0,cgan_2023/0010__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.result,cgan_2023/0010__cGAN_imgSz64_nCh_1__cGAN_imgSz64_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.log
