idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/mnist-point.onnx,vnnlib/mnist-img0.vnnlib,30,30,197.56173181533813,UNKNOWN,unknown,0,cora_2024/0001__mnist-point__mnist-img0.result,cora_2024/0001__mnist-point__mnist-img0.log
2,onnx/mnist-trades.onnx,vnnlib/mnist-img0.vnnlib,30,30,192.2913534641266,UNKNOWN,unknown,0,cora_2024/0002__mnist-trades__mnist-img0.result,cora_2024/0002__mnist-trades__mnist-img0.log
3,onnx/mnist-set.onnx,vnnlib/mnist-img0.vnnlib,30,30,65.7697286605835,UNKNOWN,unknown,0,cora_2024/0003__mnist-set__mnist-img0.result,cora_2024/0003__mnist-set__mnist-img0.log
4,onnx/mnist-point.onnx,vnnlib/mnist-img1.vnnlib,30,30,42.551056146621704,FALSIFIED,sat,0,cora_2024/0004__mnist-point__mnist-img1.result,cora_2024/0004__mnist-point__mnist-img1.log
5,onnx/mnist-trades.onnx,vnnlib/mnist-img1.vnnlib,30,30,206.48420238494873,UNKNOWN,unknown,0,cora_2024/0005__mnist-trades__mnist-img1.result,cora_2024/0005__mnist-trades__mnist-img1.log
6,onnx/mnist-set.onnx,vnnlib/mnist-img1.vnnlib,30,30,28.094566822052002,CERTIFIED,unsat,0,cora_2024/0006__mnist-set__mnist-img1.result,cora_2024/0006__mnist-set__mnist-img1.log
7,onnx/mnist-point.onnx,vnnlib/mnist-img2.vnnlib,30,30,208.96751618385315,UNKNOWN,unknown,0,cora_2024/0007__mnist-point__mnist-img2.result,cora_2024/0007__mnist-point__mnist-img2.log
8,onnx/mnist-trades.onnx,vnnlib/mnist-img2.vnnlib,30,30,179.63900923728943,UNKNOWN,unknown,0,cora_2024/0008__mnist-trades__mnist-img2.result,cora_2024/0008__mnist-trades__mnist-img2.log
9,onnx/mnist-set.onnx,vnnlib/mnist-img2.vnnlib,30,30,14.636108636856079,CERTIFIED,unsat,0,cora_2024/0009__mnist-set__mnist-img2.result,cora_2024/0009__mnist-set__mnist-img2.log
10,onnx/mnist-point.onnx,vnnlib/mnist-img3.vnnlib,30,30,192.6633620262146,UNKNOWN,unknown,0,cora_2024/0010__mnist-point__mnist-img3.result,cora_2024/0010__mnist-point__mnist-img3.log
11,onnx/mnist-trades.onnx,vnnlib/mnist-img3.vnnlib,30,30,151.90902018547058,UNKNOWN,unknown,0,cora_2024/0011__mnist-trades__mnist-img3.result,cora_2024/0011__mnist-trades__mnist-img3.log
12,onnx/mnist-set.onnx,vnnlib/mnist-img3.vnnlib,30,30,8.608673810958862,CERTIFIED,unsat,0,cora_2024/0012__mnist-set__mnist-img3.result,cora_2024/0012__mnist-set__mnist-img3.log
13,onnx/mnist-point.onnx,vnnlib/mnist-img4.vnnlib,30,30,183.13091397285461,UNKNOWN,unknown,0,cora_2024/0013__mnist-point__mnist-img4.result,cora_2024/0013__mnist-point__mnist-img4.log
14,onnx/mnist-trades.onnx,vnnlib/mnist-img4.vnnlib,30,30,183.14760565757751,UNKNOWN,unknown,0,cora_2024/0014__mnist-trades__mnist-img4.result,cora_2024/0014__mnist-trades__mnist-img4.log
15,onnx/mnist-set.onnx,vnnlib/mnist-img4.vnnlib,30,30,23.770132780075073,CERTIFIED,unsat,0,cora_2024/0015__mnist-set__mnist-img4.result,cora_2024/0015__mnist-set__mnist-img4.log
