idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10.vnnlib,900,900,12.400288581848145,UNKNOWN,unknown,0,linearizenn_2024/0001__AllInOne_10_10__prop_10_10.result,linearizenn_2024/0001__AllInOne_10_10__prop_10_10.log
2,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10_0.vnnlib,900,900,12.677461862564087,UNKNOWN,unknown,0,linearizenn_2024/0002__AllInOne_10_10__prop_10_10_0.result,linearizenn_2024/0002__AllInOne_10_10__prop_10_10_0.log
3,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10_1.vnnlib,900,900,12.704379081726074,UNKNOWN,unknown,0,linearizenn_2024/0003__AllInOne_10_10__prop_10_10_1.result,linearizenn_2024/0003__AllInOne_10_10__prop_10_10_1.log
4,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10_2.vnnlib,900,900,14.57623839378357,UNKNOWN,unknown,0,linearizenn_2024/0004__AllInOne_10_10__prop_10_10_2.result,linearizenn_2024/0004__AllInOne_10_10__prop_10_10_2.log
5,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10_3.vnnlib,900,900,12.196505784988403,UNKNOWN,unknown,0,linearizenn_2024/0005__AllInOne_10_10__prop_10_10_3.result,linearizenn_2024/0005__AllInOne_10_10__prop_10_10_3.log
6,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10_4.vnnlib,900,900,19.832352876663208,UNKNOWN,unknown,0,linearizenn_2024/0006__AllInOne_10_10__prop_10_10_4.result,linearizenn_2024/0006__AllInOne_10_10__prop_10_10_4.log
7,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30.vnnlib,900,900,12.952085733413696,UNKNOWN,unknown,0,linearizenn_2024/0007__AllInOne_30_30__prop_30_30.result,linearizenn_2024/0007__AllInOne_30_30__prop_30_30.log
8,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30_0.vnnlib,900,900,12.647202253341675,UNKNOWN,unknown,0,linearizenn_2024/0008__AllInOne_30_30__prop_30_30_0.result,linearizenn_2024/0008__AllInOne_30_30__prop_30_30_0.log
9,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30_1.vnnlib,900,900,16.255844593048096,UNKNOWN,unknown,0,linearizenn_2024/0009__AllInOne_30_30__prop_30_30_1.result,linearizenn_2024/0009__AllInOne_30_30__prop_30_30_1.log
10,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30_2.vnnlib,900,900,13.411181449890137,UNKNOWN,unknown,0,linearizenn_2024/0010__AllInOne_30_30__prop_30_30_2.result,linearizenn_2024/0010__AllInOne_30_30__prop_30_30_2.log
11,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30_3.vnnlib,900,900,14.862043380737305,UNKNOWN,unknown,0,linearizenn_2024/0011__AllInOne_30_30__prop_30_30_3.result,linearizenn_2024/0011__AllInOne_30_30__prop_30_30_3.log
12,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30_4.vnnlib,900,900,13.290416479110718,UNKNOWN,unknown,0,linearizenn_2024/0012__AllInOne_30_30__prop_30_30_4.result,linearizenn_2024/0012__AllInOne_30_30__prop_30_30_4.log
13,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80.vnnlib,900,900,13.574371814727783,UNKNOWN,unknown,0,linearizenn_2024/0013__AllInOne_30_80__prop_30_80.result,linearizenn_2024/0013__AllInOne_30_80__prop_30_80.log
14,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_0.vnnlib,900,900,14.631931066513062,UNKNOWN,unknown,0,linearizenn_2024/0014__AllInOne_30_80__prop_30_80_0.result,linearizenn_2024/0014__AllInOne_30_80__prop_30_80_0.log
15,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_1.vnnlib,900,900,14.208297729492188,UNKNOWN,unknown,0,linearizenn_2024/0015__AllInOne_30_80__prop_30_80_1.result,linearizenn_2024/0015__AllInOne_30_80__prop_30_80_1.log
16,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_2.vnnlib,900,900,13.617653369903564,UNKNOWN,unknown,0,linearizenn_2024/0016__AllInOne_30_80__prop_30_80_2.result,linearizenn_2024/0016__AllInOne_30_80__prop_30_80_2.log
17,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_3.vnnlib,900,900,13.127650737762451,UNKNOWN,unknown,0,linearizenn_2024/0017__AllInOne_30_80__prop_30_80_3.result,linearizenn_2024/0017__AllInOne_30_80__prop_30_80_3.log
18,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_4.vnnlib,900,900,12.112423419952393,UNKNOWN,unknown,0,linearizenn_2024/0018__AllInOne_30_80__prop_30_80_4.result,linearizenn_2024/0018__AllInOne_30_80__prop_30_80_4.log
19,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50.vnnlib,900,900,13.487792253494263,UNKNOWN,unknown,0,linearizenn_2024/0019__AllInOne_50_50__prop_50_50.result,linearizenn_2024/0019__AllInOne_50_50__prop_50_50.log
20,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_0.vnnlib,900,900,14.093432188034058,UNKNOWN,unknown,0,linearizenn_2024/0020__AllInOne_50_50__prop_50_50_0.result,linearizenn_2024/0020__AllInOne_50_50__prop_50_50_0.log
21,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_1.vnnlib,900,900,14.053839683532715,UNKNOWN,unknown,0,linearizenn_2024/0021__AllInOne_50_50__prop_50_50_1.result,linearizenn_2024/0021__AllInOne_50_50__prop_50_50_1.log
22,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_2.vnnlib,900,900,13.120099306106567,UNKNOWN,unknown,0,linearizenn_2024/0022__AllInOne_50_50__prop_50_50_2.result,linearizenn_2024/0022__AllInOne_50_50__prop_50_50_2.log
23,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_3.vnnlib,900,900,12.462853193283081,UNKNOWN,unknown,0,linearizenn_2024/0023__AllInOne_50_50__prop_50_50_3.result,linearizenn_2024/0023__AllInOne_50_50__prop_50_50_3.log
24,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_4.vnnlib,900,900,15.418021440505981,UNKNOWN,unknown,0,linearizenn_2024/0024__AllInOne_50_50__prop_50_50_4.result,linearizenn_2024/0024__AllInOne_50_50__prop_50_50_4.log
25,onnx/AllInOne_50_120.onnx,vnnlib/prop_50_120.vnnlib,900,900,13.47297739982605,UNKNOWN,unknown,0,linearizenn_2024/0025__AllInOne_50_120__prop_50_120.result,linearizenn_2024/0025__AllInOne_50_120__prop_50_120.log
26,onnx/AllInOne_50_120.onnx,vnnlib/prop_50_120_0.vnnlib,900,900,14.69294810295105,UNKNOWN,unknown,0,linearizenn_2024/0026__AllInOne_50_120__prop_50_120_0.result,linearizenn_2024/0026__AllInOne_50_120__prop_50_120_0.log
27,onnx/AllInOne_50_120.onnx,vnnlib/prop_50_120_1.vnnlib,900,900,12.780159950256348,UNKNOWN,unknown,0,linearizenn_2024/0027__AllInOne_50_120__prop_50_120_1.result,linearizenn_2024/0027__AllInOne_50_120__prop_50_120_1.log
28,onnx/AllInOne_50_120.onnx,vnnlib/prop_50_120_2.vnnlib,900,900,13.758097171783447,UNKNOWN,unknown,0,linearizenn_2024/0028__AllInOne_50_120__prop_50_120_2.result,linearizenn_2024/0028__AllInOne_50_120__prop_50_120_2.log
29,onnx/AllInOne_50_120.onnx,vnnlib/prop_50_120_3.vnnlib,900,900,14.75331711769104,UNKNOWN,unknown,0,linearizenn_2024/0029__AllInOne_50_120__prop_50_120_3.result,linearizenn_2024/0029__AllInOne_50_120__prop_50_120_3.log
30,onnx/AllInOne_50_120.onnx,vnnlib/prop_50_120_4.vnnlib,900,900,14.754031896591187,UNKNOWN,unknown,0,linearizenn_2024/0030__AllInOne_50_120__prop_50_120_4.result,linearizenn_2024/0030__AllInOne_50_120__prop_50_120_4.log
31,onnx/AllInOne_80_30.onnx,vnnlib/prop_80_30.vnnlib,900,900,13.154369831085205,UNKNOWN,unknown,0,linearizenn_2024/0031__AllInOne_80_30__prop_80_30.result,linearizenn_2024/0031__AllInOne_80_30__prop_80_30.log
32,onnx/AllInOne_80_30.onnx,vnnlib/prop_80_30_0.vnnlib,900,900,13.659218072891235,UNKNOWN,unknown,0,linearizenn_2024/0032__AllInOne_80_30__prop_80_30_0.result,linearizenn_2024/0032__AllInOne_80_30__prop_80_30_0.log
33,onnx/AllInOne_80_30.onnx,vnnlib/prop_80_30_1.vnnlib,900,900,12.560797691345215,UNKNOWN,unknown,0,linearizenn_2024/0033__AllInOne_80_30__prop_80_30_1.result,linearizenn_2024/0033__AllInOne_80_30__prop_80_30_1.log
34,onnx/AllInOne_80_30.onnx,vnnlib/prop_80_30_2.vnnlib,900,900,14.344498634338379,UNKNOWN,unknown,0,linearizenn_2024/0034__AllInOne_80_30__prop_80_30_2.result,linearizenn_2024/0034__AllInOne_80_30__prop_80_30_2.log
35,onnx/AllInOne_80_30.onnx,vnnlib/prop_80_30_3.vnnlib,900,900,13.32281231880188,UNKNOWN,unknown,0,linearizenn_2024/0035__AllInOne_80_30__prop_80_30_3.result,linearizenn_2024/0035__AllInOne_80_30__prop_80_30_3.log
36,onnx/AllInOne_80_30.onnx,vnnlib/prop_80_30_4.vnnlib,900,900,14.097755193710327,UNKNOWN,unknown,0,linearizenn_2024/0036__AllInOne_80_30__prop_80_30_4.result,linearizenn_2024/0036__AllInOne_80_30__prop_80_30_4.log
37,onnx/AllInOne_80_80.onnx,vnnlib/prop_80_80.vnnlib,900,900,11.818310499191284,UNKNOWN,unknown,0,linearizenn_2024/0037__AllInOne_80_80__prop_80_80.result,linearizenn_2024/0037__AllInOne_80_80__prop_80_80.log
38,onnx/AllInOne_80_80.onnx,vnnlib/prop_80_80_0.vnnlib,900,900,12.734941005706787,UNKNOWN,unknown,0,linearizenn_2024/0038__AllInOne_80_80__prop_80_80_0.result,linearizenn_2024/0038__AllInOne_80_80__prop_80_80_0.log
39,onnx/AllInOne_80_80.onnx,vnnlib/prop_80_80_1.vnnlib,900,900,14.208019495010376,UNKNOWN,unknown,0,linearizenn_2024/0039__AllInOne_80_80__prop_80_80_1.result,linearizenn_2024/0039__AllInOne_80_80__prop_80_80_1.log
40,onnx/AllInOne_80_80.onnx,vnnlib/prop_80_80_2.vnnlib,900,900,15.94958782196045,UNKNOWN,unknown,0,linearizenn_2024/0040__AllInOne_80_80__prop_80_80_2.result,linearizenn_2024/0040__AllInOne_80_80__prop_80_80_2.log
41,onnx/AllInOne_80_80.onnx,vnnlib/prop_80_80_3.vnnlib,900,900,13.978960990905762,UNKNOWN,unknown,0,linearizenn_2024/0041__AllInOne_80_80__prop_80_80_3.result,linearizenn_2024/0041__AllInOne_80_80__prop_80_80_3.log
