idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_0.vnnlib,25,25,2.884218215942383,UNKNOWN,unknown,0,lsnc_relu/0001__relu_quadrotor2d_state__quadrotor2d_state_0.result,lsnc_relu/0001__relu_quadrotor2d_state__quadrotor2d_state_0.log
2,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_1.vnnlib,25,25,2.176234006881714,UNKNOWN,unknown,0,lsnc_relu/0002__relu_quadrotor2d_state__quadrotor2d_state_1.result,lsnc_relu/0002__relu_quadrotor2d_state__quadrotor2d_state_1.log
3,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_2.vnnlib,25,25,2.198775053024292,UNKNOWN,unknown,0,lsnc_relu/0003__relu_quadrotor2d_state__quadrotor2d_state_2.result,lsnc_relu/0003__relu_quadrotor2d_state__quadrotor2d_state_2.log
4,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_3.vnnlib,25,25,2.0951201915740967,UNKNOWN,unknown,0,lsnc_relu/0004__relu_quadrotor2d_state__quadrotor2d_state_3.result,lsnc_relu/0004__relu_quadrotor2d_state__quadrotor2d_state_3.log
5,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_4.vnnlib,25,25,2.3175208568573,UNKNOWN,unknown,0,lsnc_relu/0005__relu_quadrotor2d_state__quadrotor2d_state_4.result,lsnc_relu/0005__relu_quadrotor2d_state__quadrotor2d_state_4.log
6,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_5.vnnlib,25,25,2.482001543045044,UNKNOWN,unknown,0,lsnc_relu/0006__relu_quadrotor2d_state__quadrotor2d_state_5.result,lsnc_relu/0006__relu_quadrotor2d_state__quadrotor2d_state_5.log
7,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_6.vnnlib,25,25,2.0906739234924316,UNKNOWN,unknown,0,lsnc_relu/0007__relu_quadrotor2d_state__quadrotor2d_state_6.result,lsnc_relu/0007__relu_quadrotor2d_state__quadrotor2d_state_6.log
8,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_7.vnnlib,25,25,2.607149362564087,UNKNOWN,unknown,0,lsnc_relu/0008__relu_quadrotor2d_state__quadrotor2d_state_7.result,lsnc_relu/0008__relu_quadrotor2d_state__quadrotor2d_state_7.log
9,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_8.vnnlib,25,25,2.469373941421509,UNKNOWN,unknown,0,lsnc_relu/0009__relu_quadrotor2d_state__quadrotor2d_state_8.result,lsnc_relu/0009__relu_quadrotor2d_state__quadrotor2d_state_8.log
10,onnx/relu_quadrotor2d_state.onnx,vnnlib/quadrotor2d_state_9.vnnlib,25,25,2.5761210918426514,UNKNOWN,unknown,0,lsnc_relu/0010__relu_quadrotor2d_state__quadrotor2d_state_9.result,lsnc_relu/0010__relu_quadrotor2d_state__quadrotor2d_state_9.log
