idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.vnnlib,100,100,3.1455225944519043,CERTIFIED,unsat,0,malbeware/0001__malware_malimg_family_scaled_linear-25__malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.result,malbeware/0001__malware_malimg_family_scaled_linear-25__malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.log
2,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-VB.AT_label-22_eps-3_idx-112.vnnlib,100,100,5.932515382766724,CERTIFIED,unsat,0,malbeware/0002__malware_malimg_family_scaled_linear-25__malbeware_family-VB.AT_label-22_eps-3_idx-112.result,malbeware/0002__malware_malimg_family_scaled_linear-25__malbeware_family-VB.AT_label-22_eps-3_idx-112.log
3,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Allaple.A_label-2_eps-3_idx-11.vnnlib,100,100,7.8597705364227295,CERTIFIED,unsat,0,malbeware/0003__malware_malimg_family_scaled_linear-25__malbeware_family-Allaple.A_label-2_eps-3_idx-11.result,malbeware/0003__malware_malimg_family_scaled_linear-25__malbeware_family-Allaple.A_label-2_eps-3_idx-11.log
4,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Skintrim.N_label-19_eps-3_idx-96.vnnlib,100,100,7.277014970779419,CERTIFIED,unsat,0,malbeware/0004__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-3_idx-96.result,malbeware/0004__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-3_idx-96.log
5,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.vnnlib,100,100,5.889216661453247,CERTIFIED,unsat,0,malbeware/0005__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.result,malbeware/0005__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.log
6,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Agent.FYI_label-1_eps-2_idx-8.vnnlib,100,100,9.229153394699097,CERTIFIED,unsat,0,malbeware/0006__malware_malimg_family_scaled_linear-25__malbeware_family-Agent.FYI_label-1_eps-2_idx-8.result,malbeware/0006__malware_malimg_family_scaled_linear-25__malbeware_family-Agent.FYI_label-1_eps-2_idx-8.log
7,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.vnnlib,100,100,4.972342252731323,CERTIFIED,unsat,0,malbeware/0007__malware_malimg_family_scaled_linear-25__malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.result,malbeware/0007__malware_malimg_family_scaled_linear-25__malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.log
8,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Rbotigen_label-18_eps-2_idx-92.vnnlib,100,100,6.418857097625732,CERTIFIED,unsat,0,malbeware/0008__malware_malimg_family_scaled_linear-25__malbeware_family-Rbotigen_label-18_eps-2_idx-92.result,malbeware/0008__malware_malimg_family_scaled_linear-25__malbeware_family-Rbotigen_label-18_eps-2_idx-92.log
9,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Yuner.A_label-24_eps-3_idx-120.vnnlib,100,100,8.867624759674072,CERTIFIED,unsat,0,malbeware/0009__malware_malimg_family_scaled_linear-25__malbeware_family-Yuner.A_label-24_eps-3_idx-120.result,malbeware/0009__malware_malimg_family_scaled_linear-25__malbeware_family-Yuner.A_label-24_eps-3_idx-120.log
10,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.vnnlib,100,100,6.630384206771851,CERTIFIED,unsat,0,malbeware/0010__malware_malimg_family_scaled_linear-25__malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.result,malbeware/0010__malware_malimg_family_scaled_linear-25__malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.log
11,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Lolyda.AA1_label-12_eps-3_idx-60.vnnlib,100,100,5.043713569641113,CERTIFIED,unsat,0,malbeware/0011__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-60.result,malbeware/0011__malware_malimg_family_scaled_linear-25__malbeware_family-Lolyda.AA1_label-12_eps-3_idx-60.log
12,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Skintrim.N_label-19_eps-1_idx-96.vnnlib,100,100,6.195173501968384,CERTIFIED,unsat,0,malbeware/0012__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-1_idx-96.result,malbeware/0012__malware_malimg_family_scaled_linear-25__malbeware_family-Skintrim.N_label-19_eps-1_idx-96.log
13,onnx/malware_malimg_family_scaled_linear-25.onnx,vnnlib/malbeware_family-Fakerean_label-10_eps-3_idx-54.vnnlib,100,100,9.033638715744019,CERTIFIED,unsat,0,malbeware/0013__malware_malimg_family_scaled_linear-25__malbeware_family-Fakerean_label-10_eps-3_idx-54.result,malbeware/0013__malware_malimg_family_scaled_linear-25__malbeware_family-Fakerean_label-10_eps-3_idx-54.log
