idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_418.vnnlib,20,0,0.0,,not_run,,,
2,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_992.vnnlib,20,0,0.0,,not_run,,,
3,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_132.vnnlib,20,0,0.0,,not_run,,,
4,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_2674.vnnlib,20,0,0.0,,not_run,,,
5,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2839.vnnlib,20,0,0.0,,not_run,,,
6,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_6891.vnnlib,20,0,0.0,,not_run,,,
7,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_1921.vnnlib,20,0,0.0,,not_run,,,
8,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_3558.vnnlib,20,0,0.0,,not_run,,,
9,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2884.vnnlib,20,0,0.0,,not_run,,,
10,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_6394.vnnlib,20,0,0.0,,not_run,,,
11,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2330.vnnlib,20,0,0.0,,not_run,,,
12,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2626.vnnlib,20,0,0.0,,not_run,,,
13,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_3536.vnnlib,20,0,0.0,,not_run,,,
14,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_5651.vnnlib,20,0,0.0,,not_run,,,
15,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_4032.vnnlib,20,0,0.0,,not_run,,,
16,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_6209.vnnlib,20,0,0.0,,not_run,,,
17,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_1590.vnnlib,20,0,0.0,,not_run,,,
18,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_2411.vnnlib,20,0,0.0,,not_run,,,
19,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_83.vnnlib,20,0,0.0,,not_run,,,
20,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_706.vnnlib,20,0,0.0,,not_run,,,
21,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_2809.vnnlib,20,0,0.0,,not_run,,,
22,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_1889.vnnlib,20,0,0.0,,not_run,,,
23,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_1255.vnnlib,20,0,0.0,,not_run,,,
24,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_486.vnnlib,20,0,0.0,,not_run,,,
25,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_6440.vnnlib,20,0,0.0,,not_run,,,
26,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_162.vnnlib,20,0,0.0,,not_run,,,
27,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_1899.vnnlib,20,0,0.0,,not_run,,,
28,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2660.vnnlib,20,0,0.0,,not_run,,,
29,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_2421.vnnlib,20,0,0.0,,not_run,,,
30,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_883.vnnlib,20,0,0.0,,not_run,,,
31,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_1268.vnnlib,20,20,1.1534981727600098,UNKNOWN,unknown,0,safenlp_2024/0031__perturbations_0__hyperrectangle_1268.result,safenlp_2024/0031__perturbations_0__hyperrectangle_1268.log
32,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_956.vnnlib,20,20,3.798306703567505,UNKNOWN,unknown,0,safenlp_2024/0032__perturbations_0__hyperrectangle_956.result,safenlp_2024/0032__perturbations_0__hyperrectangle_956.log
33,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_859.vnnlib,20,20,0.9128599166870117,CERTIFIED,unsat,0,safenlp_2024/0033__perturbations_0__hyperrectangle_859.result,safenlp_2024/0033__perturbations_0__hyperrectangle_859.log
34,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_3159.vnnlib,20,20,0.48951172828674316,CERTIFIED,unsat,0,safenlp_2024/0034__perturbations_0__hyperrectangle_3159.result,safenlp_2024/0034__perturbations_0__hyperrectangle_3159.log
35,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_6504.vnnlib,20,20,0.6867663860321045,UNKNOWN,unknown,0,safenlp_2024/0035__perturbations_0__hyperrectangle_6504.result,safenlp_2024/0035__perturbations_0__hyperrectangle_6504.log
36,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_6856.vnnlib,20,20,0.9936676025390625,UNKNOWN,unknown,0,safenlp_2024/0036__perturbations_0__hyperrectangle_6856.result,safenlp_2024/0036__perturbations_0__hyperrectangle_6856.log
37,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_1784.vnnlib,20,20,1.776329517364502,UNKNOWN,unknown,0,safenlp_2024/0037__perturbations_0__hyperrectangle_1784.result,safenlp_2024/0037__perturbations_0__hyperrectangle_1784.log
38,onnx/medical/perturbations_0.onnx,vnnlib/medical/hyperrectangle_990.vnnlib,20,20,0.5093994140625,CERTIFIED,unsat,0,safenlp_2024/0038__perturbations_0__hyperrectangle_990.result,safenlp_2024/0038__perturbations_0__hyperrectangle_990.log
39,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_3147.vnnlib,20,20,0.993462085723877,UNKNOWN,unknown,0,safenlp_2024/0039__perturbations_0__hyperrectangle_3147.result,safenlp_2024/0039__perturbations_0__hyperrectangle_3147.log
40,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_3493.vnnlib,20,20,0.9614367485046387,UNKNOWN,unknown,0,safenlp_2024/0040__perturbations_0__hyperrectangle_3493.result,safenlp_2024/0040__perturbations_0__hyperrectangle_3493.log
41,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_2470.vnnlib,20,20,0.9030952453613281,UNKNOWN,unknown,0,safenlp_2024/0041__perturbations_0__hyperrectangle_2470.result,safenlp_2024/0041__perturbations_0__hyperrectangle_2470.log
42,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_522.vnnlib,20,20,0.9672532081604004,UNKNOWN,unknown,0,safenlp_2024/0042__perturbations_0__hyperrectangle_522.result,safenlp_2024/0042__perturbations_0__hyperrectangle_522.log
43,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_2267.vnnlib,20,20,0.7760696411132812,CERTIFIED,unsat,0,safenlp_2024/0043__perturbations_0__hyperrectangle_2267.result,safenlp_2024/0043__perturbations_0__hyperrectangle_2267.log
44,onnx/ruarobot/perturbations_0.onnx,vnnlib/ruarobot/hyperrectangle_3997.vnnlib,20,20,1.121612787246704,CERTIFIED,unsat,0,safenlp_2024/0044__perturbations_0__hyperrectangle_3997.result,safenlp_2024/0044__perturbations_0__hyperrectangle_3997.log
