idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/sat_v30_c38.onnx,vnnlib/sat_v30_c38.vnnlib,100,100,2.1449615955352783,UNKNOWN,unknown,0,sat_relu/0001__sat_v30_c38__sat_v30_c38.result,sat_relu/0001__sat_v30_c38__sat_v30_c38.log
2,onnx/unsat_v30_c38.onnx,vnnlib/unsat_v30_c38.vnnlib,100,100,2.52140736579895,UNKNOWN,unknown,0,sat_relu/0002__unsat_v30_c38__unsat_v30_c38.result,sat_relu/0002__unsat_v30_c38__unsat_v30_c38.log
3,onnx/sat_v65_c187.onnx,vnnlib/sat_v65_c187.vnnlib,100,100,1.9925227165222168,UNKNOWN,unknown,0,sat_relu/0003__sat_v65_c187__sat_v65_c187.result,sat_relu/0003__sat_v65_c187__sat_v65_c187.log
4,onnx/unsat_v65_c187.onnx,vnnlib/unsat_v65_c187.vnnlib,100,100,2.8265392780303955,UNKNOWN,unknown,0,sat_relu/0004__unsat_v65_c187__unsat_v65_c187.result,sat_relu/0004__unsat_v65_c187__unsat_v65_c187.log
5,onnx/sat_v91_c217.onnx,vnnlib/sat_v91_c217.vnnlib,100,100,2.7201170921325684,FALSIFIED,sat,0,sat_relu/0005__sat_v91_c217__sat_v91_c217.result,sat_relu/0005__sat_v91_c217__sat_v91_c217.log
6,onnx/unsat_v91_c217.onnx,vnnlib/unsat_v91_c217.vnnlib,100,100,2.1880943775177,UNKNOWN,unknown,0,sat_relu/0006__unsat_v91_c217__unsat_v91_c217.result,sat_relu/0006__unsat_v91_c217__unsat_v91_c217.log
7,onnx/sat_v14_c57.onnx,vnnlib/sat_v14_c57.vnnlib,100,100,2.8090014457702637,UNKNOWN,unknown,0,sat_relu/0007__sat_v14_c57__sat_v14_c57.result,sat_relu/0007__sat_v14_c57__sat_v14_c57.log
8,onnx/unsat_v14_c57.onnx,vnnlib/unsat_v14_c57.vnnlib,100,100,1.3770289421081543,UNKNOWN,unknown,0,sat_relu/0008__unsat_v14_c57__unsat_v14_c57.result,sat_relu/0008__unsat_v14_c57__unsat_v14_c57.log
9,onnx/sat_v95_c275.onnx,vnnlib/sat_v95_c275.vnnlib,100,100,2.815445899963379,UNKNOWN,unknown,0,sat_relu/0009__sat_v95_c275__sat_v95_c275.result,sat_relu/0009__sat_v95_c275__sat_v95_c275.log
10,onnx/unsat_v95_c275.onnx,vnnlib/unsat_v95_c275.vnnlib,100,100,3.145033121109009,UNKNOWN,unknown,0,sat_relu/0010__unsat_v95_c275__unsat_v95_c275.result,sat_relu/0010__unsat_v95_c275__unsat_v95_c275.log
11,onnx/sat_v6_c27.onnx,vnnlib/sat_v6_c27.vnnlib,100,100,0.8515951633453369,UNKNOWN,unknown,0,sat_relu/0011__sat_v6_c27__sat_v6_c27.result,sat_relu/0011__sat_v6_c27__sat_v6_c27.log
12,onnx/unsat_v6_c30.onnx,vnnlib/unsat_v6_c30.vnnlib,100,100,1.5976271629333496,UNKNOWN,unknown,0,sat_relu/0012__unsat_v6_c30__unsat_v6_c30.result,sat_relu/0012__unsat_v6_c30__unsat_v6_c30.log
13,onnx/sat_v6_c27.onnx,vnnlib/sat_v6_c27.vnnlib,100,100,1.8319873809814453,UNKNOWN,unknown,0,sat_relu/0013__sat_v6_c27__sat_v6_c27.result,sat_relu/0013__sat_v6_c27__sat_v6_c27.log
14,onnx/unsat_v6_c30.onnx,vnnlib/unsat_v6_c30.vnnlib,100,100,1.1876282691955566,UNKNOWN,unknown,0,sat_relu/0014__unsat_v6_c30__unsat_v6_c30.result,sat_relu/0014__unsat_v6_c30__unsat_v6_c30.log
15,onnx/sat_v100_c373.onnx,vnnlib/sat_v100_c373.vnnlib,100,100,4.566183090209961,UNKNOWN,unknown,0,sat_relu/0015__sat_v100_c373__sat_v100_c373.result,sat_relu/0015__sat_v100_c373__sat_v100_c373.log
16,onnx/unsat_v100_c373.onnx,vnnlib/unsat_v100_c373.vnnlib,100,100,4.236144781112671,UNKNOWN,unknown,0,sat_relu/0016__unsat_v100_c373__unsat_v100_c373.result,sat_relu/0016__unsat_v100_c373__unsat_v100_c373.log
17,onnx/sat_v51_c255.onnx,vnnlib/sat_v51_c255.vnnlib,100,100,1.9759984016418457,UNKNOWN,unknown,0,sat_relu/0017__sat_v51_c255__sat_v51_c255.result,sat_relu/0017__sat_v51_c255__sat_v51_c255.log
18,onnx/unsat_v51_c255.onnx,vnnlib/unsat_v51_c255.vnnlib,100,100,1.9449937343597412,UNKNOWN,unknown,0,sat_relu/0018__unsat_v51_c255__unsat_v51_c255.result,sat_relu/0018__unsat_v51_c255__unsat_v51_c255.log
19,onnx/sat_v25_c45.onnx,vnnlib/sat_v25_c45.vnnlib,100,100,2.3517496585845947,UNKNOWN,unknown,0,sat_relu/0019__sat_v25_c45__sat_v25_c45.result,sat_relu/0019__sat_v25_c45__sat_v25_c45.log
20,onnx/unsat_v25_c45.onnx,vnnlib/unsat_v25_c45.vnnlib,100,100,1.329782247543335,UNKNOWN,unknown,0,sat_relu/0020__unsat_v25_c45__unsat_v25_c45.result,sat_relu/0020__unsat_v25_c45__unsat_v25_c45.log
21,onnx/sat_v90_c111.onnx,vnnlib/sat_v90_c111.vnnlib,100,0,0.0,,not_run,,,
22,onnx/unsat_v90_c111.onnx,vnnlib/unsat_v90_c111.vnnlib,100,0,0.0,,not_run,,,
23,onnx/sat_v63_c267.onnx,vnnlib/sat_v63_c267.vnnlib,100,0,0.0,,not_run,,,
24,onnx/unsat_v63_c267.onnx,vnnlib/unsat_v63_c267.vnnlib,100,0,0.0,,not_run,,,
25,onnx/sat_v18_c87.onnx,vnnlib/sat_v18_c87.vnnlib,100,0,0.0,,not_run,,,
26,onnx/unsat_v18_c88.onnx,vnnlib/unsat_v18_c88.vnnlib,100,0,0.0,,not_run,,,
27,onnx/sat_v92_c117.onnx,vnnlib/sat_v92_c117.vnnlib,100,0,0.0,,not_run,,,
28,onnx/unsat_v92_c117.onnx,vnnlib/unsat_v92_c117.vnnlib,100,0,0.0,,not_run,,,
29,onnx/sat_v94_c313.onnx,vnnlib/sat_v94_c313.vnnlib,100,0,0.0,,not_run,,,
30,onnx/unsat_v94_c313.onnx,vnnlib/unsat_v94_c313.vnnlib,100,0,0.0,,not_run,,,
31,onnx/sat_v24_c66.onnx,vnnlib/sat_v24_c66.vnnlib,100,0,0.0,,not_run,,,
32,onnx/unsat_v24_c66.onnx,vnnlib/unsat_v24_c66.vnnlib,100,0,0.0,,not_run,,,
33,onnx/sat_v67_c154.onnx,vnnlib/sat_v67_c154.vnnlib,100,0,0.0,,not_run,,,
34,onnx/unsat_v67_c154.onnx,vnnlib/unsat_v67_c154.vnnlib,100,0,0.0,,not_run,,,
35,onnx/sat_v58_c75.onnx,vnnlib/sat_v58_c75.vnnlib,100,0,0.0,,not_run,,,
36,onnx/unsat_v58_c75.onnx,vnnlib/unsat_v58_c75.vnnlib,100,0,0.0,,not_run,,,
37,onnx/sat_v40_c142.onnx,vnnlib/sat_v40_c142.vnnlib,100,0,0.0,,not_run,,,
38,onnx/unsat_v40_c142.onnx,vnnlib/unsat_v40_c142.vnnlib,100,0,0.0,,not_run,,,
39,onnx/sat_v26_c84.onnx,vnnlib/sat_v26_c84.vnnlib,100,0,0.0,,not_run,,,
40,onnx/unsat_v26_c84.onnx,vnnlib/unsat_v26_c84.vnnlib,100,0,0.0,,not_run,,,
41,onnx/sat_v46_c142.onnx,vnnlib/sat_v46_c142.vnnlib,100,0,0.0,,not_run,,,
42,onnx/unsat_v46_c142.onnx,vnnlib/unsat_v46_c142.vnnlib,100,0,0.0,,not_run,,,
43,onnx/sat_v56_c239.onnx,vnnlib/sat_v56_c239.vnnlib,100,0,0.0,,not_run,,,
44,onnx/unsat_v56_c239.onnx,vnnlib/unsat_v56_c239.vnnlib,100,0,0.0,,not_run,,,
45,onnx/sat_v10_c26.onnx,vnnlib/sat_v10_c26.vnnlib,100,0,0.0,,not_run,,,
46,onnx/unsat_v10_c26.onnx,vnnlib/unsat_v10_c26.vnnlib,100,0,0.0,,not_run,,,
47,onnx/sat_v73_c156.onnx,vnnlib/sat_v73_c156.vnnlib,100,0,0.0,,not_run,,,
48,onnx/unsat_v73_c156.onnx,vnnlib/unsat_v73_c156.vnnlib,100,0,0.0,,not_run,,,
49,onnx/sat_v85_c186.onnx,vnnlib/sat_v85_c186.vnnlib,100,0,0.0,,not_run,,,
50,onnx/unsat_v85_c186.onnx,vnnlib/unsat_v85_c186.vnnlib,100,0,0.0,,not_run,,,
51,onnx/sat_v54_c125.onnx,vnnlib/sat_v54_c125.vnnlib,100,0,0.0,,not_run,,,
52,onnx/unsat_v54_c125.onnx,vnnlib/unsat_v54_c125.vnnlib,100,0,0.0,,not_run,,,
53,onnx/sat_v9_c9.onnx,vnnlib/sat_v9_c9.vnnlib,100,0,0.0,,not_run,,,
