idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_7573_eps_1.00000.vnnlib,480,0,0.0,,not_run,,,
2,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_7573_eps_3.00000.vnnlib,480,0,0.0,,not_run,,,
3,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_7573_eps_5.00000.vnnlib,480,0,0.0,,not_run,,,
4,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_7573_eps_10.00000.vnnlib,480,0,0.0,,not_run,,,
5,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_7573_eps_15.00000.vnnlib,480,0,0.0,,not_run,,,
6,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_11379_eps_1.00000.vnnlib,480,0,0.0,,not_run,,,
7,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_11379_eps_3.00000.vnnlib,480,0,0.0,,not_run,,,
8,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_11379_eps_5.00000.vnnlib,480,0,0.0,,not_run,,,
9,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_11379_eps_10.00000.vnnlib,480,0,0.0,,not_run,,,
10,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_11379_eps_15.00000.vnnlib,480,0,0.0,,not_run,,,
11,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_12375_eps_1.00000.vnnlib,480,0,0.0,,not_run,,,
12,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_12375_eps_3.00000.vnnlib,480,0,0.0,,not_run,,,
13,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_12375_eps_5.00000.vnnlib,480,0,0.0,,not_run,,,
14,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_12375_eps_10.00000.vnnlib,480,0,0.0,,not_run,,,
15,onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx,vnnlib/model_30_idx_12375_eps_15.00000.vnnlib,480,0,0.0,,not_run,,,
16,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10645_eps_1.00000.vnnlib,480,0,0.0,,not_run,,,
17,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10645_eps_3.00000.vnnlib,480,0,0.0,,not_run,,,
18,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10645_eps_5.00000.vnnlib,480,0,0.0,,not_run,,,
19,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10645_eps_10.00000.vnnlib,480,0,0.0,,not_run,,,
20,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10645_eps_15.00000.vnnlib,480,0,0.0,,not_run,,,
21,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10495_eps_1.00000.vnnlib,480,0,0.0,,not_run,,,
22,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10495_eps_3.00000.vnnlib,480,0,0.0,,not_run,,,
23,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10495_eps_5.00000.vnnlib,480,0,0.0,,not_run,,,
24,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10495_eps_10.00000.vnnlib,480,0,0.0,,not_run,,,
25,onnx/3_48_48_QConv_32_5_MP_2_BN_QConv_64_5_MP_2_BN_QConv_64_3_BN_Dense_256_BN_Dense_43_ep_30.onnx,vnnlib/model_48_idx_10495_eps_15.00000.vnnlib,480,0,0.0,,not_run,,,
