idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000005_eps_1_255.vnnlib,300,300,9.012078046798706,UNKNOWN,unknown,0,yolo_2023/0001__TinyYOLO__TinyYOLO_prop_000005_eps_1_255.result,yolo_2023/0001__TinyYOLO__TinyYOLO_prop_000005_eps_1_255.log
2,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000459_eps_1_255.vnnlib,300,300,9.820029735565186,UNKNOWN,unknown,0,yolo_2023/0002__TinyYOLO__TinyYOLO_prop_000459_eps_1_255.result,yolo_2023/0002__TinyYOLO__TinyYOLO_prop_000459_eps_1_255.log
3,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000290_eps_1_255.vnnlib,300,300,10.221466302871704,UNKNOWN,unknown,0,yolo_2023/0003__TinyYOLO__TinyYOLO_prop_000290_eps_1_255.result,yolo_2023/0003__TinyYOLO__TinyYOLO_prop_000290_eps_1_255.log
4,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000257_eps_1_255.vnnlib,300,300,8.998164415359497,UNKNOWN,unknown,0,yolo_2023/0004__TinyYOLO__TinyYOLO_prop_000257_eps_1_255.result,yolo_2023/0004__TinyYOLO__TinyYOLO_prop_000257_eps_1_255.log
5,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000367_eps_1_255.vnnlib,300,300,11.18606948852539,UNKNOWN,unknown,0,yolo_2023/0005__TinyYOLO__TinyYOLO_prop_000367_eps_1_255.result,yolo_2023/0005__TinyYOLO__TinyYOLO_prop_000367_eps_1_255.log
6,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000039_eps_1_255.vnnlib,300,300,9.147910118103027,UNKNOWN,unknown,0,yolo_2023/0006__TinyYOLO__TinyYOLO_prop_000039_eps_1_255.result,yolo_2023/0006__TinyYOLO__TinyYOLO_prop_000039_eps_1_255.log
7,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000082_eps_1_255.vnnlib,300,300,9.981369256973267,UNKNOWN,unknown,0,yolo_2023/0007__TinyYOLO__TinyYOLO_prop_000082_eps_1_255.result,yolo_2023/0007__TinyYOLO__TinyYOLO_prop_000082_eps_1_255.log
8,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000296_eps_1_255.vnnlib,300,300,11.858421802520752,UNKNOWN,unknown,0,yolo_2023/0008__TinyYOLO__TinyYOLO_prop_000296_eps_1_255.result,yolo_2023/0008__TinyYOLO__TinyYOLO_prop_000296_eps_1_255.log
9,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000034_eps_1_255.vnnlib,300,300,18.733378171920776,UNKNOWN,unknown,0,yolo_2023/0009__TinyYOLO__TinyYOLO_prop_000034_eps_1_255.result,yolo_2023/0009__TinyYOLO__TinyYOLO_prop_000034_eps_1_255.log
10,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000448_eps_1_255.vnnlib,300,300,15.619034767150879,UNKNOWN,unknown,0,yolo_2023/0010__TinyYOLO__TinyYOLO_prop_000448_eps_1_255.result,yolo_2023/0010__TinyYOLO__TinyYOLO_prop_000448_eps_1_255.log
11,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000221_eps_1_255.vnnlib,300,300,17.072662353515625,UNKNOWN,unknown,0,yolo_2023/0011__TinyYOLO__TinyYOLO_prop_000221_eps_1_255.result,yolo_2023/0011__TinyYOLO__TinyYOLO_prop_000221_eps_1_255.log
12,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000040_eps_1_255.vnnlib,300,300,13.248970985412598,UNKNOWN,unknown,0,yolo_2023/0012__TinyYOLO__TinyYOLO_prop_000040_eps_1_255.result,yolo_2023/0012__TinyYOLO__TinyYOLO_prop_000040_eps_1_255.log
13,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000118_eps_1_255.vnnlib,300,300,14.493125200271606,UNKNOWN,unknown,0,yolo_2023/0013__TinyYOLO__TinyYOLO_prop_000118_eps_1_255.result,yolo_2023/0013__TinyYOLO__TinyYOLO_prop_000118_eps_1_255.log
14,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000359_eps_1_255.vnnlib,300,300,12.891018867492676,UNKNOWN,unknown,0,yolo_2023/0014__TinyYOLO__TinyYOLO_prop_000359_eps_1_255.result,yolo_2023/0014__TinyYOLO__TinyYOLO_prop_000359_eps_1_255.log
15,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000006_eps_1_255.vnnlib,300,300,10.476215839385986,UNKNOWN,unknown,0,yolo_2023/0015__TinyYOLO__TinyYOLO_prop_000006_eps_1_255.result,yolo_2023/0015__TinyYOLO__TinyYOLO_prop_000006_eps_1_255.log
16,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000004_eps_1_255.vnnlib,300,300,13.455163955688477,UNKNOWN,unknown,0,yolo_2023/0016__TinyYOLO__TinyYOLO_prop_000004_eps_1_255.result,yolo_2023/0016__TinyYOLO__TinyYOLO_prop_000004_eps_1_255.log
17,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000316_eps_1_255.vnnlib,300,300,12.095037698745728,UNKNOWN,unknown,0,yolo_2023/0017__TinyYOLO__TinyYOLO_prop_000316_eps_1_255.result,yolo_2023/0017__TinyYOLO__TinyYOLO_prop_000316_eps_1_255.log
18,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000080_eps_1_255.vnnlib,300,300,11.806145429611206,UNKNOWN,unknown,0,yolo_2023/0018__TinyYOLO__TinyYOLO_prop_000080_eps_1_255.result,yolo_2023/0018__TinyYOLO__TinyYOLO_prop_000080_eps_1_255.log
19,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000161_eps_1_255.vnnlib,300,300,13.787811040878296,UNKNOWN,unknown,0,yolo_2023/0019__TinyYOLO__TinyYOLO_prop_000161_eps_1_255.result,yolo_2023/0019__TinyYOLO__TinyYOLO_prop_000161_eps_1_255.log
20,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000081_eps_1_255.vnnlib,300,300,11.798656702041626,UNKNOWN,unknown,0,yolo_2023/0020__TinyYOLO__TinyYOLO_prop_000081_eps_1_255.result,yolo_2023/0020__TinyYOLO__TinyYOLO_prop_000081_eps_1_255.log
21,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000425_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
22,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000324_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
23,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000439_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
24,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000306_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
25,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000302_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
26,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000220_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
27,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000101_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
28,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000420_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
29,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000036_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
30,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000447_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
31,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000103_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
32,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000266_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
33,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000047_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
34,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000015_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
35,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000284_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
36,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000201_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
37,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000323_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
38,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000395_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
39,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000450_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
40,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000308_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
41,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000159_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
42,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000370_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
43,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000217_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
44,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000299_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
45,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000401_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
46,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000046_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
47,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000139_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
48,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000024_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
49,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000249_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
50,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000148_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
51,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000196_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
52,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000277_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
53,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000262_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
54,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000298_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
55,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000336_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
56,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000453_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
57,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000405_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
58,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000062_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
59,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000165_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
60,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000357_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
61,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000037_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
62,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000341_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
63,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000271_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
64,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000144_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
65,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000170_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
66,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000060_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
67,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000129_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
68,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000356_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
69,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000261_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
70,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000225_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
71,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000181_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
72,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000312_eps_1_255.vnnlib,300,0,0.0,,not_run,,,
