benchmark,instance_id,query_index,source,attempt,zero_tol,small_tol,artifact
safenlp_2024,102,0,small_dense_lp_witness,0,1,1,safenlp_2024_102_q0_small_dense_lp_witness_0.json
safenlp_2024,276,0,small_dense_lp_witness,0,1,1,safenlp_2024_276_q0_small_dense_lp_witness_0.json
safenlp_2024,292,0,small_dense_lp_witness,0,1,1,safenlp_2024_292_q0_small_dense_lp_witness_0.json
safenlp_2024,423,0,small_dense_lp_witness,0,1,1,safenlp_2024_423_q0_small_dense_lp_witness_0.json
safenlp_2024,480,0,small_dense_lp_witness,0,1,1,safenlp_2024_480_q0_small_dense_lp_witness_0.json
safenlp_2024,484,0,small_dense_lp_witness,0,1,1,safenlp_2024_484_q0_small_dense_lp_witness_0.json
safenlp_2024,684,0,small_dense_lp_witness,0,1,1,safenlp_2024_684_q0_small_dense_lp_witness_0.json
safenlp_2024,747,0,small_dense_lp_witness,0,1,1,safenlp_2024_747_q0_small_dense_lp_witness_0.json
safenlp_2024,948,0,small_dense_lp_witness,0,1,1,safenlp_2024_948_q0_small_dense_lp_witness_0.json
safenlp_2024,993,0,small_dense_lp_witness,0,1,1,safenlp_2024_993_q0_small_dense_lp_witness_0.json
