benchmark,N,V_unsat,A_sat,T_timeout,U_unknown,E_err,wall_sec_sum,wall_sec_max,notes
test,5,2,0,0,3,0,94.7,48.3,2 V on smoke baseline — only successful proofs in entire sweep
cersyve,12,0,0,0,12,0,91.2,34.8,
cgan_2023,21,0,0,0,21,0,22.0,2.2,
tllverifybench_2023,32,0,0,0,32,0,242.0,15.8,
cctsdb_yolo_2023,39,0,0,0,39,0,45.0,2.3,
traffic_signs_recognition_2023,45,0,0,0,45,0,43.9,1.8,
soundnessbench,50,0,0,0,50,0,384.3,19.5,
linearizenn_2024,60,0,0,0,60,0,551.9,15.4,
collins_rul_cnn_2022,62,0,0,0,62,0,363.1,10.3,
ml4acopf_2024,69,0,0,0,69,0,58.5,1.7,
dist_shift_2023,72,0,0,0,72,0,730.6,23.9,
yolo_2023,72,0,0,0,72,0,84.4,2.6,
lsnc_relu,80,0,0,0,80,0,52.5,4.0,
metaroom_2023,100,0,0,0,100,0,1276.0,46.7,
sat_relu,100,0,0,0,100,0,350.8,6.9,
malbeware,150,0,0,0,150,0,1188.0,23.5,
cora_2024,180,0,0,0,180,0,1718.7,86.5,
acasxu_2023,186,0,0,0,186,0,3590.4,216.9,
nn4sys,194,0,0,0,194,0,8135.3,3561.4,one instance ran 3561s (timeout cap not enforced by CORA driver)
vit_2023,200,0,0,0,200,0,106.9,0.9,fast fail (CORA cannot meaningfully reach through transformer)
tinyimagenet_2024,200,0,0,0,200,0,3809.2,56.5,
cifar100_2024,200,0,0,0,200,0,1565.7,17.3,
relusplitter,220,0,0,0,220,0,2070.8,28.5,
safenlp_2024,1080,0,0,0,1080,0,3008.5,6.0,
vggnet16_2022,18,0,0,0,18,0,15.9,1.2,fast fail (cannot bound VGG)
collins_aerospace_benchmark,6,0,0,0,6,0,5.5,1.3,fast fail (cannot bound YOLO)
TOTAL,3453,2,0,0,3451,0,29605.5,3561.4,V/A semantics: V=sound UNSAT  A=impossible under TRUESTRICT (over-approx cannot witness)
