idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
1,"./onnx/6cnn_tz_35_5_no_custom_OP.onnx","./vnnlib/spec_idx_176_eps_0.00001000.vnnlib",210,210,11.68,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0001__6cnn_tz_35_5_no_custom_OP__spec_idx_176_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0001__6cnn_tz_35_5_no_custom_OP__spec_idx_176_eps_0.00001000.log"
2,"./onnx/4cnn_tz_65_10_no_custom_OP.onnx","./vnnlib/spec_idx_79_eps_0.00001000.vnnlib",210,210,15.92,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0002__4cnn_tz_65_10_no_custom_OP__spec_idx_79_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0002__4cnn_tz_65_10_no_custom_OP__spec_idx_79_eps_0.00001000.log"
3,"./onnx/6cnn_tz_65_10_no_custom_OP.onnx","./vnnlib/spec_idx_196_eps_0.00001000.vnnlib",210,210,25.47,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0003__6cnn_tz_65_10_no_custom_OP__spec_idx_196_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0003__6cnn_tz_65_10_no_custom_OP__spec_idx_196_eps_0.00001000.log"
4,"./onnx/6cnn_ry_30_5_no_custom_OP.onnx","./vnnlib/spec_idx_114_eps_0.00000436.vnnlib",210,210,18.06,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0004__6cnn_ry_30_5_no_custom_OP__spec_idx_114_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0004__6cnn_ry_30_5_no_custom_OP__spec_idx_114_eps_0.00000436.log"
5,"./onnx/4cnn_ry_47_7_no_custom_OP.onnx","./vnnlib/spec_idx_23_eps_0.00000436.vnnlib",210,210,25.81,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0005__4cnn_ry_47_7_no_custom_OP__spec_idx_23_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0005__4cnn_ry_47_7_no_custom_OP__spec_idx_23_eps_0.00000436.log"
6,"./onnx/6cnn_ry_5_0_no_custom_OP.onnx","./vnnlib/spec_idx_130_eps_0.00000436.vnnlib",210,210,32.92,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0006__6cnn_ry_5_0_no_custom_OP__spec_idx_130_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0006__6cnn_ry_5_0_no_custom_OP__spec_idx_130_eps_0.00000436.log"
7,"./onnx/4cnn_ry_65_10_no_custom_OP.onnx","./vnnlib/spec_idx_33_eps_0.00000436.vnnlib",210,210,27.79,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0007__4cnn_ry_65_10_no_custom_OP__spec_idx_33_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0007__4cnn_ry_65_10_no_custom_OP__spec_idx_33_eps_0.00000436.log"
8,"./onnx/4cnn_tz_8_1_no_custom_OP.onnx","./vnnlib/spec_idx_88_eps_0.00001000.vnnlib",210,210,41.10,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0008__4cnn_tz_8_1_no_custom_OP__spec_idx_88_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0008__4cnn_tz_8_1_no_custom_OP__spec_idx_88_eps_0.00001000.log"
9,"./onnx/6cnn_ry_38_6_no_custom_OP.onnx","./vnnlib/spec_idx_118_eps_0.00000436.vnnlib",210,210,29.81,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0009__6cnn_ry_38_6_no_custom_OP__spec_idx_118_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0009__6cnn_ry_38_6_no_custom_OP__spec_idx_118_eps_0.00000436.log"
10,"./onnx/6cnn_ry_49_8_no_custom_OP.onnx","./vnnlib/spec_idx_124_eps_0.00000436.vnnlib",210,210,36.19,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0010__6cnn_ry_49_8_no_custom_OP__spec_idx_124_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0010__6cnn_ry_49_8_no_custom_OP__spec_idx_124_eps_0.00000436.log"
11,"./onnx/4cnn_ry_34_5_no_custom_OP.onnx","./vnnlib/spec_idx_12_eps_0.00000436.vnnlib",210,210,46.69,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0011__4cnn_ry_34_5_no_custom_OP__spec_idx_12_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0011__4cnn_ry_34_5_no_custom_OP__spec_idx_12_eps_0.00000436.log"
12,"./onnx/4cnn_tz_37_6_no_custom_OP.onnx","./vnnlib/spec_idx_61_eps_0.00001000.vnnlib",210,210,20.17,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0012__4cnn_tz_37_6_no_custom_OP__spec_idx_61_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0012__4cnn_tz_37_6_no_custom_OP__spec_idx_61_eps_0.00001000.log"
13,"./onnx/6cnn_tz_114_19_no_custom_OP.onnx","./vnnlib/spec_idx_160_eps_0.00001000.vnnlib",210,210,39.96,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0013__6cnn_tz_114_19_no_custom_OP__spec_idx_160_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0013__6cnn_tz_114_19_no_custom_OP__spec_idx_160_eps_0.00001000.log"
14,"./onnx/4cnn_tz_31_5_no_custom_OP.onnx","./vnnlib/spec_idx_57_eps_0.00001000.vnnlib",210,210,8.09,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0014__4cnn_tz_31_5_no_custom_OP__spec_idx_57_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0014__4cnn_tz_31_5_no_custom_OP__spec_idx_57_eps_0.00001000.log"
15,"./onnx/6cnn_ry_93_15_no_custom_OP.onnx","./vnnlib/spec_idx_148_eps_0.00000436.vnnlib",210,210,12.17,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0015__6cnn_ry_93_15_no_custom_OP__spec_idx_148_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0015__6cnn_ry_93_15_no_custom_OP__spec_idx_148_eps_0.00000436.log"
16,"./onnx/4cnn_ry_56_9_no_custom_OP.onnx","./vnnlib/spec_idx_27_eps_0.00000436.vnnlib",210,210,8.84,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0016__4cnn_ry_56_9_no_custom_OP__spec_idx_27_eps_0.00000436.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0016__4cnn_ry_56_9_no_custom_OP__spec_idx_27_eps_0.00000436.log"
17,"./onnx/6cnn_tz_91_15_no_custom_OP.onnx","./vnnlib/spec_idx_207_eps_0.00001000.vnnlib",210,210,17.33,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0017__6cnn_tz_91_15_no_custom_OP__spec_idx_207_eps_0.00001000.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/metaroom_2023/0017__6cnn_tz_91_15_no_custom_OP__spec_idx_207_eps_0.00001000.log"
