idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
1,"onnx/sat_v30_c38.onnx","vnnlib/sat_v30_c38.vnnlib",100,100,1.68,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0001__sat_v30_c38__sat_v30_c38.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0001__sat_v30_c38__sat_v30_c38.log"
2,"onnx/unsat_v30_c38.onnx","vnnlib/unsat_v30_c38.vnnlib",100,100,2.42,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0002__unsat_v30_c38__unsat_v30_c38.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0002__unsat_v30_c38__unsat_v30_c38.log"
3,"onnx/sat_v65_c187.onnx","vnnlib/sat_v65_c187.vnnlib",100,100,1.90,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0003__sat_v65_c187__sat_v65_c187.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0003__sat_v65_c187__sat_v65_c187.log"
4,"onnx/unsat_v65_c187.onnx","vnnlib/unsat_v65_c187.vnnlib",100,100,1.41,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0004__unsat_v65_c187__unsat_v65_c187.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0004__unsat_v65_c187__unsat_v65_c187.log"
5,"onnx/sat_v91_c217.onnx","vnnlib/sat_v91_c217.vnnlib",100,100,1.77,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0005__sat_v91_c217__sat_v91_c217.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0005__sat_v91_c217__sat_v91_c217.log"
6,"onnx/unsat_v91_c217.onnx","vnnlib/unsat_v91_c217.vnnlib",100,100,2.10,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0006__unsat_v91_c217__unsat_v91_c217.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0006__unsat_v91_c217__unsat_v91_c217.log"
7,"onnx/sat_v14_c57.onnx","vnnlib/sat_v14_c57.vnnlib",100,100,2.41,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0007__sat_v14_c57__sat_v14_c57.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0007__sat_v14_c57__sat_v14_c57.log"
8,"onnx/unsat_v14_c57.onnx","vnnlib/unsat_v14_c57.vnnlib",100,100,1.91,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0008__unsat_v14_c57__unsat_v14_c57.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0008__unsat_v14_c57__unsat_v14_c57.log"
9,"onnx/sat_v95_c275.onnx","vnnlib/sat_v95_c275.vnnlib",100,100,3.50,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0009__sat_v95_c275__sat_v95_c275.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0009__sat_v95_c275__sat_v95_c275.log"
10,"onnx/unsat_v95_c275.onnx","vnnlib/unsat_v95_c275.vnnlib",100,100,4.14,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0010__unsat_v95_c275__unsat_v95_c275.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0010__unsat_v95_c275__unsat_v95_c275.log"
11,"onnx/sat_v6_c27.onnx","vnnlib/sat_v6_c27.vnnlib",100,100,4.82,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0011__sat_v6_c27__sat_v6_c27.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0011__sat_v6_c27__sat_v6_c27.log"
12,"onnx/unsat_v6_c30.onnx","vnnlib/unsat_v6_c30.vnnlib",100,100,3.17,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0012__unsat_v6_c30__unsat_v6_c30.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0012__unsat_v6_c30__unsat_v6_c30.log"
13,"onnx/sat_v6_c27.onnx","vnnlib/sat_v6_c27.vnnlib",100,100,3.50,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0013__sat_v6_c27__sat_v6_c27.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0013__sat_v6_c27__sat_v6_c27.log"
14,"onnx/unsat_v6_c30.onnx","vnnlib/unsat_v6_c30.vnnlib",100,100,1.53,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0014__unsat_v6_c30__unsat_v6_c30.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/sat_relu/0014__unsat_v6_c30__unsat_v6_c30.log"
