OOM-rerun autostart waiting at: Sun May 31 01:03:40 AM AEST 2026
[Sun May 31 01:03:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:06:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:09:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:12:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:15:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:18:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:21:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:24:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:27:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:30:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:33:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:36:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:39:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:42:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:45:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:48:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:51:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:54:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 01:57:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:00:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:03:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:06:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:09:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:12:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:15:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:18:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:21:40 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:24:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:27:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:30:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:33:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:36:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:39:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:42:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:45:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:48:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:51:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:54:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 02:57:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:00:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:03:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:06:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:09:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:12:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:15:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:18:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:21:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:24:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:27:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:30:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:33:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:36:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:39:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:42:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:45:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:48:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:51:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:54:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 03:57:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 04:00:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 04:03:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 04:06:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 04:09:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 04:12:41 AM AEST 2026] Still 2 workers active, sleeping 180s
[Sun May 31 04:15:41 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:18:41 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:21:41 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:24:41 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:27:41 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:30:41 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:33:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:36:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:39:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:42:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:45:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:48:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:51:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:54:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 04:57:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:00:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:03:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:06:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:09:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:12:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:15:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:18:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:21:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:24:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:27:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:30:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:33:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:36:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:39:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:42:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:45:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:48:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:51:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:54:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 05:57:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:00:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:03:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:06:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:09:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:12:42 AM AEST 2026] Still 1 workers active, sleeping 180s
[Sun May 31 06:15:42 AM AEST 2026] Still 1 workers active, sleeping 180s
