benchmark,N,V_unsat,A_sat,T_timeout,U_unknown,E_err,wall_sec_sum,wall_sec_max,notes
test,5,4,0,1,0,0,128.3,75.0,smoke baseline
cersyve,12,4,0,8,0,0,936.5,120.0,
cgan_2023,21,10,0,0,0,11,631.9,110.3,11 err: transformer ONNX unsupported
tllverifybench_2023,32,15,0,4,0,13,2911.9,700.0,
cctsdb_yolo_2023,39,0,0,0,0,39,180.6,8.8,unsupported (YOLO arch)
traffic_signs_recognition_2023,45,0,0,0,0,45,88.6,2.3,unsupported (QConv int8 quantization)
soundnessbench,50,38,0,0,0,12,3712.6,119.8,
linearizenn_2024,60,59,0,1,0,0,1741.2,923.6,near-complete UNSAT
collins_rul_cnn_2022,62,39,0,23,0,0,9667.4,1974.4,3 instances had OOM in parallel (idx 21/22/43) — serial rerun classified as timeout
ml4acopf_2024,69,0,0,22,0,47,16082.8,735.7,47 err: 19 are NeuralSAT internal SIGSEGV on ACOPF (confirmed via serial rerun)
dist_shift_2023,72,65,0,7,0,0,2711.4,388.0,clean
yolo_2023,72,58,0,0,0,14,1785.6,152.9,14 err on YOLO variants
lsnc_relu,80,0,0,0,0,80,1051.0,23.8,unsupported (custom Lyapunov cert layer)
metaroom_2023,100,94,0,6,0,0,2120.6,222.3,clean
sat_relu,100,50,50,0,0,0,933.7,20.8,clean: V+A=N (BaB completeness)
malbeware,150,127,1,15,0,7,3619.2,146.3,1 SAT via BaB (no attack)
cora_2024,180,22,0,118,40,0,5039.0,42.4,40 early_stop (NeuralSAT gave up on cnn/svhn variants)
acasxu_2023,186,137,0,46,0,3,6536.9,214.8,3 err: small unsupported batched variants
nn4sys,194,86,0,3,0,105,3609.7,141.2,105 err: mscn (onnx::If) + transformer variants unsupported; 86 pensieve OK
vit_2023,200,50,0,52,0,98,13627.9,198.4,98 err: Transformer blocks unsupported
tinyimagenet_2024,200,134,0,66,0,0,10273.8,139.1,clean (full ResNet medium support)
cifar100_2024,200,96,0,104,0,0,13723.8,132.1,clean
relusplitter,220,62,0,138,0,20,18328.3,276.7,20 err on certain split-policy variants
safenlp_2024,1080,425,433,221,0,1,8634.6,110.2,V+A=858/1080 — strongest benchmark for NeuralSAT
vggnet16_2022,18,6,0,0,7,5,617.0,106.6,7 early_stop on largest layers
collins_aerospace_benchmark,6,0,0,0,0,6,345.2,65.0,unsupported (YOLO arch)
TOTAL,3453,1581,484,835,47,506,129039.4,1974.4,resolved=2065/3453=59.8% (V+A); excluding 506 tool-unsupported -> 70.1%
