idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/ACASXU_run2a_1_1_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,2.86,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0001__ACASXU_run2a_1_1_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0001__ACASXU_run2a_1_1_batch_2000__prop_1.log"
2,"onnx/ACASXU_run2a_1_2_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,2.89,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0002__ACASXU_run2a_1_2_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0002__ACASXU_run2a_1_2_batch_2000__prop_1.log"
3,"onnx/ACASXU_run2a_1_3_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,3.01,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0003__ACASXU_run2a_1_3_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0003__ACASXU_run2a_1_3_batch_2000__prop_1.log"
4,"onnx/ACASXU_run2a_1_4_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,3.12,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0004__ACASXU_run2a_1_4_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0004__ACASXU_run2a_1_4_batch_2000__prop_1.log"
5,"onnx/ACASXU_run2a_1_5_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,3.05,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0005__ACASXU_run2a_1_5_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0005__ACASXU_run2a_1_5_batch_2000__prop_1.log"
6,"onnx/ACASXU_run2a_1_6_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,2.93,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0006__ACASXU_run2a_1_6_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0006__ACASXU_run2a_1_6_batch_2000__prop_1.log"
7,"onnx/ACASXU_run2a_1_7_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,2.80,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0007__ACASXU_run2a_1_7_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0007__ACASXU_run2a_1_7_batch_2000__prop_1.log"
8,"onnx/ACASXU_run2a_1_8_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,2.81,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0008__ACASXU_run2a_1_8_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0008__ACASXU_run2a_1_8_batch_2000__prop_1.log"
9,"onnx/ACASXU_run2a_1_9_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,2.68,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0009__ACASXU_run2a_1_9_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0009__ACASXU_run2a_1_9_batch_2000__prop_1.log"
10,"onnx/ACASXU_run2a_2_1_batch_2000.onnx","vnnlib/prop_1.vnnlib",116,116,2.85,"unsat","unsat",0,"/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0010__ACASXU_run2a_2_1_batch_2000__prop_1.result","/data1/Kane/ACT/audit_results/neuralsat_strict_20260527/acasxu_2023/0010__ACASXU_run2a_2_1_batch_2000__prop_1.log"
