idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"./onnx/mnist_concat.onnx","./vnnlib/index7901_delta0.13.vnnlib",300,300,0.41,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0001__mnist_concat__index7901_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0001__mnist_concat__index7901_delta0.13.log"
2,"./onnx/mnist_concat.onnx","./vnnlib/index6323_delta0.13.vnnlib",300,300,0.40,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0002__mnist_concat__index6323_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0002__mnist_concat__index6323_delta0.13.log"
3,"./onnx/mnist_concat.onnx","./vnnlib/index7027_delta0.13.vnnlib",300,300,0.42,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0003__mnist_concat__index7027_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0003__mnist_concat__index7027_delta0.13.log"
4,"./onnx/mnist_concat.onnx","./vnnlib/index7116_delta0.13.vnnlib",300,300,0.41,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0004__mnist_concat__index7116_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0004__mnist_concat__index7116_delta0.13.log"
5,"./onnx/mnist_concat.onnx","./vnnlib/index1373_delta0.13.vnnlib",300,300,0.39,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0005__mnist_concat__index1373_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0005__mnist_concat__index1373_delta0.13.log"
6,"./onnx/mnist_concat.onnx","./vnnlib/index6957_delta0.13.vnnlib",300,300,0.39,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0006__mnist_concat__index6957_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0006__mnist_concat__index6957_delta0.13.log"
7,"./onnx/mnist_concat.onnx","./vnnlib/index365_delta0.13.vnnlib",300,300,0.42,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0007__mnist_concat__index365_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0007__mnist_concat__index365_delta0.13.log"
8,"./onnx/mnist_concat.onnx","./vnnlib/index8900_delta0.13.vnnlib",300,300,0.41,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0008__mnist_concat__index8900_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0008__mnist_concat__index8900_delta0.13.log"
9,"./onnx/mnist_concat.onnx","./vnnlib/index9733_delta0.13.vnnlib",300,300,0.42,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0009__mnist_concat__index9733_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0009__mnist_concat__index9733_delta0.13.log"
10,"./onnx/mnist_concat.onnx","./vnnlib/index9154_delta0.13.vnnlib",300,300,0.40,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0010__mnist_concat__index9154_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0010__mnist_concat__index9154_delta0.13.log"
11,"./onnx/mnist_concat.onnx","./vnnlib/index5938_delta0.13.vnnlib",300,300,0.40,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0011__mnist_concat__index5938_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0011__mnist_concat__index5938_delta0.13.log"
12,"./onnx/mnist_concat.onnx","./vnnlib/index8964_delta0.13.vnnlib",300,300,0.43,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0012__mnist_concat__index8964_delta0.13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/dist_shift_2023/0012__mnist_concat__index8964_delta0.13.log"
