idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_0.vnnlib",25,25,0.73,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0001__relu_quadrotor2d_state__quadrotor2d_state_0.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0001__relu_quadrotor2d_state__quadrotor2d_state_0.log"
2,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_1.vnnlib",25,25,0.72,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0002__relu_quadrotor2d_state__quadrotor2d_state_1.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0002__relu_quadrotor2d_state__quadrotor2d_state_1.log"
3,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_2.vnnlib",25,25,0.68,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0003__relu_quadrotor2d_state__quadrotor2d_state_2.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0003__relu_quadrotor2d_state__quadrotor2d_state_2.log"
4,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_3.vnnlib",25,25,1.00,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0004__relu_quadrotor2d_state__quadrotor2d_state_3.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0004__relu_quadrotor2d_state__quadrotor2d_state_3.log"
5,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_4.vnnlib",25,25,0.69,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0005__relu_quadrotor2d_state__quadrotor2d_state_4.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0005__relu_quadrotor2d_state__quadrotor2d_state_4.log"
6,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_5.vnnlib",25,25,0.76,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0006__relu_quadrotor2d_state__quadrotor2d_state_5.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0006__relu_quadrotor2d_state__quadrotor2d_state_5.log"
7,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_6.vnnlib",25,25,0.98,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0007__relu_quadrotor2d_state__quadrotor2d_state_6.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0007__relu_quadrotor2d_state__quadrotor2d_state_6.log"
8,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_7.vnnlib",25,25,0.85,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0008__relu_quadrotor2d_state__quadrotor2d_state_7.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0008__relu_quadrotor2d_state__quadrotor2d_state_7.log"
9,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_8.vnnlib",25,25,0.67,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0009__relu_quadrotor2d_state__quadrotor2d_state_8.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0009__relu_quadrotor2d_state__quadrotor2d_state_8.log"
10,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_9.vnnlib",25,25,1.56,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0010__relu_quadrotor2d_state__quadrotor2d_state_9.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0010__relu_quadrotor2d_state__quadrotor2d_state_9.log"
11,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_10.vnnlib",25,25,1.53,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0011__relu_quadrotor2d_state__quadrotor2d_state_10.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0011__relu_quadrotor2d_state__quadrotor2d_state_10.log"
12,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_11.vnnlib",25,25,1.43,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0012__relu_quadrotor2d_state__quadrotor2d_state_11.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0012__relu_quadrotor2d_state__quadrotor2d_state_11.log"
13,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_12.vnnlib",25,25,0.86,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0013__relu_quadrotor2d_state__quadrotor2d_state_12.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0013__relu_quadrotor2d_state__quadrotor2d_state_12.log"
14,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_13.vnnlib",25,25,1.42,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0014__relu_quadrotor2d_state__quadrotor2d_state_13.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0014__relu_quadrotor2d_state__quadrotor2d_state_13.log"
15,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_14.vnnlib",25,25,1.33,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0015__relu_quadrotor2d_state__quadrotor2d_state_14.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0015__relu_quadrotor2d_state__quadrotor2d_state_14.log"
16,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_15.vnnlib",25,25,1.92,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0016__relu_quadrotor2d_state__quadrotor2d_state_15.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0016__relu_quadrotor2d_state__quadrotor2d_state_15.log"
17,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_16.vnnlib",25,25,0.98,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0017__relu_quadrotor2d_state__quadrotor2d_state_16.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0017__relu_quadrotor2d_state__quadrotor2d_state_16.log"
18,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_17.vnnlib",25,25,2.46,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0018__relu_quadrotor2d_state__quadrotor2d_state_17.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0018__relu_quadrotor2d_state__quadrotor2d_state_17.log"
19,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_18.vnnlib",25,25,1.49,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0019__relu_quadrotor2d_state__quadrotor2d_state_18.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0019__relu_quadrotor2d_state__quadrotor2d_state_18.log"
20,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_19.vnnlib",25,25,0.90,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0020__relu_quadrotor2d_state__quadrotor2d_state_19.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0020__relu_quadrotor2d_state__quadrotor2d_state_19.log"
21,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_20.vnnlib",25,25,1.24,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0021__relu_quadrotor2d_state__quadrotor2d_state_20.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0021__relu_quadrotor2d_state__quadrotor2d_state_20.log"
22,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_21.vnnlib",25,25,2.43,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0022__relu_quadrotor2d_state__quadrotor2d_state_21.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0022__relu_quadrotor2d_state__quadrotor2d_state_21.log"
23,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_22.vnnlib",25,25,1.36,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0023__relu_quadrotor2d_state__quadrotor2d_state_22.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0023__relu_quadrotor2d_state__quadrotor2d_state_22.log"
24,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_23.vnnlib",25,25,0.71,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0024__relu_quadrotor2d_state__quadrotor2d_state_23.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0024__relu_quadrotor2d_state__quadrotor2d_state_23.log"
25,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_24.vnnlib",25,25,0.82,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0025__relu_quadrotor2d_state__quadrotor2d_state_24.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0025__relu_quadrotor2d_state__quadrotor2d_state_24.log"
26,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_25.vnnlib",25,25,0.88,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0026__relu_quadrotor2d_state__quadrotor2d_state_25.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0026__relu_quadrotor2d_state__quadrotor2d_state_25.log"
27,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_26.vnnlib",25,25,2.25,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0027__relu_quadrotor2d_state__quadrotor2d_state_26.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0027__relu_quadrotor2d_state__quadrotor2d_state_26.log"
28,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_27.vnnlib",25,25,0.95,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0028__relu_quadrotor2d_state__quadrotor2d_state_27.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0028__relu_quadrotor2d_state__quadrotor2d_state_27.log"
29,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_28.vnnlib",25,25,1.08,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0029__relu_quadrotor2d_state__quadrotor2d_state_28.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0029__relu_quadrotor2d_state__quadrotor2d_state_28.log"
30,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_29.vnnlib",25,25,0.96,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0030__relu_quadrotor2d_state__quadrotor2d_state_29.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0030__relu_quadrotor2d_state__quadrotor2d_state_29.log"
31,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_30.vnnlib",25,25,1.16,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0031__relu_quadrotor2d_state__quadrotor2d_state_30.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0031__relu_quadrotor2d_state__quadrotor2d_state_30.log"
32,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_31.vnnlib",25,25,0.61,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0032__relu_quadrotor2d_state__quadrotor2d_state_31.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0032__relu_quadrotor2d_state__quadrotor2d_state_31.log"
33,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_32.vnnlib",25,25,0.68,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0033__relu_quadrotor2d_state__quadrotor2d_state_32.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0033__relu_quadrotor2d_state__quadrotor2d_state_32.log"
34,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_33.vnnlib",25,25,0.73,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0034__relu_quadrotor2d_state__quadrotor2d_state_33.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0034__relu_quadrotor2d_state__quadrotor2d_state_33.log"
35,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_34.vnnlib",25,25,0.62,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0035__relu_quadrotor2d_state__quadrotor2d_state_34.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0035__relu_quadrotor2d_state__quadrotor2d_state_34.log"
36,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_35.vnnlib",25,25,0.61,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0036__relu_quadrotor2d_state__quadrotor2d_state_35.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0036__relu_quadrotor2d_state__quadrotor2d_state_35.log"
37,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_36.vnnlib",25,25,0.85,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0037__relu_quadrotor2d_state__quadrotor2d_state_36.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0037__relu_quadrotor2d_state__quadrotor2d_state_36.log"
38,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_37.vnnlib",25,25,0.83,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0038__relu_quadrotor2d_state__quadrotor2d_state_37.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0038__relu_quadrotor2d_state__quadrotor2d_state_37.log"
39,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_38.vnnlib",25,25,1.06,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0039__relu_quadrotor2d_state__quadrotor2d_state_38.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0039__relu_quadrotor2d_state__quadrotor2d_state_38.log"
40,"onnx/relu_quadrotor2d_state.onnx","vnnlib/quadrotor2d_state_39.vnnlib",25,25,1.96,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0040__relu_quadrotor2d_state__quadrotor2d_state_39.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/lsnc_relu/0040__relu_quadrotor2d_state__quadrotor2d_state_39.log"
