idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_1.00000.vnnlib",480.0,480,2.78,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0001__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_1.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0001__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_1.00000.log"
2,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_3.00000.vnnlib",480.0,480,4.53,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0002__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_3.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0002__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_3.00000.log"
3,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_5.00000.vnnlib",480.0,480,3.80,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0003__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_5.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0003__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_5.00000.log"
4,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_10.00000.vnnlib",480.0,480,3.38,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0004__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_10.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0004__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_10.00000.log"
5,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_7573_eps_15.00000.vnnlib",480.0,480,4.29,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0005__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_15.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0005__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_7573_eps_15.00000.log"
6,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_1.00000.vnnlib",480.0,480,5.86,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0006__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_1.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0006__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_1.00000.log"
7,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_3.00000.vnnlib",480.0,480,3.90,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0007__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_3.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0007__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_3.00000.log"
8,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_5.00000.vnnlib",480.0,480,28.40,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0008__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_5.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0008__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_5.00000.log"
9,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_10.00000.vnnlib",480.0,480,8.40,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0009__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_10.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0009__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_10.00000.log"
10,"onnx/3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30.onnx","vnnlib/model_30_idx_11379_eps_15.00000.vnnlib",480.0,480,5.72,"","missing_result",1,"/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0010__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_15.00000.result","/data1/Kane/ACT/audit_results/nnenum_strict_20260527/traffic_signs_recognition_2023/0010__3_30_30_QConv_16_3_QConv_32_2_Dense_43_ep_30__model_30_idx_11379_eps_15.00000.log"
