[2026-05-28 10:58:38] === NNV STRICT sweep start — patch verified, NNV_STRICT_NO_HELPER=1
[2026-05-28 10:58:38] === benches: cora_2024 acasxu_2023 nn4sys vit_2023 tinyimagenet_2024 cifar100_2024 vggnet16_2022 collins_aerospace_benchmark
[2026-05-28 10:58:38] [cora_2024] instances=180
[2026-05-28 10:58:48] [cora_2024] 10/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=1 resumed=9
[2026-05-28 10:59:40] [cora_2024] 15/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=6 resumed=9
[2026-05-28 11:00:34] [cora_2024] 20/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=11 resumed=9
[2026-05-28 11:01:27] [cora_2024] 25/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=16 resumed=9
[2026-05-28 11:02:25] [cora_2024] 30/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=21 resumed=9
[2026-05-28 11:03:26] [cora_2024] 35/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=26 resumed=9
[2026-05-28 11:04:20] [cora_2024] 40/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=31 resumed=9
[2026-05-28 11:05:09] [cora_2024] 45/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=36 resumed=9
[2026-05-28 11:06:06] [cora_2024] 50/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=41 resumed=9
[2026-05-28 11:07:04] [cora_2024] 55/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=46 resumed=9
[2026-05-28 11:07:58] [cora_2024] 60/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=51 resumed=9
[2026-05-28 11:08:53] [cora_2024] 65/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=56 resumed=9
[2026-05-28 11:09:50] [cora_2024] 70/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=61 resumed=9
[2026-05-28 11:10:46] [cora_2024] 75/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=66 resumed=9
[2026-05-28 11:11:51] [cora_2024] 80/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=71 resumed=9
[2026-05-28 11:12:46] [cora_2024] 85/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=76 resumed=9
[2026-05-28 11:13:42] [cora_2024] 90/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=81 resumed=9
[2026-05-28 11:14:37] [cora_2024] 95/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=86 resumed=9
[2026-05-28 11:15:32] [cora_2024] 100/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=91 resumed=9
[2026-05-28 11:16:24] [cora_2024] 105/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=96 resumed=9
[2026-05-28 11:17:15] [cora_2024] 110/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=101 resumed=9
[2026-05-28 11:18:08] [cora_2024] 115/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=106 resumed=9
[2026-05-28 11:19:01] [cora_2024] 120/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=111 resumed=9
[2026-05-28 11:19:54] [cora_2024] 125/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=116 resumed=9
[2026-05-28 11:20:46] [cora_2024] 130/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=121 resumed=9
[2026-05-28 11:21:38] [cora_2024] 135/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=126 resumed=9
[2026-05-28 11:22:31] [cora_2024] 140/180 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=131 resumed=9
