[2026-05-28 10:58:38] === NNV STRICT sweep start — patch verified, NNV_STRICT_NO_HELPER=1
[2026-05-28 10:58:38] === benches: safenlp_2024
[2026-05-28 10:58:38] [safenlp_2024] instances=1080
[2026-05-28 10:59:29] [safenlp_2024] 5/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=5 resumed=0
[2026-05-28 11:00:22] [safenlp_2024] 10/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=10 resumed=0
[2026-05-28 11:01:13] [safenlp_2024] 15/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=15 resumed=0
[2026-05-28 11:02:04] [safenlp_2024] 20/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=20 resumed=0
[2026-05-28 11:02:58] [safenlp_2024] 25/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=25 resumed=0
[2026-05-28 11:03:51] [safenlp_2024] 30/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=30 resumed=0
[2026-05-28 11:04:42] [safenlp_2024] 35/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=35 resumed=0
[2026-05-28 11:05:35] [safenlp_2024] 40/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=40 resumed=0
[2026-05-28 11:06:29] [safenlp_2024] 45/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=45 resumed=0
[2026-05-28 11:07:21] [safenlp_2024] 50/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=50 resumed=0
[2026-05-28 11:08:11] [safenlp_2024] 55/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=55 resumed=0
[2026-05-28 11:09:03] [safenlp_2024] 60/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=60 resumed=0
[2026-05-28 11:09:55] [safenlp_2024] 65/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=65 resumed=0
[2026-05-28 11:10:47] [safenlp_2024] 70/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=70 resumed=0
[2026-05-28 11:11:47] [safenlp_2024] 75/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=75 resumed=0
[2026-05-28 11:12:40] [safenlp_2024] 80/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=80 resumed=0
[2026-05-28 11:13:29] [safenlp_2024] 85/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=85 resumed=0
[2026-05-28 11:14:20] [safenlp_2024] 90/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=90 resumed=0
[2026-05-28 11:15:11] [safenlp_2024] 95/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=95 resumed=0
[2026-05-28 11:16:02] [safenlp_2024] 100/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=100 resumed=0
[2026-05-28 11:16:53] [safenlp_2024] 105/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=105 resumed=0
[2026-05-28 11:17:44] [safenlp_2024] 110/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=110 resumed=0
[2026-05-28 11:18:31] [safenlp_2024] 115/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=115 resumed=0
[2026-05-28 11:19:21] [safenlp_2024] 120/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=120 resumed=0
[2026-05-28 11:20:12] [safenlp_2024] 125/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=125 resumed=0
[2026-05-28 11:21:02] [safenlp_2024] 130/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=130 resumed=0
[2026-05-28 11:21:51] [safenlp_2024] 135/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=135 resumed=0
[2026-05-28 11:22:42] [safenlp_2024] 140/1080 sat=0 unsat=0 timeout=0 unknown=0 unsupported=0 err=140 resumed=0
