[2026-05-28 12:01:23] === NNV STRICT sweep start — patch verified, NNV_STRICT_NO_HELPER=1
[2026-05-28 12:01:23] === benches: cora_2024 acasxu_2023 nn4sys vit_2023 tinyimagenet_2024 cifar100_2024 vggnet16_2022 collins_aerospace_benchmark
[2026-05-28 12:01:23] [cora_2024] instances=180
[2026-05-28 12:02:41] [cora_2024] 30/180 sat=0 unsat=1 timeout=1 unknown=0 unsupported=0 err=0 resumed=28
[2026-05-28 12:06:56] [cora_2024] 35/180 sat=0 unsat=2 timeout=5 unknown=0 unsupported=0 err=0 resumed=28
[2026-05-28 12:10:28] [cora_2024] 40/180 sat=0 unsat=4 timeout=8 unknown=0 unsupported=0 err=0 resumed=28
[2026-05-28 12:13:58] [cora_2024] 45/180 sat=0 unsat=6 timeout=11 unknown=0 unsupported=0 err=0 resumed=28
[2026-05-28 12:18:48] [cora_2024] 50/180 sat=0 unsat=6 timeout=15 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:22:17] [cora_2024] 55/180 sat=0 unsat=8 timeout=18 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:26:44] [cora_2024] 60/180 sat=0 unsat=9 timeout=22 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:31:44] [cora_2024] 65/180 sat=0 unsat=9 timeout=27 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:36:45] [cora_2024] 70/180 sat=0 unsat=9 timeout=32 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:41:46] [cora_2024] 75/180 sat=0 unsat=9 timeout=37 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:46:46] [cora_2024] 80/180 sat=0 unsat=9 timeout=42 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:51:47] [cora_2024] 85/180 sat=0 unsat=9 timeout=47 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 12:56:48] [cora_2024] 90/180 sat=0 unsat=9 timeout=52 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:01:48] [cora_2024] 95/180 sat=0 unsat=9 timeout=57 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:06:49] [cora_2024] 100/180 sat=0 unsat=9 timeout=62 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:11:49] [cora_2024] 105/180 sat=0 unsat=9 timeout=67 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:16:50] [cora_2024] 110/180 sat=0 unsat=9 timeout=72 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:21:51] [cora_2024] 115/180 sat=0 unsat=9 timeout=77 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:26:51] [cora_2024] 120/180 sat=0 unsat=9 timeout=82 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:31:52] [cora_2024] 125/180 sat=0 unsat=9 timeout=87 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:36:53] [cora_2024] 130/180 sat=0 unsat=9 timeout=92 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:41:53] [cora_2024] 135/180 sat=0 unsat=9 timeout=97 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:46:54] [cora_2024] 140/180 sat=0 unsat=9 timeout=102 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:51:55] [cora_2024] 145/180 sat=0 unsat=9 timeout=107 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 13:56:55] [cora_2024] 150/180 sat=0 unsat=9 timeout=112 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 14:01:56] [cora_2024] 155/180 sat=0 unsat=9 timeout=117 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 14:06:57] [cora_2024] 160/180 sat=0 unsat=9 timeout=122 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 14:11:57] [cora_2024] 165/180 sat=0 unsat=9 timeout=127 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 14:16:58] [cora_2024] 170/180 sat=0 unsat=9 timeout=132 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 14:21:58] [cora_2024] 175/180 sat=0 unsat=9 timeout=137 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 14:26:59] [cora_2024] 180/180 sat=0 unsat=9 timeout=142 unknown=1 unsupported=0 err=0 resumed=28
[2026-05-28 14:26:59] [cora_2024] DONE — total=180 new=152 resumed=28 sat=0 unsat=9 timeout=142 unknown=1 unsupported=0 err=0
[2026-05-28 14:26:59] [acasxu_2023] instances=186
[2026-05-28 14:39:10] [acasxu_2023] 5/186 sat=0 unsat=0 timeout=5 unknown=0 unsupported=0 err=0 resumed=0
[2026-05-28 14:51:21] [acasxu_2023] 10/186 sat=0 unsat=0 timeout=10 unknown=0 unsupported=0 err=0 resumed=0
