[2026-05-28 12:01:23] === NNV STRICT sweep start — patch verified, NNV_STRICT_NO_HELPER=1
[2026-05-28 12:01:23] === benches: safenlp_2024
[2026-05-28 12:01:23] [safenlp_2024] instances=1080
[2026-05-28 12:07:14] [safenlp_2024] 10/1080 sat=0 unsat=0 timeout=7 unknown=0 unsupported=0 err=0 resumed=3
[2026-05-28 12:11:25] [safenlp_2024] 15/1080 sat=0 unsat=0 timeout=12 unknown=0 unsupported=0 err=0 resumed=3
[2026-05-28 12:14:46] [safenlp_2024] 20/1080 sat=0 unsat=0 timeout=16 unknown=0 unsupported=0 err=0 resumed=4
[2026-05-28 12:18:07] [safenlp_2024] 25/1080 sat=0 unsat=0 timeout=20 unknown=0 unsupported=0 err=0 resumed=5
[2026-05-28 12:21:27] [safenlp_2024] 30/1080 sat=0 unsat=0 timeout=24 unknown=0 unsupported=0 err=0 resumed=6
[2026-05-28 12:24:50] [safenlp_2024] 35/1080 sat=0 unsat=0 timeout=28 unknown=0 unsupported=0 err=0 resumed=7
[2026-05-28 12:28:10] [safenlp_2024] 40/1080 sat=0 unsat=0 timeout=32 unknown=0 unsupported=0 err=0 resumed=8
[2026-05-28 12:32:21] [safenlp_2024] 45/1080 sat=0 unsat=0 timeout=37 unknown=0 unsupported=0 err=0 resumed=8
[2026-05-28 12:35:42] [safenlp_2024] 50/1080 sat=0 unsat=0 timeout=41 unknown=0 unsupported=0 err=0 resumed=9
[2026-05-28 12:39:53] [safenlp_2024] 55/1080 sat=0 unsat=0 timeout=46 unknown=0 unsupported=0 err=0 resumed=9
[2026-05-28 12:43:13] [safenlp_2024] 60/1080 sat=0 unsat=0 timeout=50 unknown=0 unsupported=0 err=0 resumed=10
[2026-05-28 12:47:24] [safenlp_2024] 65/1080 sat=0 unsat=0 timeout=55 unknown=0 unsupported=0 err=0 resumed=10
[2026-05-28 12:51:35] [safenlp_2024] 70/1080 sat=0 unsat=0 timeout=60 unknown=0 unsupported=0 err=0 resumed=10
[2026-05-28 12:59:06] [safenlp_2024] 80/1080 sat=0 unsat=0 timeout=69 unknown=0 unsupported=0 err=0 resumed=11
[2026-05-28 13:02:27] [safenlp_2024] 85/1080 sat=0 unsat=0 timeout=73 unknown=0 unsupported=0 err=0 resumed=12
[2026-05-28 13:07:41] [safenlp_2024] 95/1080 sat=0 unsat=1 timeout=79 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:11:14] [safenlp_2024] 100/1080 sat=0 unsat=2 timeout=83 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:14:46] [safenlp_2024] 105/1080 sat=0 unsat=3 timeout=87 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:18:20] [safenlp_2024] 110/1080 sat=0 unsat=4 timeout=91 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:21:53] [safenlp_2024] 115/1080 sat=0 unsat=5 timeout=95 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:24:49] [safenlp_2024] 120/1080 sat=0 unsat=7 timeout=98 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:28:23] [safenlp_2024] 125/1080 sat=0 unsat=8 timeout=102 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:32:33] [safenlp_2024] 130/1080 sat=0 unsat=8 timeout=107 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:36:06] [safenlp_2024] 135/1080 sat=0 unsat=9 timeout=111 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:39:01] [safenlp_2024] 140/1080 sat=0 unsat=11 timeout=114 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:42:33] [safenlp_2024] 145/1080 sat=0 unsat=12 timeout=118 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:46:05] [safenlp_2024] 150/1080 sat=0 unsat=13 timeout=122 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:49:00] [safenlp_2024] 155/1080 sat=0 unsat=15 timeout=125 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:52:33] [safenlp_2024] 160/1080 sat=0 unsat=16 timeout=129 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:56:44] [safenlp_2024] 165/1080 sat=0 unsat=16 timeout=134 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 13:59:39] [safenlp_2024] 170/1080 sat=0 unsat=18 timeout=137 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:02:33] [safenlp_2024] 175/1080 sat=0 unsat=20 timeout=140 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:05:26] [safenlp_2024] 180/1080 sat=0 unsat=22 timeout=143 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:08:58] [safenlp_2024] 185/1080 sat=0 unsat=23 timeout=147 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:11:51] [safenlp_2024] 190/1080 sat=0 unsat=25 timeout=150 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:14:46] [safenlp_2024] 195/1080 sat=0 unsat=27 timeout=153 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:18:56] [safenlp_2024] 200/1080 sat=0 unsat=27 timeout=158 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:23:07] [safenlp_2024] 205/1080 sat=0 unsat=27 timeout=163 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:26:01] [safenlp_2024] 210/1080 sat=0 unsat=29 timeout=166 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:30:12] [safenlp_2024] 215/1080 sat=0 unsat=29 timeout=171 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:33:45] [safenlp_2024] 220/1080 sat=0 unsat=30 timeout=175 unknown=0 unsupported=0 err=0 resumed=15
[2026-05-28 14:37:20] [safenlp_2024] 225/1080 sat=0 unsat=31 timeout=179 unknown=0 unsupported=0 err=0 resumed=15
