[2026-05-28 11:37:55] === NNV STRICT sweep start — patch verified, NNV_STRICT_NO_HELPER=1
[2026-05-28 11:37:55] === benches: safenlp_2024
[2026-05-28 11:37:55] [safenlp_2024] instances=1080
[2026-05-28 11:39:37] [safenlp_2024] 5/1080 sat=0 unsat=1 timeout=1 unknown=0 unsupported=0 err=3 resumed=0
[2026-05-28 11:40:43] [safenlp_2024] 10/1080 sat=0 unsat=2 timeout=1 unknown=0 unsupported=0 err=7 resumed=0
[2026-05-28 11:41:49] [safenlp_2024] 15/1080 sat=0 unsat=2 timeout=1 unknown=0 unsupported=0 err=12 resumed=0
[2026-05-28 11:42:52] [safenlp_2024] 20/1080 sat=0 unsat=3 timeout=1 unknown=0 unsupported=0 err=16 resumed=0
[2026-05-28 11:43:59] [safenlp_2024] 25/1080 sat=0 unsat=4 timeout=1 unknown=0 unsupported=0 err=20 resumed=0
[2026-05-28 11:45:08] [safenlp_2024] 30/1080 sat=0 unsat=5 timeout=1 unknown=0 unsupported=0 err=24 resumed=0
[2026-05-28 11:46:14] [safenlp_2024] 35/1080 sat=0 unsat=6 timeout=1 unknown=0 unsupported=0 err=28 resumed=0
[2026-05-28 11:47:17] [safenlp_2024] 40/1080 sat=0 unsat=7 timeout=1 unknown=0 unsupported=0 err=32 resumed=0
[2026-05-28 11:48:21] [safenlp_2024] 45/1080 sat=0 unsat=7 timeout=1 unknown=0 unsupported=0 err=37 resumed=0
[2026-05-28 11:49:23] [safenlp_2024] 50/1080 sat=0 unsat=8 timeout=1 unknown=0 unsupported=0 err=41 resumed=0
[2026-05-28 11:50:28] [safenlp_2024] 55/1080 sat=0 unsat=8 timeout=1 unknown=0 unsupported=0 err=46 resumed=0
[2026-05-28 11:51:32] [safenlp_2024] 60/1080 sat=0 unsat=9 timeout=1 unknown=0 unsupported=0 err=50 resumed=0
[2026-05-28 11:52:40] [safenlp_2024] 65/1080 sat=0 unsat=9 timeout=1 unknown=0 unsupported=0 err=55 resumed=0
[2026-05-28 11:53:46] [safenlp_2024] 70/1080 sat=0 unsat=9 timeout=1 unknown=0 unsupported=0 err=60 resumed=0
[2026-05-28 11:54:56] [safenlp_2024] 75/1080 sat=0 unsat=10 timeout=1 unknown=0 unsupported=0 err=64 resumed=0
[2026-05-28 11:56:07] [safenlp_2024] 80/1080 sat=0 unsat=10 timeout=1 unknown=0 unsupported=0 err=69 resumed=0
[2026-05-28 11:57:16] [safenlp_2024] 85/1080 sat=0 unsat=11 timeout=1 unknown=0 unsupported=0 err=73 resumed=0
[2026-05-28 11:59:02] [safenlp_2024] 90/1080 sat=0 unsat=13 timeout=2 unknown=0 unsupported=0 err=75 resumed=0
