idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.vnnlib",100,100,13.46,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0001__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0001__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.log"
2,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.vnnlib",100,100,13.26,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0002__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0002__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.log"
3,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.vnnlib",100,100,13.24,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0003__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0003__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.log"
4,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_9694_sidx_2810_eps_0.0039.vnnlib",100,100,84.36,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0004__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9694_sidx_2810_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0004__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_9694_sidx_2810_eps_0.0039.log"
5,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_4760_sidx_4651_eps_0.0039.vnnlib",100,100,13.43,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0005__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4760_sidx_4651_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0005__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4760_sidx_4651_eps_0.0039.log"
6,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_6135_sidx_4586_eps_0.0039.vnnlib",100,100,12.32,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0006__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_6135_sidx_4586_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0006__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_6135_sidx_4586_eps_0.0039.log"
7,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_4921_sidx_3617_eps_0.0039.vnnlib",100,100,13.80,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0007__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4921_sidx_3617_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0007__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_4921_sidx_3617_eps_0.0039.log"
8,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_5242_sidx_1208_eps_0.0039.vnnlib",100,100,87.39,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0008__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_5242_sidx_1208_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0008__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_5242_sidx_1208_eps_0.0039.log"
9,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_2176_sidx_3285_eps_0.0039.vnnlib",100,100,13.66,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0009__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2176_sidx_3285_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0009__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_2176_sidx_3285_eps_0.0039.log"
10,"onnx/CIFAR100_resnet_medium.onnx","vnnlib/CIFAR100_resnet_medium_prop_idx_8762_sidx_3374_eps_0.0039.vnnlib",100,100,14.15,"unsupported_strict","unsupported_strict",0,"/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0010__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_8762_sidx_3374_eps_0.0039.result","/data1/Kane/ACT/audit_results/nnv_strict_20260527/cifar100_2024/0010__CIFAR100_resnet_medium__CIFAR100_resnet_medium_prop_idx_8762_sidx_3374_eps_0.0039.log"
