Fri May 29 09:45:45 AM AEST 2026
=== HYB_Z parallel GPU-mid stream  gate>=25GB ===
    [gate-mid] cora_2024: 94 GB free >= 25 GB, proceeding
=== 09:45:45  [mid] bench=cora_2024  workers=1  gpu=0 ===
[cora_2024] 180 instances, workers=1, gpu=0, out=/data1/Kane/pyrat/results_pure_hybz/cora_2024/results.csv
  [1/180]   61.0s  ./onnx/mnist-point.onnx  vnnlib/mnist-img0.vnnlib
  [2/180]   60.8s  ./onnx/mnist-trades.onnx  vnnlib/mnist-img0.vnnlib
  [3/180]   46.1s  ./onnx/mnist-set.onnx  vnnlib/mnist-img0.vnnlib
  [4/180]   61.3s  ./onnx/mnist-point.onnx  vnnlib/mnist-img1.vnnlib
  [5/180]   61.1s  ./onnx/mnist-trades.onnx  vnnlib/mnist-img1.vnnlib
  [6/180]   47.5s  ./onnx/mnist-set.onnx  vnnlib/mnist-img1.vnnlib
  [7/180]   61.6s  ./onnx/mnist-point.onnx  vnnlib/mnist-img2.vnnlib
  [8/180]   60.9s  ./onnx/mnist-trades.onnx  vnnlib/mnist-img2.vnnlib
  [9/180]   39.2s  ./onnx/mnist-set.onnx  vnnlib/mnist-img2.vnnlib
  [10/180]   61.0s  ./onnx/mnist-point.onnx  vnnlib/mnist-img3.vnnlib
  [11/180]   62.0s  ./onnx/mnist-trades.onnx  vnnlib/mnist-img3.vnnlib
  [12/180]   25.6s  ./onnx/mnist-set.onnx  vnnlib/mnist-img3.vnnlib
  [13/180]   61.1s  ./onnx/mnist-point.onnx  vnnlib/mnist-img4.vnnlib
  [14/180]   61.8s  ./onnx/mnist-trades.onnx  vnnlib/mnist-img4.vnnlib
  [15/180]   52.5s  ./onnx/mnist-set.onnx  vnnlib/mnist-img4.vnnlib
  [16/180]   61.1s  ./onnx/mnist-point.onnx  vnnlib/mnist-img5.vnnlib
  [17/180]   61.2s  ./onnx/mnist-trades.onnx  vnnlib/mnist-img5.vnnlib
  [18/180]   45.1s  ./onnx/mnist-set.onnx  vnnlib/mnist-img5.vnnlib
  [19/180]   61.1s  ./onnx/mnist-point.onnx  vnnlib/mnist-img6.vnnlib
