benchmark,N,V_unsat,A_sat,T_timeout,U_unknown,E_err,wall_sec_sum,wall_sec_max,notes
acasxu_2023,186,49,6,131,0,0,16505.1,146.0,
cctsdb_yolo_2023,39,0,0,0,0,39,201.8,6.9,
cersyve,12,1,0,11,0,0,1392.5,130.1,
cgan_2023,21,7,0,11,0,3,15855.9,1214.0,
cifar100_2024,200,0,0,58,0,142,9368.6,131.1,
collins_aerospace_benchmark,6,0,0,2,0,4,1867.7,453.7,
collins_rul_cnn_2022,62,39,18,5,0,0,10468.4,1815.5,
cora_2024,180,19,0,156,4,1,10458.6,61.9,
dist_shift_2023,72,55,0,0,17,0,269.0,5.0,
linearizenn_2024,60,13,0,47,0,0,44219.1,930.3,
lsnc_relu,80,0,0,0,0,80,423.2,8.2,
malbeware,150,64,0,37,1,48,8141.2,132.1,
metaroom_2023,100,60,0,1,0,39,2714.8,242.0,
ml4acopf_2024,69,0,0,0,0,69,359.8,24.8,
nn4sys,194,50,0,144,0,0,22924.2,830.4,
relusplitter,220,20,0,125,49,26,25975.2,210.5,
safenlp_2024,1080,189,0,0,891,0,21119.2,24.3,
sat_relu,100,20,0,79,0,1,10551.3,130.3,
soundnessbench,50,0,0,50,0,0,9127.7,248.3,
test,5,2,0,0,0,3,82.1,71.3,
tinyimagenet_2024,200,0,0,0,0,200,2294.8,21.0,
tllverifybench_2023,32,0,0,20,0,12,14341.8,629.2,
traffic_signs_recognition_2023,45,0,0,0,0,45,223.1,44.0,
vggnet16_2022,18,14,1,0,0,3,1446.4,178.4,
vit_2023,200,0,0,0,0,200,556.8,2.9,
yolo_2023,72,0,0,0,0,72,2968.2,234.0,
TOTAL,3453,602,25,877,962,987,233856.7,1815.5,STRICT no-helper sweep with hyb_z domain (PyRAT adds con_z as carrier internally)
