idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/model.onnx,vnnlib/model_0.vnnlib,150,150,181.43,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0001__model__model_0.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0001__model__model_0.log
2,onnx/model.onnx,vnnlib/model_1.vnnlib,150,150,181.42,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0002__model__model_1.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0002__model__model_1.log
3,onnx/model.onnx,vnnlib/model_2.vnnlib,150,150,181.43,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0003__model__model_2.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0003__model__model_2.log
4,onnx/model.onnx,vnnlib/model_3.vnnlib,150,150,181.44,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0004__model__model_3.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0004__model__model_3.log
5,onnx/model.onnx,vnnlib/model_4.vnnlib,150,150,182.81,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0005__model__model_4.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0005__model__model_4.log
6,onnx/model.onnx,vnnlib/model_5.vnnlib,150,150,248.29,,timeout,137,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0006__model__model_5.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0006__model__model_5.log
7,onnx/model.onnx,vnnlib/model_6.vnnlib,150,150,181.03,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0007__model__model_6.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0007__model__model_6.log
8,onnx/model.onnx,vnnlib/model_7.vnnlib,150,150,181.69,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0008__model__model_7.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0008__model__model_7.log
9,onnx/model.onnx,vnnlib/model_8.vnnlib,150,150,181.41,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0009__model__model_8.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0009__model__model_8.log
10,onnx/model.onnx,vnnlib/model_9.vnnlib,150,150,181.61,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0010__model__model_9.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0010__model__model_9.log
11,onnx/model.onnx,vnnlib/model_10.vnnlib,150,150,181.49,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0011__model__model_10.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0011__model__model_10.log
12,onnx/model.onnx,vnnlib/model_11.vnnlib,150,150,181.15,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0012__model__model_11.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0012__model__model_11.log
13,onnx/model.onnx,vnnlib/model_12.vnnlib,150,150,180.92,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0013__model__model_12.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0013__model__model_12.log
14,onnx/model.onnx,vnnlib/model_13.vnnlib,150,150,181.38,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0014__model__model_13.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0014__model__model_13.log
15,onnx/model.onnx,vnnlib/model_14.vnnlib,150,150,181.35,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0015__model__model_14.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0015__model__model_14.log
16,onnx/model.onnx,vnnlib/model_15.vnnlib,150,150,181.21,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0016__model__model_15.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0016__model__model_15.log
17,onnx/model.onnx,vnnlib/model_16.vnnlib,150,150,181.19,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0017__model__model_16.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0017__model__model_16.log
18,onnx/model.onnx,vnnlib/model_17.vnnlib,150,150,181.19,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0018__model__model_17.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0018__model__model_17.log
19,onnx/model.onnx,vnnlib/model_18.vnnlib,150,150,180.99,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0019__model__model_18.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0019__model__model_18.log
20,onnx/model.onnx,vnnlib/model_19.vnnlib,150,150,181.26,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0020__model__model_19.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0020__model__model_19.log
21,onnx/model.onnx,vnnlib/model_20.vnnlib,150,150,181.01,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0021__model__model_20.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0021__model__model_20.log
22,onnx/model.onnx,vnnlib/model_21.vnnlib,150,150,181.25,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0022__model__model_21.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0022__model__model_21.log
23,onnx/model.onnx,vnnlib/model_22.vnnlib,150,150,180.80,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0023__model__model_22.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0023__model__model_22.log
24,onnx/model.onnx,vnnlib/model_23.vnnlib,150,150,181.08,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0024__model__model_23.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0024__model__model_23.log
25,onnx/model.onnx,vnnlib/model_24.vnnlib,150,150,181.00,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0025__model__model_24.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0025__model__model_24.log
26,onnx/model.onnx,vnnlib/model_25.vnnlib,150,150,180.89,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0026__model__model_25.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0026__model__model_25.log
27,onnx/model.onnx,vnnlib/model_26.vnnlib,150,150,181.10,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0027__model__model_26.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0027__model__model_26.log
28,onnx/model.onnx,vnnlib/model_27.vnnlib,150,150,180.97,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0028__model__model_27.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0028__model__model_27.log
29,onnx/model.onnx,vnnlib/model_28.vnnlib,150,150,180.95,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0029__model__model_28.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0029__model__model_28.log
30,onnx/model.onnx,vnnlib/model_29.vnnlib,150,150,181.33,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0030__model__model_29.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0030__model__model_29.log
31,onnx/model.onnx,vnnlib/model_30.vnnlib,150,150,181.03,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0031__model__model_30.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0031__model__model_30.log
32,onnx/model.onnx,vnnlib/model_31.vnnlib,150,150,181.24,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0032__model__model_31.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0032__model__model_31.log
33,onnx/model.onnx,vnnlib/model_32.vnnlib,150,150,181.10,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0033__model__model_32.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0033__model__model_32.log
34,onnx/model.onnx,vnnlib/model_33.vnnlib,150,150,181.40,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0034__model__model_33.result,/data1/Kane/ACT/audit_results/pyrat_hybz_strict_20260528/soundnessbench/0034__model__model_33.log
