benchmark,N,V_unsat,A_sat,T_timeout,U_unknown,E_err,wall_sec_sum,wall_sec_max,notes
acasxu_2023,186,138,40,8,0,0,5128.9,146.1,
cctsdb_yolo_2023,39,0,0,0,0,39,101.4,2.8,
cersyve,12,3,4,5,0,0,749.0,108.6,
cgan_2023,21,9,10,0,0,2,259.3,58.7,
cifar100_2024,200,15,0,50,0,135,11691.0,154.5,
collins_aerospace_benchmark,6,0,0,0,6,0,152.0,28.8,
collins_rul_cnn_2022,62,39,19,4,0,0,7975.8,1830.6,
cora_2024,180,20,0,160,0,0,5848.4,60.8,
dist_shift_2023,72,64,3,5,0,0,3015.7,332.5,
linearizenn_2024,60,59,1,0,0,0,327.6,7.8,
lsnc_relu,80,0,0,80,0,0,3926.5,63.9,
malbeware,150,125,0,24,1,0,3325.6,107.9,
metaroom_2023,100,60,0,1,0,39,679.6,214.1,
ml4acopf_2024,69,37,3,23,0,6,15378.1,631.0,
nn4sys,194,50,0,144,0,0,23339.6,830.5,
relusplitter,220,41,0,115,0,64,13615.3,210.9,
safenlp_2024,1080,417,55,400,208,0,16735.9,110.9,
sat_relu,100,12,0,88,0,0,10268.8,127.5,
soundnessbench,50,0,0,50,0,0,5566.5,212.5,
test,5,2,0,0,0,3,26.6,6.0,
tinyimagenet_2024,200,0,0,1,0,199,4192.7,180.0,
tllverifybench_2023,32,15,15,2,0,0,6642.9,630.2,
traffic_signs_recognition_2023,45,0,0,45,0,0,21864.1,522.6,
vggnet16_2022,18,14,1,0,0,3,1224.8,109.2,
vit_2023,200,82,0,118,0,0,15102.7,133.3,
yolo_2023,72,40,0,1,0,31,3247.3,206.4,
TOTAL,3453,1242,151,1324,215,521,180386.3,1830.6,STRICT no-helper sweep; A column reflects analyzer-proved UNSAFE only (no PGD/center)
