idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.vnnlib,100,100,21.16,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0001__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0001__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_1126_sidx_4974_eps_0.0039.log
2,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.vnnlib,100,100,26.90,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0002__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0002__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_6827_sidx_2613_eps_0.0039.log
3,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.vnnlib,100,100,24.07,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0003__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0003__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_7943_sidx_6299_eps_0.0039.log
4,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.vnnlib,100,100,24.32,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0004__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0004__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_9558_sidx_6082_eps_0.0039.log
5,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.vnnlib,100,100,26.71,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0005__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0005__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_2341_sidx_4149_eps_0.0039.log
6,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_5478_sidx_174_eps_0.0039.vnnlib,100,100,179.98,,timeout,124,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0006__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_5478_sidx_174_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0006__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_5478_sidx_174_eps_0.0039.log
7,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_9262_sidx_880_eps_0.0039.vnnlib,100,100,21.20,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0007__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_9262_sidx_880_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0007__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_9262_sidx_880_eps_0.0039.log
8,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_6252_sidx_9972_eps_0.0039.vnnlib,100,100,23.80,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0008__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_6252_sidx_9972_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0008__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_6252_sidx_9972_eps_0.0039.log
9,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_2146_sidx_298_eps_0.0039.vnnlib,100,100,17.77,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0009__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_2146_sidx_298_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0009__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_2146_sidx_298_eps_0.0039.log
10,onnx/TinyImageNet_resnet_medium.onnx,vnnlib/TinyImageNet_resnet_medium_prop_idx_538_sidx_2467_eps_0.0039.vnnlib,100,100,49.47,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0010__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_538_sidx_2467_eps_0.0039.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/tinyimagenet_2024/0010__TinyImageNet_resnet_medium__TinyImageNet_resnet_medium_prop_idx_538_sidx_2467_eps_0.0039.log
