idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict_raw,verdict,exit_code,result_file,log_file
1,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000005_eps_1_255.vnnlib,300,300,17.58,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0001__TinyYOLO__TinyYOLO_prop_000005_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0001__TinyYOLO__TinyYOLO_prop_000005_eps_1_255.log
2,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000459_eps_1_255.vnnlib,300,300,21.92,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0002__TinyYOLO__TinyYOLO_prop_000459_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0002__TinyYOLO__TinyYOLO_prop_000459_eps_1_255.log
3,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000290_eps_1_255.vnnlib,300,300,58.10,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0003__TinyYOLO__TinyYOLO_prop_000290_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0003__TinyYOLO__TinyYOLO_prop_000290_eps_1_255.log
4,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000257_eps_1_255.vnnlib,300,300,62.01,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0004__TinyYOLO__TinyYOLO_prop_000257_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0004__TinyYOLO__TinyYOLO_prop_000257_eps_1_255.log
5,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000367_eps_1_255.vnnlib,300,300,16.42,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0005__TinyYOLO__TinyYOLO_prop_000367_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0005__TinyYOLO__TinyYOLO_prop_000367_eps_1_255.log
6,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000039_eps_1_255.vnnlib,300,300,206.45,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0006__TinyYOLO__TinyYOLO_prop_000039_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0006__TinyYOLO__TinyYOLO_prop_000039_eps_1_255.log
7,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000082_eps_1_255.vnnlib,300,300,53.82,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0007__TinyYOLO__TinyYOLO_prop_000082_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0007__TinyYOLO__TinyYOLO_prop_000082_eps_1_255.log
8,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000296_eps_1_255.vnnlib,300,300,56.16,,error,1,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0008__TinyYOLO__TinyYOLO_prop_000296_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0008__TinyYOLO__TinyYOLO_prop_000296_eps_1_255.log
9,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000034_eps_1_255.vnnlib,300,300,19.44,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0009__TinyYOLO__TinyYOLO_prop_000034_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0009__TinyYOLO__TinyYOLO_prop_000034_eps_1_255.log
10,onnx/TinyYOLO.onnx,vnnlib/TinyYOLO_prop_000448_eps_1_255.vnnlib,300,300,16.54,True,unsat,0,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0010__TinyYOLO__TinyYOLO_prop_000448_eps_1_255.result,/data1/Kane/ACT/audit_results/pyrat_strict_20260527/yolo_2023/0010__TinyYOLO__TinyYOLO_prop_000448_eps_1_255.log
