tolerance,benchmark,source,iid,act_verdict,official_label,json_path
zero_tol,collins_rul_cnn_2022,cpu,0,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,13,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,22,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,26,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,27,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,35,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,4,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,47,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,cpu,5,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
zero_tol,collins_rul_cnn_2022,gpu,0,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_gpu_full62_cudafix_20260525/per_instance_collins_rul_cnn_2022_20260525T044132156008Z.json
zero_tol,collins_rul_cnn_2022,gpu,13,FALSIFIED,unsat,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_gpu_full62_cudafix_20260525/per_instance_collins_rul_cnn_2022_20260525T044132156008Z.json
