source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,1,RECEIPT_ONLY,,,,0.0,,False,,,,onnx/lane_keep_pretrain_inv.onnx,vnnlib/prop_lane_keep.vnnlib,,,,,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_bridged/cersyve_1_q0_sidecar_d0_random_uniform_55.json
cpu,5,RECEIPT_ONLY,,,,0.0,,False,,,,onnx/pendulum_pretrain_inv.onnx,vnnlib/prop_pendulum.vnnlib,,,,,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_bridged/cersyve_5_q0_sidecar_d0_random_uniform_124.json
cpu,9,RECEIPT_ONLY,,,,0.0,,False,,,,onnx/point_mass_pretrain_inv.onnx,vnnlib/prop_point_mass.vnnlib,,,,,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/cersyve_bridged/cersyve_9_q0_sidecar_d0_random_uniform_48.json
cpu_native_r2,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.133,,False,,PASSED,,onnx/lane_keep_pretrain_con.onnx,vnnlib/prop_lane_keep.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005555408702Z.json
cpu_native_r2,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.157,,False,,PASSED,,onnx/lane_keep_pretrain_inv.onnx,vnnlib/prop_lane_keep.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005558491096Z.json
cpu_native_r2,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.104,,False,,PASSED,,onnx/point_mass_finetune_con.onnx,vnnlib/prop_point_mass.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005626420923Z.json
cpu_native_r2,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.231,,False,,PASSED,,onnx/point_mass_finetune_inv.onnx,vnnlib/prop_point_mass.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005629541900Z.json
cpu_native_r2,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.108,,False,,PASSED,,onnx/lane_keep_finetune_con.onnx,vnnlib/prop_lane_keep.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005601442081Z.json
cpu_native_r2,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.186,,False,,PASSED,,onnx/lane_keep_finetune_inv.onnx,vnnlib/prop_lane_keep.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005604486513Z.json
cpu_native_r2,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.472,,False,,PASSED,,onnx/pendulum_pretrain_con.onnx,vnnlib/prop_pendulum.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005607789308Z.json
cpu_native_r2,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.191,,False,,PASSED,,onnx/pendulum_pretrain_inv.onnx,vnnlib/prop_pendulum.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005610997094Z.json
cpu_native_r2,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.421,,False,,PASSED,,onnx/pendulum_finetune_con.onnx,vnnlib/prop_pendulum.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005614254612Z.json
cpu_native_r2,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.201,,False,,PASSED,,onnx/pendulum_finetune_inv.onnx,vnnlib/prop_pendulum.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005617570726Z.json
cpu_native_r2,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.135,,False,,PASSED,,onnx/point_mass_pretrain_con.onnx,vnnlib/prop_point_mass.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005620476085Z.json
cpu_native_r2,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.228,,False,,PASSED,,onnx/point_mass_pretrain_inv.onnx,vnnlib/prop_point_mass.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cersyve/per_instance_cersyve_20260526T005623574174Z.json
cpu_rebase,0,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.065,,False,,FAILED,,onnx/lane_keep_pretrain_con.onnx,vnnlib/prop_lane_keep.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 4x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,1,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.011,,False,,FAILED,,onnx/lane_keep_pretrain_inv.onnx,vnnlib/prop_lane_keep.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 4x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,10,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.008,,False,,FAILED,,onnx/point_mass_finetune_con.onnx,vnnlib/prop_point_mass.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x16 and 4x16),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,11,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.01,,False,,FAILED,,onnx/point_mass_finetune_inv.onnx,vnnlib/prop_point_mass.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x2 and 4x2),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,2,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.01,,False,,FAILED,,onnx/lane_keep_finetune_con.onnx,vnnlib/prop_lane_keep.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 4x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,3,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.01,,False,,FAILED,,onnx/lane_keep_finetune_inv.onnx,vnnlib/prop_lane_keep.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 4x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,4,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.007,,False,,FAILED,,onnx/pendulum_pretrain_con.onnx,vnnlib/prop_pendulum.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 2x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,5,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.011,,False,,FAILED,,onnx/pendulum_pretrain_inv.onnx,vnnlib/prop_pendulum.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 2x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,6,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.008,,False,,FAILED,,onnx/pendulum_finetune_con.onnx,vnnlib/prop_pendulum.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 2x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,7,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.012,,False,,FAILED,,onnx/pendulum_finetune_inv.onnx,vnnlib/prop_pendulum.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x1 and 2x1),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,8,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.007,,False,,FAILED,,onnx/point_mass_pretrain_con.onnx,vnnlib/prop_point_mass.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x16 and 4x16),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
cpu_rebase,9,ERROR_RuntimeError,ERROR,ERROR,ERROR,0.011,,False,,FAILED,,onnx/point_mass_pretrain_inv.onnx,vnnlib/prop_point_mass.vnnlib,[],[],[],RuntimeError: mat1 and mat2 shapes cannot be multiplied (1x2 and 4x2),/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/cersyve/per_instance_cersyve_20260524T152311878435Z.json
gpu_full,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.624,,False,,PASSED,,onnx/lane_keep_pretrain_con.onnx,vnnlib/prop_lane_keep.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cersyve/per_instance_cersyve_20260526T132742592795Z.json
gpu_full,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.681,,False,,PASSED,,onnx/lane_keep_pretrain_inv.onnx,vnnlib/prop_lane_keep.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cersyve/per_instance_cersyve_20260526T132746670990Z.json
