source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
gpu_full,0,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,135.576,UNKNOWN_TIMEOUT,True,True,FAILED,6779.25390625,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_0_input_eps_0.010_output_eps_0.015.vnnlib,[],[],[],"watchdog killed instance after 135.6s (status=UNKNOWN_TIMEOUT, peak_rss=6779.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_watchdog_iid0_20260526T195122564216Z.json
gpu_full,1,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,135.673,UNKNOWN_TIMEOUT,True,True,FAILED,6852.8125,onnx/cGAN_imgSz32_nCh_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,[],[],[],"watchdog killed instance after 135.7s (status=UNKNOWN_TIMEOUT, peak_rss=6852.8 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_watchdog_iid1_20260526T195338238603Z.json
gpu_full,10,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,136.076,UNKNOWN_TIMEOUT,True,True,FAILED,8988.1953125,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_2_input_eps_0.005_output_eps_0.010.vnnlib,[],[],[],"watchdog killed instance after 136.1s (status=UNKNOWN_TIMEOUT, peak_rss=8988.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_watchdog_iid10_20260526T201358948193Z.json
gpu_full,11,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,136.091,UNKNOWN_TIMEOUT,True,True,FAILED,9023.71484375,onnx/cGAN_imgSz64_nCh_1.onnx,vnnlib/cGAN_imgSz64_nCh_1_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,[],[],[],"watchdog killed instance after 136.1s (status=UNKNOWN_TIMEOUT, peak_rss=9023.7 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_watchdog_iid11_20260526T201615040073Z.json
gpu_full,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,124.888,,False,,PASSED,,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_0_input_eps_0.005_output_eps_0.010.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_20260526T201821825505Z.json
gpu_full,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,128.063,,False,,PASSED,,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_1_input_eps_0.010_output_eps_0.015.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_20260526T202032560896Z.json
gpu_full,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,124.763,,False,,PASSED,,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_2_input_eps_0.005_output_eps_0.010.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_20260526T202240370902Z.json
gpu_full,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,126.186,,False,,PASSED,,onnx/cGAN_imgSz64_nCh_3.onnx,vnnlib/cGAN_imgSz64_nCh_3_prop_3_input_eps_0.010_output_eps_0.015.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_20260526T202449373340Z.json
gpu_full,16,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,135.978,UNKNOWN_TIMEOUT,True,True,FAILED,7812.69921875,onnx/cGAN_imgSz32_nCh_3_nonlinear_activations.onnx,vnnlib/cGAN_imgSz32_nCh_3_nonlinear_activations_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,[],[],[],"watchdog killed instance after 136.0s (status=UNKNOWN_TIMEOUT, peak_rss=7812.7 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_watchdog_iid16_20260526T202706340161Z.json
gpu_full,17,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,135.877,UNKNOWN_TIMEOUT,True,True,FAILED,7267.57421875,onnx/cGAN_imgSz32_nCh_1_transposedConvPadding_1.onnx,vnnlib/cGAN_imgSz32_nCh_1_transposedConvPadding_1_prop_0_input_eps_0.015_output_eps_0.020.vnnlib,[],[],[],"watchdog killed instance after 135.9s (status=UNKNOWN_TIMEOUT, peak_rss=7267.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/gpu_stream1_20260526T132419Z/cgan_2023/per_instance_cgan_2023_watchdog_iid17_20260526T202922217204Z.json
