source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu_smoke,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40.308,,False,,PASSED,,onnx/CIFAR100_resnet_medium.onnx,vnnlib/CIFAR100_resnet_medium_prop_idx_7641_sidx_1041_eps_0.0039.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cifar100_2024/per_instance_cifar100_2024_20260526T012120853466Z.json
cpu_smoke,1,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,113.467,UNKNOWN_TIMEOUT,True,True,FAILED,6562.9609375,onnx/CIFAR100_resnet_medium.onnx,vnnlib/CIFAR100_resnet_medium_prop_idx_2132_sidx_6868_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 113.5s (status=UNKNOWN_TIMEOUT, peak_rss=6563.0 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cifar100_2024/per_instance_cifar100_2024_watchdog_iid1_20260526T012314991948Z.json
cpu_smoke,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,35.832,,False,,PASSED,,onnx/CIFAR100_resnet_medium.onnx,vnnlib/CIFAR100_resnet_medium_prop_idx_6232_sidx_3020_eps_0.0039.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cifar100_2024/per_instance_cifar100_2024_20260526T012354058871Z.json
cpu_smoke,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,36.082,,False,,PASSED,,onnx/CIFAR100_resnet_medium.onnx,vnnlib/CIFAR100_resnet_medium_prop_idx_9694_sidx_2810_eps_0.0039.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cifar100_2024/per_instance_cifar100_2024_20260526T012433145058Z.json
cpu_smoke,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,36.406,,False,,PASSED,,onnx/CIFAR100_resnet_medium.onnx,vnnlib/CIFAR100_resnet_medium_prop_idx_4760_sidx_4651_eps_0.0039.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cifar100_2024/per_instance_cifar100_2024_20260526T012512658477Z.json
full_r3,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40.062,,False,,PASSED,,onnx/CIFAR100_resnet_medium.onnx,vnnlib/CIFAR100_resnet_medium_prop_idx_7704_sidx_3701_eps_0.0039.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/cifar100_2024/per_instance_cifar100_2024_20260526T030319808525Z.json
full_r3,100,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,20.815,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,26074.40625,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large_prop_idx_496_sidx_1194_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 20.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=26074.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/cifar100_2024/per_instance_cifar100_2024_watchdog_iid100_20260526T040240791356Z.json
full_r3,101,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,20.815,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25269.4375,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large_prop_idx_4385_sidx_9116_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 20.8s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25269.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/cifar100_2024/per_instance_cifar100_2024_watchdog_iid101_20260526T040301607819Z.json
full_r3,102,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,20.215,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,25196.73828125,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large_prop_idx_5308_sidx_1650_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 20.2s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=25196.7 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/cifar100_2024/per_instance_cifar100_2024_watchdog_iid102_20260526T040321823798Z.json
full_r3,103,UNKNOWN_RESOURCE_LIMIT,UNKNOWN,UNKNOWN,,20.115,UNKNOWN_RESOURCE_LIMIT,True,True,FAILED,24691.4765625,onnx/CIFAR100_resnet_large.onnx,vnnlib/CIFAR100_resnet_large_prop_idx_4757_sidx_803_eps_0.0039.vnnlib,[],[],[],"watchdog killed instance after 20.1s (status=UNKNOWN_RESOURCE_LIMIT, peak_rss=24691.5 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_full_stream3_20260526T025908Z/cifar100_2024/per_instance_cifar100_2024_watchdog_iid103_20260526T040341940951Z.json
