source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,FALSIFIED,SAT,FALSIFIED,FALSIFIED,0.171,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_2perturbations_delta5_epsilon10_w20.vnnlib,"[""SAT""]","[""FALSIFIED""]","[""/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/collins_rul_cnn_2022_0_q0_hz_walker_lp_0.json""]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,1,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.238,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_2perturbations_delta10_epsilon10_w20.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,10,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.41,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_8perturbations_delta20_epsilon10_w20.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,11,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,2.309,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_8perturbations_delta40_epsilon10_w20.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,12,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.246,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta5_epsilon10_w20.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,13,FALSIFIED,SAT,FALSIFIED,FALSIFIED,1.711,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta10_epsilon10_w20.vnnlib,"[""UNSAT"",""SAT""]","[""CERTIFIED"",""FALSIFIED""]","[null,""/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/collins_rul_cnn_2022_13_q1_hz_walker_lp_0.json""]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,14,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,1.55,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta20_epsilon10_w20.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1.679,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/robustness_16perturbations_delta40_epsilon10_w20.vnnlib,"[""UNSAT"",""UNKNOWN""]","[""CERTIFIED"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,16,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.835,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/monotonicity_CI_shift5_w20.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
cpu,17,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,0.227,,False,,PASSED,,onnx/NN_rul_small_window_20.onnx,vnnlib/monotonicity_CI_shift10_w20.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/collins_full62_v2_20260525T120407Z/per_instance_collins_rul_cnn_2022_20260525T021717950771Z.json
