source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu_smoke,0,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.124,UNKNOWN_TIMEOUT,True,True,FAILED,1610.03515625,./onnx/mnist-point.onnx,vnnlib/mnist-img0.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1610.0 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid0_20260526T005710913280Z.json
cpu_smoke,1,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.126,UNKNOWN_TIMEOUT,True,True,FAILED,1706.9296875,./onnx/mnist-trades.onnx,vnnlib/mnist-img0.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1706.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid1_20260526T005749039465Z.json
cpu_smoke,2,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.124,UNKNOWN_TIMEOUT,True,True,FAILED,1717.171875,./onnx/mnist-set.onnx,vnnlib/mnist-img0.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1717.2 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid2_20260526T005827164366Z.json
cpu_smoke,3,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.123,UNKNOWN_TIMEOUT,True,True,FAILED,1821.4296875,./onnx/mnist-point.onnx,vnnlib/mnist-img1.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1821.4 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid3_20260526T005905288040Z.json
cpu_smoke,4,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.125,UNKNOWN_TIMEOUT,True,True,FAILED,1748.625,./onnx/mnist-trades.onnx,vnnlib/mnist-img1.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1748.6 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid4_20260526T005943413090Z.json
cpu_smoke,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.494,,False,,PASSED,,./onnx/mnist-set.onnx,vnnlib/mnist-img1.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNKNOWN""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""UNKNOWN""]","[null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_20260526T010018998799Z.json
cpu_smoke,6,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.125,UNKNOWN_TIMEOUT,True,True,FAILED,1719.1484375,./onnx/mnist-point.onnx,vnnlib/mnist-img2.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1719.1 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid6_20260526T010058061824Z.json
cpu_smoke,7,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.125,UNKNOWN_TIMEOUT,True,True,FAILED,1670.921875,./onnx/mnist-trades.onnx,vnnlib/mnist-img2.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1670.9 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid7_20260526T010136187308Z.json
cpu_smoke,8,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,9.868,,False,,PASSED,,./onnx/mnist-set.onnx,vnnlib/mnist-img2.vnnlib,"[""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED"",""CERTIFIED""]","[null,null,null,null,null,null,null,null,null]",,/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_20260526T010148186241Z.json
cpu_smoke,9,UNKNOWN_TIMEOUT,UNKNOWN,UNKNOWN,,38.124,UNKNOWN_TIMEOUT,True,True,FAILED,1617.2890625,./onnx/mnist-point.onnx,vnnlib/mnist-img3.vnnlib,[],[],[],"watchdog killed instance after 38.1s (status=UNKNOWN_TIMEOUT, peak_rss=1617.3 MiB)",/data1/Kane/ACT/audit_results/r93_rerun_20260525T083118Z/overnight_cpu_round2_20260525T225241Z/cora_2024/per_instance_cora_2024_watchdog_iid9_20260526T010227321264Z.json
