source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.268,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index7901_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.155,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index6323_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.262,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index5938_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.164,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index8964_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.142,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index4665_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.162,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index2204_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.169,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index6405_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.144,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index4739_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.144,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index5291_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
cpu,17,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.169,,False,,PASSED,,./onnx/mnist_concat.onnx,./vnnlib/index5206_delta0.13.vnnlib,"[""UNKNOWN""]","[""UNKNOWN""]",[null],,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/dist_shift_2023/per_instance_dist_shift_2023_20260524T152323922291Z.json
