source,iid,verdict,internal_status,reportable_status,count_bucket,wall_s,watchdog_status,watchdog_synthetic,strict_bounded_failure,run_status,peak_rss_mb,onnx_model,vnnlib_spec,q_statuses,q_reportables,q_receipts,error,json_path
cpu_R9,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,42.521,,False,,PASSED,,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,1,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,17.685,,False,,PASSED,,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10_0.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,10,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,19.531,,False,,PASSED,,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30_3.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,11,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,19.478,,False,,PASSED,,onnx/AllInOne_30_30.onnx,vnnlib/prop_30_30_4.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32.619,,False,,PASSED,,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32.859,,False,,PASSED,,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_0.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,14,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32.844,,False,,PASSED,,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_1.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.233,,False,,PASSED,,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_2.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,16,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.145,,False,,PASSED,,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_3.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,17,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.296,,False,,PASSED,,onnx/AllInOne_30_80.onnx,vnnlib/prop_30_80_4.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,18,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32.626,,False,,PASSED,,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,19,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.137,,False,,PASSED,,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_0.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,2,CERTIFIED,UNSAT,CERTIFIED,CERTIFIED,17.551,,False,,PASSED,,onnx/AllInOne_10_10.onnx,vnnlib/prop_10_10_1.vnnlib,"[""UNSAT"",""UNSAT""]","[""CERTIFIED"",""CERTIFIED""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,20,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.682,,False,,PASSED,,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_1.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,21,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.042,,False,,PASSED,,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_2.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,22,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.134,,False,,PASSED,,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_3.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,23,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,33.101,,False,,PASSED,,onnx/AllInOne_50_50.onnx,vnnlib/prop_50_50_4.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
cpu_R9,24,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,32.602,,False,,PASSED,,onnx/AllInOne_50_120.onnx,vnnlib/prop_50_120.vnnlib,"[""UNKNOWN"",""UNKNOWN""]","[""UNKNOWN"",""UNKNOWN""]","[null,null]",,/data1/Kane/ACT/audit_results/capability_rebaseline_20260524T225704Z/linearizenn_R9/per_instance_linearizenn_2024_20260524T150207523490Z.json
